2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:223.54152 2:8.360482 3:7.0577016 4:-3.1171982 5:1.652181 6:-1.2121532 7:2.7929316 8:-2.2577195 9:4.4002914 10:-2.740058 11:2.3607597 12:-3.1697297 13:4.1937776 14:223.54152 15:8.360482 16:7.0577016 17:-3.1171982 18:1.652181 19:-1.2121532 20:2.7929316 21:-2.2577195 22:4.4002914 23:-2.740058 24:2.3607597 25:-3.1697297 26:4.1937776 
2 1:218.96906 2:7.864154 3:8.214679 4:-3.0075927 5:1.8598428 6:-1.0441334 7:3.233923 8:-1.9614663 9:4.9559007 10:-2.9023871 11:2.1860669 12:-3.1612961 13:4.2350574 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:181.53061 2:-4.102864 3:6.4326944 4:-3.2778788 5:0.12446458 6:-0.071921155 7:2.7912147 8:-0.3395559 9:3.7628036 10:-1.8179419 11:2.8333743 12:-1.224334 13:3.6556554 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:182.14499 2:-1.8521247 3:7.416323 4:-2.5214987 5:1.551285 6:1.3238244 7:3.241811 8:-0.8952187 9:4.4035077 10:-2.3485308 11:1.6999981 12:-3.905196 13:2.4267662 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:179.39748 2:-6.1283517 3:5.6635175 4:1.4907148 5:4.881863 6:1.3144144 7:0.78309757 8:-1.8666602 9:2.6888278 10:-0.8513848 11:3.2520523 12:-2.9790423 13:1.7789974 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:181.24791 2:-3.6044188 3:7.42987 4:-0.45684198 5:3.229754 6:2.103219 7:2.2336633 8:-0.98673564 9:2.8652225 10:-1.4094247 11:2.8567593 12:-3.0995839 13:2.958389 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:177.44917 2:-3.5513496 3:8.410985 4:0.80213207 5:2.8009012 6:2.2891014 7:5.6129055 8:1.193901 9:3.9523523 10:-2.7774088 11:0.3170993 12:-4.0727816 13:1.5836079 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:178.49315 2:-5.2316623 3:6.372082 4:-1.3515841 5:1.9139292 6:-0.8739719 7:-0.1377533 8:0.19138442 9:5.0055003 10:0.66262585 11:2.9988163 12:-2.7072415 13:2.577686 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:179.77818 2:-4.9133363 3:5.0324554 4:-2.5062966 5:0.44807106 6:-2.3330016 7:-0.12492581 8:-0.97806984 9:3.4630609 10:-1.1790633 11:2.2875478 12:-3.3184557 13:1.6629591 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:180.05296 2:-4.787067 3:6.5630603 4:-0.6074995 5:1.0135955 6:-0.55595857 7:2.2896423 8:-2.5434194 9:1.5881499 10:-0.19285904 11:2.8900008 12:-2.409447 13:2.7445517 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:179.14902 2:-4.404311 3:5.751358 4:-0.7866627 5:1.4073848 6:0.2772952 7:1.3469566 8:-1.5317597 9:3.595228 10:-1.601651 11:1.3641682 12:-2.5611024 13:2.4262881 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:180.5044 2:-6.0908437 3:5.3030267 4:-2.21266 5:0.24205631 6:-1.1365682 7:1.0844535 8:-0.44764587 9:3.810401 10:-1.3698958 11:1.9486175 12:-2.108985 13:2.041793 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:177.09895 2:-6.6328573 3:5.485846 4:0.06748957 5:3.5266626 6:0.5294421 7:0.8738737 8:-1.2314714 9:2.4220762 10:-2.3622212 11:0.8562281 12:-3.9670541 13:2.748237 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:178.46106 2:-5.3705864 3:6.82745 4:-2.2182403 5:0.5635535 6:-1.6506438 7:-0.257586 8:-2.5467844 9:4.1088877 10:-1.2857578 11:0.46449423 12:-2.4461613 13:3.273684 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:181.1171 2:-5.275649 3:4.724468 4:-3.052836 5:1.4214978 6:0.18517685 7:0.9008529 8:-0.9258049 9:4.605878 10:-0.5855656 11:1.5510844 12:-3.158935 13:3.4404638 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:178.14519 2:-6.148868 3:4.2020636 4:-4.0325193 5:0.42445806 6:-0.68548995 7:1.2942283 8:-0.38743111 9:3.2991612 10:-2.855446 11:1.1166441 12:-1.7874303 13:3.999046 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:176.26965 2:-6.84086 3:4.7636776 4:-2.1396987 5:0.6227414 6:-0.19614989 7:0.78190535 8:-0.37700066 9:2.8866987 10:-0.500797 11:2.437975 12:-1.9764212 13:3.9876602 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:181.40591 2:-3.190959 3:6.869039 4:-2.6870415 5:-0.9353606 6:-1.5787073 7:1.1289749 8:-0.005150304 9:2.3135111 10:-1.8559276 11:0.041264027 12:-4.19563 13:3.2438664 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:178.9447 2:-2.9225624 3:7.009453 4:-2.3107452 5:-0.8370614 6:-2.748089 7:1.1144887 8:-1.1550028 9:2.8100088 10:-2.453998 11:1.360951 12:-2.0053914 13:2.004544 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:176.37665 2:-8.137508 3:3.3299217 4:-3.164294 5:0.555146 6:-0.16291742 7:0.90209687 8:-0.55705994 9:1.4977255 10:-0.16213575 11:4.883054 12:-0.7501263 13:4.505152 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:177.3782 2:-7.628171 3:4.01537 4:-1.7365006 5:0.12018224 6:-1.0373569 7:0.9992007 8:-0.49163187 9:1.7949821 10:-0.74370337 11:2.4058764 12:-1.0317633 13:4.5728307 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:178.44127 2:-6.9946547 3:2.443102 4:-4.0113893 5:-0.12996198 6:-1.6987699 7:0.018716887 8:-2.4908738 9:1.0452373 10:-2.9917467 11:1.3463854 12:-2.6895237 13:2.628119 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:179.45276 2:-6.6111245 3:4.1427608 4:-2.5834472 5:0.31247625 6:-1.7677783 7:0.09296723 8:-1.990856 9:0.8475719 10:-0.93578064 11:2.5443008 12:-0.29818955 13:5.7399316 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:179.41379 2:-4.884249 3:5.453131 4:-2.2584455 5:0.7614063 6:1.5731028 7:3.8277798 8:0.23027928 9:2.8099847 10:-1.3859667 11:2.352159 12:-1.9807626 13:4.0148506 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
2 1:183.7542 2:-3.0625181 3:7.4213476 4:-1.6353545 5:1.3008505 6:0.73082036 7:2.1839797 8:-0.21864066 9:3.1024094 10:-2.6102495 11:1.2710991 12:-2.8883083 13:3.1617658 14:79.803955 15:6.8350897 16:3.8640804 17:-0.98212093 18:1.8467718 19:-0.21262105 20:1.8897713 21:-0.5184472 22:2.0668442 23:-1.0509208 24:1.7239776 25:-2.3634462 26:0.6854377 
