1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:219.58572 2:-11.389088 3:4.199102 4:0.45900172 5:1.3671693 6:2.663444 7:1.2323593 8:-1.354552 9:2.0206096 10:-1.0107955 11:0.9492447 12:-0.83006597 13:4.383337 14:219.58572 15:-11.389088 16:4.199102 17:0.45900172 18:1.3671693 19:2.663444 20:1.2323593 21:-1.354552 22:2.0206096 23:-1.0107955 24:0.9492447 25:-0.83006597 26:4.383337 
1 1:232.74345 2:-6.4139338 3:7.4732876 4:-0.25298747 5:1.1482847 6:0.58082354 7:2.0878248 8:-1.0627075 9:1.452235 10:-1.069343 11:1.3774464 12:-2.6975234 13:1.0707282 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
1 1:234.76414 2:-6.9426894 3:7.15146 4:1.5173273 5:2.925657 6:-1.081989 7:0.5592362 8:-0.65612686 9:1.3180555 10:-1.1204275 11:2.8648949 12:-1.0353047 13:2.773874 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
1 1:233.29956 2:-7.6083207 3:7.5891113 4:1.7464101 5:3.1032639 6:0.94783556 7:1.800282 8:-0.43470588 9:1.1502419 10:-0.85144323 11:1.8594044 12:-3.2289248 13:0.7488977 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
1 1:232.67072 2:-7.630141 3:9.211385 4:2.8725395 5:3.2678502 6:0.7548441 7:2.4164786 8:-0.37923568 9:2.2707815 10:-0.12025016 11:0.7847627 12:-2.2040062 13:3.5322938 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
1 1:234.48505 2:-7.232447 3:8.565153 4:1.2863309 5:2.047462 6:0.89424455 7:0.7456407 8:-1.5986853 9:1.9858292 10:-1.3240187 11:0.4518525 12:-1.322147 13:2.2404776 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
1 1:234.92992 2:-8.986063 3:6.926723 4:0.3069968 5:0.9029152 6:-0.6640196 7:0.6977785 8:-0.19257139 9:3.8482392 10:1.1728544 11:3.7221699 12:0.24401438 13:3.730771 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
1 1:234.2924 2:-9.086969 3:8.107765 4:2.7796113 5:1.6012863 6:0.34572616 7:2.6034923 8:-0.92353636 9:2.5137937 10:-0.21987204 11:3.5426662 12:0.9964834 13:4.1806817 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
1 1:231.60078 2:-9.326907 3:8.727522 4:3.5572417 5:3.6190143 6:1.4211307 7:2.0780222 8:-0.60070354 9:2.2189116 10:0.7982447 11:3.240797 12:-0.9202526 13:3.1766515 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
1 1:233.77116 2:-8.576531 3:6.652836 4:0.4064044 5:2.6501188 6:0.19122252 7:1.6535622 8:-0.03920258 9:2.5113323 10:-1.7635955 11:0.9964284 12:-1.0900202 13:2.8914986 14:90.24154 15:5.5444717 16:3.0028846 17:-2.693523 18:1.0060958 19:2.0165722 20:3.3034685 21:-0.054734662 22:2.5043957 23:-1.7646502 24:1.2046739 25:-1.5335268 26:0.57779294 
