1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:233.6918 2:-5.423907 3:5.7161202 4:1.9550018 5:2.6223173 6:0.9873799 7:1.9552357 8:-2.3333654 9:-0.2889078 10:-2.284367 11:2.2379725 12:-4.7341256 13:0.85780823 14:233.6918 15:-5.423907 16:5.7161202 17:1.9550018 18:2.6223173 19:0.9873799 20:1.9552357 21:-2.3333654 22:-0.2889078 23:-2.284367 24:2.2379725 25:-4.7341256 26:0.85780823 
1 1:235.62607 2:-8.328712 3:6.2619715 4:0.4673364 5:1.1184875 6:-0.18557288 7:1.4544019 8:-1.4340405 9:1.2715185 10:-1.2925221 11:2.363557 12:0.6913028 13:4.8755608 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:234.37683 2:-9.021598 3:4.8781037 4:-0.7052811 5:0.31682438 6:-0.9920723 7:1.3090335 8:0.46874335 9:3.3595216 10:-1.1677995 11:2.364379 12:-0.2686492 13:3.7940106 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:236.41689 2:-8.930341 3:2.7629614 4:-0.8377758 5:2.8066282 6:0.6904129 7:1.774909 8:-0.4479076 9:1.7575963 10:-1.4644064 11:1.4986831 12:-4.066881 13:2.1526937 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:236.9269 2:-7.1281137 3:5.835632 4:1.4401495 5:3.2021337 6:1.8252971 7:1.4798222 8:-1.8328519 9:1.9880133 10:0.2543323 11:3.8338346 12:-2.4050276 13:2.8055477 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:234.9064 2:-7.962484 3:3.792449 4:-1.2554772 5:1.195513 6:1.9639415 7:3.016192 8:-0.35418984 9:2.691562 10:-0.6901896 11:3.3213656 12:-1.1952336 13:5.2343693 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:237.31532 2:-6.589561 3:6.2454677 4:-0.84048045 5:1.3094127 6:1.0409781 7:2.1683073 8:-1.2204299 9:2.6436799 10:-1.1582441 11:3.0672011 12:-1.497268 13:2.5493944 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:237.94974 2:-7.7249093 3:5.6490965 4:-0.6129318 5:-0.30885324 6:-0.5693381 7:1.9310244 8:-1.9599407 9:1.2292203 10:-1.0591793 11:1.0537736 12:-2.2207308 13:2.862499 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:238.18997 2:-5.107687 3:7.7859025 4:0.4868578 5:-0.09083612 6:-2.2359438 7:1.052809 8:-2.2699468 9:1.1085843 10:-1.2626014 11:1.897512 12:-2.3793764 13:2.1535056 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:237.64127 2:-7.543334 3:7.246079 4:0.07728693 5:0.48542988 6:-0.3410532 7:0.54422176 8:-1.716727 9:1.6091182 10:-0.46037453 11:2.5497568 12:-0.42990392 13:3.32676 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:234.31564 2:-7.637146 3:5.6957483 4:0.45598823 5:-0.33052605 6:-2.8223438 7:-0.19801654 8:-1.1288756 9:1.8757137 10:-2.8134387 11:1.2114092 12:-1.1127504 13:3.2296581 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:232.53166 2:-8.421346 3:8.784622 4:3.283825 5:3.186324 6:0.6820937 7:1.8866997 8:-0.31613788 9:0.8728575 10:-1.129151 11:1.5155747 12:-2.7493289 13:2.7251534 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
1 1:233.27167 2:-7.359032 3:8.03607 4:2.2685242 5:2.353381 6:1.2687802 7:1.2826037 8:-1.4720042 9:2.7865899 10:0.544628 11:4.4930186 12:-1.1017153 13:1.6738778 14:89.1044 15:3.7048345 16:1.9659829 17:-1.0075618 18:0.587578 19:1.4244498 20:2.718779 21:-0.37101918 22:2.2308311 23:-1.2908756 24:1.2476017 25:-1.481151 26:0.74851006 
