1 1:212.65791 2:-3.0700257 3:7.3313856 4:2.3146033 5:1.3070508 6:-1.6343468 7:1.6163429 8:-0.4467316 9:1.7904326 10:-1.4753436 11:3.7507756 12:-2.0310373 13:1.8902943 14:212.65791 15:-3.0700257 16:7.3313856 17:2.3146033 18:1.3070508 19:-1.6343468 20:1.6163429 21:-0.4467316 22:1.7904326 23:-1.4753436 24:3.7507756 25:-2.0310373 26:1.8902943 
1 1:223.97731 2:-0.84450686 3:5.736377 4:2.652322 5:-0.25311857 6:-2.0869431 7:1.2595234 8:-2.204361 9:3.2857964 10:-0.7453754 11:5.666597 12:-2.5377288 13:2.865137 14:223.97731 15:-0.84450686 16:5.736377 17:2.652322 18:-0.25311857 19:-2.0869431 20:1.2595234 21:-2.204361 22:3.2857964 23:-0.7453754 24:5.666597 25:-2.5377288 26:2.865137 
1 1:227.8115 2:0.81202286 3:6.8594437 4:3.9045217 5:1.1856129 6:0.6304016 7:2.7683241 8:-2.0296967 9:2.1241794 10:-2.8330243 11:4.3529243 12:-2.6991885 13:3.3519082 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:230.25403 2:3.4677389 3:9.109852 4:4.966699 5:2.4478052 6:-1.0585525 7:1.8856733 8:-3.107149 9:3.0569875 10:-1.242163 11:4.2165513 12:-4.6891847 13:4.387929 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:226.9269 2:2.021845 3:7.7767167 4:2.9706898 5:2.8301787 6:0.14201137 7:3.849788 8:-0.3436426 9:4.141394 10:-0.4233434 11:6.7764244 12:-3.981146 13:1.8653938 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:227.53474 2:1.7492467 3:7.9712467 4:5.6045475 5:2.701003 6:-1.4711652 7:4.387194 8:-0.23652506 9:1.8848009 10:-2.4828124 11:5.2039247 12:-2.6692483 13:3.9764473 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:226.53317 2:3.5208013 3:9.26009 4:4.7358932 5:3.1331232 6:-2.316023 7:2.7754471 8:-2.633262 9:3.4657745 10:-0.3061631 11:4.1190557 12:-3.1728115 13:3.904819 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:220.84763 2:2.7562897 3:7.419022 4:4.091103 5:3.4761999 6:0.12134851 7:4.7793355 8:-1.3542697 9:3.7377183 10:-0.09756178 11:5.168269 12:-2.5209522 13:2.3517041 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:218.81985 2:2.0864615 3:8.443508 4:4.038132 5:1.7439425 6:-2.971138 7:1.699709 8:-1.2654172 9:4.4920673 10:-1.5783429 11:4.1719103 12:-1.0863429 13:4.223437 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:219.95958 2:1.1642092 3:8.67713 4:3.034597 5:1.8063942 6:-0.5251118 7:2.0571 8:-0.7382358 9:4.7134542 10:-1.320641 11:2.8705711 12:-3.364248 13:3.28377 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:218.67146 2:1.7920117 3:7.8823915 4:3.1035814 5:2.4183376 6:-1.0029384 7:1.6582925 8:-4.7090144 9:0.38222018 10:-2.1661355 11:3.2211373 12:-0.8197664 13:4.105474 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:214.96965 2:-1.0314455 3:6.289336 4:0.7930182 5:0.6714739 6:-1.9376578 7:0.70832455 8:-4.0478554 9:0.970882 10:-1.0876982 11:3.0559306 12:-1.141385 13:3.2746344 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:215.82434 2:0.7652249 3:7.709374 4:2.5597997 5:0.8642677 6:-3.157693 7:2.2152658 8:-0.32040557 9:3.7285073 10:-0.54735196 11:3.6816463 12:-1.6897244 13:3.1816647 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:216.41043 2:1.5016186 3:8.296054 4:1.7116207 5:0.5966568 6:-1.9063338 7:1.0404088 8:-1.1511621 9:2.7966583 10:-1.3386899 11:4.363032 12:-2.0150878 13:3.5980728 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:213.17197 2:-1.4487648 3:7.1518507 4:2.6197 5:0.60818446 6:-2.4718127 7:2.2595024 8:0.6621039 9:4.309027 10:-0.012185878 11:2.637266 12:-2.567319 13:3.1676438 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:212.53778 2:-2.5126252 3:8.147272 4:3.562692 5:2.6573792 6:0.2009159 7:3.5556762 8:-0.8372507 9:2.274062 10:-2.1997592 11:0.7876992 12:-2.3036942 13:3.9359024 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:217.25064 2:1.5792867 3:9.502009 4:3.8853667 5:3.6994395 6:-1.4609144 7:2.6821773 8:-0.3243618 9:3.0212126 10:-2.3260477 11:2.139135 12:-2.9199538 13:3.2970357 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:212.61975 2:-1.7160407 3:6.5015206 4:2.7335858 5:2.749347 6:-0.494663 7:1.0691102 8:-3.3164892 9:1.129894 10:-0.5044246 11:3.7312343 12:-1.9260608 13:4.5284266 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:212.98158 2:-1.6210501 3:5.676589 4:3.2701776 5:1.3026865 6:-1.6862657 7:3.6342905 8:-0.480699 9:2.8754158 10:-0.67915845 11:2.9575438 12:-3.8628945 13:3.4857006 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:216.08282 2:-0.6905775 3:6.9507074 4:1.5837501 5:0.51484233 6:-1.8651508 7:2.7697244 8:-0.44047368 9:1.4007223 10:-2.3938549 11:1.7292851 12:-1.7405055 13:4.506669 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:216.90533 2:1.132452 3:9.736814 4:2.8237696 5:2.6019926 6:-1.0520314 7:2.7816265 8:-0.89573234 9:1.8955462 10:-2.7415426 11:2.0758607 12:-2.464035 13:3.153916 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
1 1:214.39714 2:-2.094892 3:6.470565 4:2.1708722 5:0.8209561 6:-2.9510558 7:2.394251 8:-1.9680743 9:1.6356298 10:-1.0421475 11:3.7209554 12:-0.19229609 13:4.765722 14:93.75122 15:6.7535815 16:2.2102747 17:-0.5517571 18:0.97069204 19:1.7782853 20:3.92136 21:-2.6420598 22:3.6818454 23:-0.7445093 24:1.4012675 25:-1.6944574 26:2.508707 
