1 1:215.98544 2:0.13785964 3:8.231551 4:2.912848 5:2.5325763 6:-0.20835176 7:4.484957 8:0.92507267 9:3.4659815 10:-0.09277021 11:2.368989 12:-3.1024663 13:2.6661294 14:215.98544 15:0.13785964 16:8.231551 17:2.912848 18:2.5325763 19:-0.20835176 20:4.484957 21:0.92507267 22:3.4659815 23:-0.09277021 24:2.368989 25:-3.1024663 26:2.6661294 
1 1:218.94254 2:1.1965892 3:9.637735 4:3.878689 5:3.0597446 6:-1.2589573 7:1.2182701 8:-2.0719175 9:2.9928474 10:-1.1439755 11:3.1323385 12:-2.3372514 13:4.0058174 14:218.94254 15:1.1965892 16:9.637735 17:3.878689 18:3.0597446 19:-1.2589573 20:1.2182701 21:-2.0719175 22:2.9928474 23:-1.1439755 24:3.1323385 25:-2.3372514 26:4.0058174 
1 1:220.60031 2:2.6628292 3:10.477837 4:4.196368 5:4.040386 6:-0.9400132 7:2.2261846 8:-2.6111155 9:3.3144934 10:0.24160202 11:4.2450857 12:-1.8085513 13:2.7921374 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:215.5204 2:-1.0155652 3:6.95965 4:3.7362735 5:1.0264789 6:-1.6452281 7:2.5693502 8:-0.7601201 9:4.4362216 10:0.5101388 11:4.9011693 12:-2.1852114 13:3.2428596 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:216.50464 2:0.3477611 3:8.791626 4:4.934081 5:3.1342409 6:-0.33544993 7:2.468471 8:-2.4333963 9:2.7508326 10:-0.6983526 11:3.4150448 12:-1.5205575 13:3.8365483 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:215.35239 2:0.8404153 3:9.618651 4:4.7291017 5:3.6639931 6:-1.5567619 7:2.0113158 8:-2.47993 9:1.6127871 10:-0.03372855 11:4.4609785 12:-1.7281308 13:4.2330227 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.88193 2:1.410994 3:7.4115458 4:1.5674465 5:2.4833174 6:0.047360454 7:3.9127145 8:-2.2344484 9:2.4800198 10:-1.021384 11:4.4431934 12:-1.4374437 13:3.007282 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.93037 2:2.9318743 3:9.403389 4:2.4869177 5:1.9490522 6:-1.5174663 7:3.4750211 8:-1.4871678 9:4.4720626 10:-0.6152437 11:3.6515272 12:-2.5596578 13:1.4933522 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.03426 2:1.5983166 3:8.50252 4:2.5083969 5:2.3225658 6:-0.63385886 7:3.1181495 8:-0.5547549 9:3.2455404 10:-1.640702 11:4.6350155 12:-1.4850662 13:2.6656067 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.22023 2:3.4384468 3:11.115032 4:3.7454157 5:3.3285096 6:-0.90690464 7:4.287567 8:-0.7667981 9:3.1982896 10:-1.6217803 11:4.2821918 12:-1.7744901 13:3.6945806 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.65701 2:1.3862916 3:9.255825 4:2.9617221 5:0.9709905 6:-1.6517127 7:2.1135552 8:-2.4853833 9:0.70449924 10:-2.109142 11:2.632574 12:-2.5314932 13:4.2686 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:220.02126 2:2.7407947 3:8.464908 4:0.92493224 5:-0.21544403 6:-4.0923185 7:1.8259494 8:-1.0149623 9:1.9740324 10:-1.5339477 11:3.8657877 12:-1.2176056 13:3.967595 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.55011 2:2.7033904 3:9.409396 4:4.301182 5:3.003717 6:-0.4394842 7:5.397204 8:-0.59267795 9:4.0763288 10:-1.8050065 11:3.3276255 12:-2.6865768 13:3.3834221 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.1063 2:2.408353 3:8.464302 4:2.4008055 5:2.83125 6:-0.68566555 7:2.6166604 8:-0.833629 9:2.959796 10:-2.566536 11:2.434514 12:-3.2285378 13:4.062617 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.55176 2:0.42102495 3:6.5095367 4:1.8896981 5:0.87623197 6:-2.2883697 7:1.48457 8:-1.660979 9:3.4687595 10:-0.82617056 11:2.2584639 12:-4.3233323 13:3.061291 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.37248 2:2.8017645 3:10.1696825 4:3.9856973 5:3.8421266 6:-1.2376837 7:2.5304463 8:-0.11008051 9:2.874943 10:-1.609235 11:2.6217904 12:-4.7222724 13:3.225842 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
