1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:231.8552 2:-8.855798 3:7.38709 4:1.4840299 5:2.5104313 6:1.9397339 7:2.0176358 8:-0.31094405 9:3.3649042 10:0.22466215 11:3.1707199 12:-0.9637945 13:3.097338 14:231.8552 15:-8.855798 16:7.38709 17:1.4840299 18:2.5104313 19:1.9397339 20:2.0176358 21:-0.31094405 22:3.3649042 23:0.22466215 24:3.1707199 25:-0.9637945 26:3.097338 
1 1:234.90991 2:-7.128029 3:9.548581 4:1.7536227 5:2.251062 6:1.2905203 7:0.53423506 8:-0.9279958 9:4.625873 10:0.39487073 11:3.632344 12:-1.7049768 13:1.2773287 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:234.04187 2:-7.1409836 3:7.0184655 4:0.33188033 5:2.4090912 6:-0.150366 7:0.60602105 8:-0.7156216 9:4.2389803 10:1.021071 11:4.2313933 12:-0.8248633 13:2.2766178 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:233.61375 2:-6.9901853 3:7.236233 4:0.9252463 5:2.6104467 6:-0.470984 7:1.0393528 8:-2.1685946 9:1.5183796 10:0.797936 11:3.430989 12:-0.7460639 13:2.7439039 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:232.93181 2:-7.922451 3:7.967543 4:2.5227723 5:1.9700828 6:-0.70776343 7:0.2799864 8:-1.2166973 9:1.0106624 10:-1.4549085 11:3.2337155 12:0.44097257 13:3.1144264 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:231.30057 2:-7.705961 3:6.229213 4:-0.43367377 5:0.6113552 6:1.4548765 7:1.7606764 8:-1.4340053 9:2.5372124 10:-1.687499 11:1.746567 12:-2.1625743 13:3.1877687 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:231.43185 2:-6.778732 3:9.037876 4:-0.18165405 5:1.4652902 6:3.0199134 7:2.5436604 8:-1.9545232 9:1.7383002 10:-1.6535475 11:0.6873744 12:-2.4561582 13:1.4897401 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:232.13446 2:-7.5104966 3:7.27742 4:-1.4056629 5:-0.053006772 6:-1.5878791 7:0.9544877 8:0.9973643 9:2.68415 10:-1.8537382 11:1.6243967 12:-1.1271296 13:2.6641622 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:232.8723 2:-6.1758056 3:8.148655 4:0.8692669 5:0.51921827 6:0.7508895 7:1.588502 8:0.06073143 9:3.170951 10:-2.456968 11:1.0670462 12:-2.477687 13:3.4179459 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:234.17686 2:-6.325966 3:9.400652 4:2.8177676 5:2.6280153 6:-0.008425344 7:2.3759477 8:-1.3954909 9:-0.28150126 10:-1.5110147 11:2.8481767 12:-0.5560912 13:4.106998 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:231.30457 2:-6.5588655 3:8.704942 4:3.915943 5:4.482867 6:1.4026896 7:2.681 8:-2.702868 9:0.7586018 10:-1.2419772 11:1.5281899 12:-1.6847994 13:3.2443159 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:235.31258 2:-5.5378566 3:8.5756035 4:2.0831056 5:2.392405 6:0.43194544 7:0.24232559 8:-2.2668514 9:1.8534913 10:-1.9277571 11:1.5462186 12:-2.963177 13:2.84214 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:234.19962 2:-6.659292 3:8.089378 4:1.9682237 5:1.9109465 6:0.75229025 7:2.9025717 8:-1.4049158 9:2.143936 10:-0.6881079 11:3.120185 12:-0.9010285 13:3.7801855 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:235.3902 2:-9.134797 3:6.846386 4:1.9022787 5:1.6100718 6:0.91271317 7:0.91867405 8:-3.256848 9:1.5075597 10:-0.35357422 11:2.3220093 12:-1.6524539 13:2.2251747 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:230.58133 2:-8.402099 3:7.618793 4:2.5872395 5:0.48076707 6:-0.2825311 7:1.8173689 8:-2.2809415 9:-0.8357102 10:-2.0337694 11:2.609046 12:-2.7254713 13:1.6237249 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:230.85976 2:-9.062775 3:7.835959 4:1.3603722 5:1.5607402 6:-0.65897936 7:-0.5088365 8:-1.173797 9:1.171647 10:-2.8797529 11:1.4604287 12:-2.1700919 13:2.313121 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:231.06499 2:-6.5138206 3:7.252881 4:1.7207265 5:0.66630393 6:-1.2476227 7:1.7348533 8:-0.4034433 9:1.8165509 10:-1.993596 11:2.9096372 12:-1.8915354 13:1.9708858 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:232.83975 2:-7.1968603 3:8.203672 4:2.7263963 5:2.4683197 6:0.7631959 7:2.1523964 8:-1.2240124 9:0.44835755 10:-2.695405 11:-0.3327562 12:-4.1214247 13:2.4383948 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:231.0907 2:-9.97412 3:7.153849 4:1.6789839 5:1.1263627 6:-0.11545912 7:0.7948278 8:1.018492 9:2.5208213 10:-2.1721609 11:0.6235339 12:-2.854015 13:2.4477766 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:233.4462 2:-6.9595666 3:10.356873 4:1.839762 5:1.2643265 6:-0.39381608 7:1.9210818 8:0.84873146 9:3.3421407 10:-1.2807627 11:2.5093977 12:0.1177788 13:4.4647374 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:229.94308 2:-8.248422 3:7.0446386 4:1.3749892 5:1.3617657 6:0.32719612 7:2.2368739 8:-0.8465879 9:2.4174078 10:-1.0753689 11:2.6860976 12:-1.3938404 13:2.3172264 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
1 1:232.29454 2:-9.263639 3:7.7162614 4:3.184594 5:1.8483458 6:-1.0756075 7:1.2263482 8:-0.47999543 9:2.2784898 10:-0.37990263 11:1.6401451 12:-1.6611285 13:3.0125422 14:87.66467 15:4.238513 16:4.7149343 17:0.80706567 18:1.6247678 19:-0.24047872 20:1.6169144 21:-1.919396 22:1.3752228 23:-0.392845 24:0.51025313 25:-1.9649478 26:1.240175 
