1 1:230.67554 2:0.10216718 3:6.994063 4:1.7594165 5:1.3109094 6:1.071837 7:4.6178904 8:-2.3222606 9:2.4424386 10:0.33811995 11:5.1674933 12:-1.3145505 13:4.050524 14:230.67554 15:0.10216718 16:6.994063 17:1.7594165 18:1.3109094 19:1.071837 20:4.6178904 21:-2.3222606 22:2.4424386 23:0.33811995 24:5.1674933 25:-1.3145505 26:4.050524 
1 1:240.89839 2:0.8355788 3:3.466638 4:1.4528514 5:-0.33022016 6:0.22393352 7:5.98405 8:-4.5518603 9:0.5759444 10:-1.5068812 11:4.2322927 12:-2.0443678 13:4.186039 14:240.89839 15:0.8355788 16:3.466638 17:1.4528514 18:-0.33022016 19:0.22393352 20:5.98405 21:-4.5518603 22:0.5759444 23:-1.5068812 24:4.2322927 25:-2.0443678 26:4.186039 
1 1:232.03136 2:0.4511281 3:6.4435263 4:1.4429103 5:1.0281148 6:-1.2150899 7:1.8106794 8:-2.741 9:1.8206594 10:-2.287332 11:4.260628 12:-1.3274212 13:3.8366842 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:231.98479 2:1.3074994 3:8.16004 4:3.180844 5:2.8522778 6:-0.77245724 7:3.571505 8:-2.6050339 9:2.0440013 10:-2.6068165 11:1.8725402 12:-1.8755456 13:5.1361866 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:296.0806 2:-33.08742 3:-1.5991522 4:14.450188 5:-4.434001 6:4.078805 7:1.5612037 8:-8.639989 9:5.166904 10:-0.7434738 11:5.821094 12:-4.2737064 13:2.9722323 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:285.1627 2:-28.144117 3:0.89273626 4:14.96913 5:-4.44558 6:4.2262583 7:2.6679301 8:-7.5763493 9:5.1853213 10:-2.6562884 11:3.636632 12:-5.7422705 13:1.8929502 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:238.20026 2:-3.638001 3:9.129599 4:6.3379683 5:-2.5383527 6:-0.24778022 7:2.0255222 8:-3.160927 9:4.884986 10:-3.9413774 11:2.7696624 12:-2.430189 13:3.3187845 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:238.61917 2:-2.2014132 3:8.024411 4:5.890847 5:-0.11566461 6:0.77926344 7:2.4420018 8:-4.676357 9:4.6564317 10:-1.9217879 11:4.6971993 12:0.3854637 13:3.696266 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:234.21274 2:-2.1118908 3:7.479594 4:5.366858 5:-0.77243686 6:0.21276355 7:4.2178025 8:-4.0238447 9:1.5710946 10:-3.1877193 11:4.4580026 12:-0.286359 13:3.7003293 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:235.01639 2:-3.174028 3:7.9280934 4:6.0576415 5:-2.0768933 6:0.4573874 7:2.6072497 8:-4.8667545 9:3.0886526 10:-1.6850352 11:4.414179 12:-1.8808439 13:2.8958774 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:234.59991 2:-2.1362917 3:7.7952113 4:3.7239268 5:-1.2618932 6:0.14761908 7:2.0142953 8:-4.68584 9:3.549092 10:-2.1725762 11:2.7766607 12:-2.2799892 13:1.9121618 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
