1 1:215.30754 2:-9.90198 3:3.4758103 4:-1.9777801 5:-0.5744257 6:1.1210821 7:0.6814224 8:-2.205638 9:2.3054876 10:-1.4806489 11:3.1971378 12:-2.281432 13:3.2529564 14:215.30754 15:-9.90198 16:3.4758103 17:-1.9777801 18:-0.5744257 19:1.1210821 20:0.6814224 21:-2.205638 22:2.3054876 23:-1.4806489 24:3.1971378 25:-2.281432 26:3.2529564 
1 1:251.30975 2:-10.822796 3:6.904551 4:1.5313143 5:0.250709 6:0.7454993 7:1.3464415 8:-1.4144224 9:1.3094512 10:-2.856663 11:1.719989 12:-1.8753719 13:2.0403035 14:251.30975 15:-10.822796 16:6.904551 17:1.5313143 18:0.250709 19:0.7454993 20:1.3464415 21:-1.4144224 22:1.3094512 23:-2.856663 24:1.719989 25:-1.8753719 26:2.0403035 
1 1:249.23267 2:-11.120494 3:7.470748 4:1.3790615 5:0.12528907 6:2.0345097 7:2.5949833 8:-1.6380235 9:2.5119207 10:-0.7266696 11:3.9394822 12:-2.116215 13:1.1688076 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:249.23947 2:-8.699017 3:8.572626 4:0.11252381 5:0.08315043 6:1.3029091 7:1.2113336 8:-1.4122041 9:2.3262613 10:-1.9425558 11:3.552797 12:-0.41541728 13:2.3328662 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.12022 2:-10.308322 3:7.6378527 4:0.971953 5:0.38423696 6:0.69037694 7:1.9501384 8:-2.2626402 9:1.0817196 10:-1.4577512 11:2.7952242 12:0.17207554 13:3.0403478 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:247.26105 2:-12.066158 3:6.681973 4:2.080936 5:0.6705898 6:0.13762544 7:1.0514246 8:-2.408852 9:2.0199192 10:-2.334403 11:0.197958 12:-1.5435034 13:3.4345613 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:247.51239 2:-9.440658 3:7.708701 4:1.2831088 5:1.5471516 6:1.699012 7:2.336008 8:-2.1000066 9:0.94982517 10:-3.1009095 11:0.9993563 12:-0.5760646 13:4.0571885 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.73189 2:-11.212687 3:7.389055 4:2.370212 5:0.75611407 6:-0.35173976 7:1.8631915 8:-1.4688116 9:2.224872 10:0.46095848 11:3.1075888 12:-0.48612374 13:3.329158 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.86954 2:-11.077857 3:4.8861136 4:0.49780154 5:2.703353 6:1.9579321 7:2.454152 8:-0.24517599 9:2.5575333 10:-0.6456806 11:2.9295325 12:-0.2171914 13:3.8976274 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.33809 2:-10.067116 3:6.772777 4:0.8104046 5:0.4414984 6:0.27274123 7:2.6872604 8:-0.7774997 9:1.3658223 10:-1.9885086 11:1.4609786 12:-1.4286187 13:2.3138945 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:246.81967 2:-7.7180367 3:8.340088 4:2.005055 5:0.82575655 6:-1.151267 7:0.56359535 8:-2.9193335 9:-0.46673957 10:-2.035168 11:1.2733563 12:-1.4644737 13:3.3496814 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:248.93623 2:-8.38685 3:8.982346 4:1.8571965 5:1.8854802 6:1.1190052 7:2.5759454 8:-2.1126058 9:0.9846818 10:-1.7525626 11:1.232564 12:-1.7980244 13:3.0859697 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:248.35017 2:-8.132261 3:6.4118023 4:0.08708279 5:0.05716152 6:-0.28246656 7:2.129849 8:-1.7777077 9:0.3731165 10:-2.117903 11:2.366523 12:-0.6150276 13:3.1658914 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.90678 2:-7.8879914 3:7.026381 4:1.2367096 5:1.7793899 6:-0.40425035 7:0.3555994 8:-0.8800073 9:1.8039204 10:-1.7613589 11:2.8506327 12:-1.0710089 13:3.5583313 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:244.52757 2:-10.595018 3:6.3912296 4:0.5216185 5:0.49959597 6:-0.054905653 7:1.2583735 8:-1.9996942 9:1.8111042 10:0.7862494 11:3.5516312 12:-1.4925935 13:1.5224559 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:240.94667 2:-10.932753 3:6.2968097 4:-0.7099091 5:-0.35745677 6:0.69145334 7:0.028523665 8:-2.8472183 9:-0.10702694 10:-2.3130858 11:1.893547 12:-1.750082 13:1.043358 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:249.10936 2:-6.0184884 3:7.910635 4:1.8044218 5:1.381028 6:-1.1472489 7:0.66252035 8:-1.268473 9:1.1762878 10:-2.7198246 11:3.1238573 12:-0.52441114 13:3.1424356 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.32631 2:-8.886779 3:7.1084313 4:1.0674284 5:0.4992046 6:-1.2270522 7:-1.3292865 8:-2.5052426 9:2.5232286 10:-0.33500403 11:3.639482 12:-1.0730915 13:2.4845753 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:245.09433 2:-8.595557 3:5.9246373 4:-0.17385596 5:0.23543231 6:-0.90202045 7:1.5555707 8:-1.1219981 9:1.4649801 10:-1.0960966 11:2.1565552 12:-0.8793297 13:2.5421772 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:244.11446 2:-8.190299 3:6.7071157 4:0.5262009 5:1.7841768 6:-0.5775641 7:2.2229364 8:-0.2509595 9:2.7681024 10:-0.4973644 11:2.5869884 12:-1.417117 13:1.7824153 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
1 1:243.06868 2:-9.564537 3:4.9188356 4:0.39416385 5:0.73368853 6:-0.2268981 7:2.5939891 8:-1.4167857 9:2.4266071 10:0.18964453 11:2.426705 12:-1.8711797 13:1.6240242 14:87.576035 15:3.4638991 16:4.3022504 17:0.48692068 18:3.0275164 19:0.58017623 20:2.1454039 21:-0.49919787 22:2.6014557 23:-0.3420669 24:0.8844727 25:-1.3952416 26:1.4397016 
