1 1:158.13646 2:-8.650581 3:7.0467725 4:0.89631677 5:-3.2696187 6:-2.7503338 7:-2.8053415 8:-3.227182 9:2.528049 10:-2.5022051 11:1.6560491 12:-0.6017009 13:3.156134 14:158.13646 15:-8.650581 16:7.0467725 17:0.89631677 18:-3.2696187 19:-2.7503338 20:-2.8053415 21:-3.227182 22:2.528049 23:-2.5022051 24:1.6560491 25:-0.6017009 26:3.156134 
1 1:246.0751 2:-8.915586 3:7.409106 4:2.2438664 5:2.0409179 6:-1.4244964 7:-0.34729156 8:-1.6953527 9:2.1056275 10:-0.72519046 11:3.0200727 12:-0.68100107 13:3.2604132 14:246.0751 15:-8.915586 16:7.409106 17:2.2438664 18:2.0409179 19:-1.4244964 20:-0.34729156 21:-1.6953527 22:2.1056275 23:-0.72519046 24:3.0200727 25:-0.68100107 26:3.2604132 
1 1:244.18076 2:-9.855711 3:5.5995064 4:0.5921622 5:0.8479142 6:0.43987995 7:1.5959656 8:-0.9053346 9:1.1517359 10:-3.2256293 11:1.6166227 12:-1.2966977 13:2.1475203 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.2547 2:-8.1718 3:5.9157076 4:-1.974862 5:-1.1366551 6:-1.0502636 7:0.236534 8:-2.0466645 9:0.67155576 10:-1.3599354 11:3.1968489 12:-0.10430988 13:3.9207387 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.83691 2:-8.439242 3:6.236188 4:-0.63511467 5:0.4955601 6:2.25568 7:3.751205 8:0.6070005 9:3.1871111 10:-0.7260253 11:2.4278843 12:-1.6422483 13:2.8913686 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.08745 2:-8.696519 3:8.348603 4:2.1194963 5:2.4344518 6:0.3277167 7:1.0798744 8:-2.004364 9:1.3145224 10:-1.2758845 11:2.3321404 12:-1.5158904 13:1.7939227 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.27036 2:-8.326945 3:7.374613 4:0.23956868 5:1.276042 6:0.2749449 7:1.5792118 8:-0.9358753 9:3.7436786 10:-0.074426465 11:1.8804035 12:-1.9778264 13:2.6837187 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:247.79549 2:-5.3941183 3:9.377504 4:1.7568852 5:2.0240335 6:-1.079873 7:0.8910863 8:-1.508839 9:2.120511 10:-2.1899235 11:1.6544132 12:-0.8492731 13:3.354001 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.65611 2:-6.944049 3:8.323313 4:1.4949399 5:1.9062644 6:0.8533588 7:2.7657154 8:-0.98276293 9:1.8642707 10:-1.4308754 11:2.5145802 12:-1.3376296 13:3.0507739 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:243.79845 2:-9.209393 3:5.6124415 4:0.93537724 5:2.7133455 6:1.2982352 7:2.2259717 8:-0.91142535 9:1.1465175 10:-2.52697 11:2.8054676 12:-0.48410925 13:3.2799327 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
1 1:245.15811 2:-8.624695 3:9.079625 4:3.1141634 5:1.3920939 6:-0.019070188 7:1.1121312 8:-2.5959384 9:0.56373936 10:-2.0854225 11:3.1712093 12:0.56066704 13:4.0256114 14:101.38799 15:6.3843637 16:1.8527102 17:-0.55174655 18:3.5706215 19:-0.63387185 20:1.6358169 21:-1.0167332 22:3.8292239 23:-0.16313103 24:0.5199565 25:-2.334664 26:1.2162699 
