1 1:242.82048 2:5.9419646 3:9.916599 4:2.2088392 5:0.8837463 6:-3.8812656 7:-0.41960806 8:-4.493502 9:1.661001 10:-4.53084 11:1.4522246 12:-4.7713323 13:2.3727832 14:242.82048 15:5.9419646 16:9.916599 17:2.2088392 18:0.8837463 19:-3.8812656 20:-0.41960806 21:-4.493502 22:1.661001 23:-4.53084 24:1.4522246 25:-4.7713323 26:2.3727832 
1 1:241.39911 2:5.1402907 3:9.290015 4:1.5302709 5:1.2535341 6:-1.2191206 7:1.2440324 8:-3.284058 9:1.4035163 10:-3.6611145 11:2.2582362 12:-5.3438015 13:4.401401 14:241.39911 15:5.1402907 16:9.290015 17:1.5302709 18:1.2535341 19:-1.2191206 20:1.2440324 21:-3.284058 22:1.4035163 23:-3.6611145 24:2.2582362 25:-5.3438015 26:4.401401 
1 1:239.75269 2:4.100816 3:8.932597 4:2.054031 5:0.70134526 6:-2.7401683 7:1.14881 8:-1.9740795 9:2.878003 10:-2.724794 11:3.4004557 12:-3.1080556 13:3.055316 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:240.98431 2:4.5498734 3:6.7230372 4:0.84730446 5:0.6836372 6:-3.568366 7:-1.0648655 8:-3.386398 9:1.3563732 10:-4.295183 11:1.7627441 12:-3.9472325 13:3.6535554 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:242.92493 2:4.9297605 3:8.262139 4:1.9594246 5:0.53275865 6:-2.983267 7:0.79519707 8:-3.4541163 9:-0.077975854 10:-5.7562375 11:1.0415448 12:-6.478632 13:2.42777 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:241.1862 2:5.6404943 3:9.348923 4:1.2602737 5:0.3658049 6:-2.2059877 7:2.3051598 8:-2.365993 9:2.3002555 10:-3.3736782 11:2.4912148 12:-3.0174212 13:3.8740523 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:240.47084 2:4.625945 3:8.824931 4:0.9661019 5:1.0062548 6:-1.422213 7:2.2614691 8:-3.378643 9:1.665773 10:-3.3816426 11:2.7564592 12:-3.895767 13:3.9238853 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:237.8845 2:4.0693054 3:9.845127 4:2.729579 5:2.0976796 6:-2.0763278 7:1.5525261 8:-3.0069172 9:1.4837933 10:-4.484677 11:1.6371583 12:-3.4569967 13:3.6974554 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:238.97142 2:5.6763616 3:8.4666 4:-0.49473333 5:0.60365736 6:-2.768987 7:1.0647513 8:-3.6120203 9:2.329891 10:-3.7740397 11:0.7759411 12:-3.1926672 13:3.6762798 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:240.32664 2:4.5016546 3:7.10016 4:-0.049542636 5:-0.31694826 6:-2.9746165 7:1.790697 8:-3.0446832 9:1.5240376 10:-4.581818 11:0.72958726 12:-3.704411 13:3.6601932 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:235.814 2:4.2092624 3:7.0548053 4:-0.05837145 5:-0.30148715 6:-3.9535809 7:0.4890025 8:-4.353733 9:0.7771621 10:-3.1500278 11:2.7932687 12:-3.3647003 13:5.2645764 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:234.77411 2:3.9702773 3:8.41382 4:1.2234854 5:2.8943498 6:-0.91337717 7:3.2448425 8:-2.5139744 9:0.9286873 10:-2.8885114 11:4.226087 12:-1.6427956 13:4.00605 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:234.93526 2:3.8869793 3:7.98671 4:0.63306636 5:1.1710492 6:-2.0423784 7:2.2930994 8:-2.5050416 9:2.6123896 10:-3.0694003 11:2.2773757 12:-2.4666455 13:3.6862302 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:234.07486 2:3.3654103 3:7.4216194 4:1.3377496 5:0.7762392 6:-2.4310467 7:1.9956957 8:-2.5659235 9:2.1732628 10:-3.3732085 11:2.8127763 12:-3.313703 13:3.8743715 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:231.8409 2:2.1087415 3:9.624597 4:2.6513405 5:0.18543932 6:-3.589909 7:0.58153504 8:-1.9501691 9:1.2826004 10:-3.8659286 11:0.9537858 12:-4.6444063 13:4.146302 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:235.54422 2:1.8186891 3:6.9167757 4:4.869057 5:3.6408048 6:-2.4712286 7:0.7051518 8:-1.3898234 9:3.5535707 10:-2.5551207 11:3.9756453 12:-2.28026 13:4.4610996 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
