1 1:234.70456 2:1.6080714 3:9.847421 4:3.9589064 5:1.8745513 6:1.0636504 7:3.6317985 8:-1.7668235 9:1.5793979 10:-2.7088516 11:2.7906122 12:-2.4633832 13:4.321483 14:234.70456 15:1.6080714 16:9.847421 17:3.9589064 18:1.8745513 19:1.0636504 20:3.6317985 21:-1.7668235 22:1.5793979 23:-2.7088516 24:2.7906122 25:-2.4633832 26:4.321483 
1 1:233.52524 2:1.8748884 3:8.191234 4:3.0255969 5:1.172747 6:-1.5716653 7:1.7917727 8:-1.2471501 9:3.3790545 10:-2.7627912 11:1.4333484 12:-5.3509545 13:2.798916 14:233.52524 15:1.8748884 16:8.191234 17:3.0255969 18:1.172747 19:-1.5716653 20:1.7917727 21:-1.2471501 22:3.3790545 23:-2.7627912 24:1.4333484 25:-5.3509545 26:2.798916 
1 1:233.71529 2:1.789123 3:8.989229 4:2.7952318 5:2.500625 6:-1.6975081 7:3.0219996 8:-0.5449754 9:3.3265586 10:-1.6652724 11:2.3488476 12:-2.7411964 13:3.039042 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:234.91304 2:1.3756794 3:7.650938 4:2.2578506 5:2.1032045 6:0.051488083 7:3.161964 8:-1.3669618 9:1.6716126 10:-2.8390117 11:3.0052023 12:-3.345048 13:3.2785823 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:235.50188 2:2.6859787 3:7.7029963 4:1.6293083 5:2.1366134 6:-1.6193509 7:2.2480304 8:-1.3318148 9:3.5422392 10:-1.2162144 11:2.6245885 12:-3.3103797 13:4.2898407 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:235.0221 2:3.6367502 3:8.431292 4:0.62665683 5:2.0017977 6:-0.2713373 7:3.5080788 8:-2.4645717 9:2.6757052 10:-3.184917 11:1.7474551 12:-2.9528537 13:2.55126 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:235.01852 2:3.2998505 3:9.377542 4:1.42698 5:1.262014 6:-1.1189524 7:2.732763 8:-1.7982913 9:1.1205649 10:-2.4019616 11:2.429805 12:-3.7804575 13:4.1904497 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:236.54872 2:4.3151007 3:10.102753 4:2.6048458 5:1.0051861 6:-2.4794595 7:1.6818111 8:-3.6578674 9:0.018921781 10:-2.524984 11:3.1914287 12:-3.795564 13:3.0805783 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:241.41429 2:2.009284 3:5.38418 4:4.272075 5:2.0657473 6:-2.4233296 7:4.1721935 8:-5.1470256 9:0.8475478 10:0.42440507 11:2.461308 12:-6.1391215 13:3.7757397 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:235.8165 2:4.850735 3:11.003685 4:2.843486 5:2.1480217 6:-2.8438334 7:1.7591647 8:-2.4352014 9:3.4830208 10:-1.9553242 11:3.6790612 12:-1.7700772 13:3.618591 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:237.25726 2:4.557629 3:8.081331 4:1.8373466 5:1.8970597 6:-2.107774 7:2.544049 8:-3.293028 9:1.4861743 10:-2.6620917 11:2.3998437 12:-3.8989003 13:2.8648129 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:241.93039 2:2.951825 3:6.776687 4:3.1953259 5:3.624023 6:-1.3665696 7:3.3146367 8:-5.3767285 9:1.8913702 10:0.21404143 11:2.3127012 12:-4.5092206 13:2.0827823 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:247.46443 2:3.0414698 3:1.3588268 4:2.4882884 5:3.750169 6:-1.6018585 7:3.0308926 8:-5.9117894 9:2.2328792 10:0.47444582 11:3.0520525 12:-5.9687147 13:3.4150805 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:243.41563 2:3.3166897 3:4.867269 4:3.7353306 5:4.7333484 6:-0.6459873 7:2.5569794 8:-4.816423 9:1.7308927 10:-0.90244967 11:2.0664032 12:-5.932176 13:2.5234287 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:235.31891 2:3.2818794 3:8.688316 4:2.2149167 5:2.5285401 6:-1.6373978 7:2.6817062 8:-1.3269318 9:3.0552738 10:-3.3452854 11:1.0310924 12:-3.2269273 13:3.9161937 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:232.74574 2:2.5132303 3:9.2394705 4:2.3267357 5:1.9676695 6:-2.1496239 7:1.6043067 8:-0.23844704 9:4.430674 10:-2.0763242 11:2.6239007 12:-2.4058602 13:4.0786657 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:232.46669 2:2.992129 3:8.588772 4:0.19468778 5:2.6247122 6:0.39612734 7:2.8052952 8:-1.9645337 9:4.4665666 10:0.13479315 11:2.6265259 12:-4.0148573 13:4.3362966 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:233.37976 2:3.1947749 3:8.878358 4:1.29601 5:2.765091 6:0.09584854 7:3.0648332 8:-3.3304055 9:2.8692977 10:-1.8946316 11:1.8706142 12:-2.1074283 13:3.3428497 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
