1 1:228.69041 2:2.239417 3:10.161912 4:4.4021206 5:2.4100957 6:-2.1639206 7:2.0257666 8:-1.2549597 9:3.9794326 10:-2.16068 11:1.5420133 12:-2.364201 13:2.892113 14:228.69041 15:2.239417 16:10.161912 17:4.4021206 18:2.4100957 19:-2.1639206 20:2.0257666 21:-1.2549597 22:3.9794326 23:-2.16068 24:1.5420133 25:-2.364201 26:2.892113 
1 1:230.51639 2:0.5818601 3:8.075552 4:2.5237334 5:1.8791006 6:-1.262837 7:2.6125195 8:-0.5902939 9:2.2386389 10:-1.5618179 11:2.7371178 12:-3.6712558 13:2.8750036 14:230.51639 15:0.5818601 16:8.075552 17:2.5237334 18:1.8791006 19:-1.262837 20:2.6125195 21:-0.5902939 22:2.2386389 23:-1.5618179 24:2.7371178 25:-3.6712558 26:2.8750036 
1 1:233.13855 2:1.7020311 3:8.376039 4:1.5592164 5:2.3185236 6:-1.8713834 7:1.9784044 8:-2.1471035 9:0.966721 10:-2.9408803 11:2.81739 12:-3.0149934 13:3.2240372 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:233.85167 2:2.7468688 3:7.3999343 4:1.3064222 5:1.6918193 6:-2.5877886 7:1.7954072 8:-3.6553714 9:1.1906872 10:-2.4310784 11:2.002379 12:-3.397911 13:4.4193826 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:243.72025 2:1.429265 3:2.0585136 4:4.9191504 5:3.7612307 6:-3.2876067 7:4.521389 8:-2.8147926 9:3.023097 10:-0.365998 11:1.7197633 12:-5.323503 13:5.0048037 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:233.05315 2:2.021363 3:7.201179 4:0.90313065 5:-0.61289966 6:-2.6278167 7:1.390321 8:-3.5820005 9:2.0896926 10:-2.5090766 11:1.6731743 12:-4.6844015 13:3.3745399 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:230.6127 2:0.67248404 3:7.9345713 4:1.8886697 5:1.1571393 6:-0.803949 7:2.1622944 8:-2.7878282 9:3.8552217 10:0.38482907 11:3.0379252 12:-2.8589547 13:3.4093907 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:230.30092 2:0.23663072 3:6.703873 4:0.9398167 5:1.3517076 6:-1.1297427 7:2.5396929 8:-1.9582107 9:2.2670343 10:-1.8402035 11:2.4736598 12:-3.45552 13:4.202011 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:231.20992 2:0.6439035 3:7.736656 4:3.3437848 5:2.24857 6:-2.3157723 7:0.10040608 8:-2.383629 9:1.7495496 10:-3.0126889 11:2.281101 12:-3.6970952 13:3.847803 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:231.02322 2:1.3847007 3:7.898213 4:2.1986346 5:2.4381928 6:-1.3448597 7:1.2111781 8:-2.8082633 9:1.8022268 10:-2.1020317 11:1.3626786 12:-3.8601365 13:3.242923 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
1 1:229.43323 2:-0.7321878 3:6.080901 4:1.0969017 5:0.61465365 6:-2.6617086 7:-0.40220812 8:-3.300742 9:2.2141228 10:-2.5802248 11:1.9634598 12:-2.5051334 13:4.3882303 14:104.04579 15:7.6000323 16:0.08359604 17:0.099391066 18:3.813419 19:1.0014656 20:2.4335926 21:-2.69221 22:3.037631 23:0.18742232 24:1.5199896 25:-3.5569062 26:2.0484471 
