1 1:175.66484 2:-6.259385 3:7.3946753 4:3.5445929 5:0.8501298 6:-3.3094676 7:0.5468034 8:1.48308 9:2.9120014 10:-4.2446437 11:2.123201 12:0.22637747 13:1.1985759 14:175.66484 15:-6.259385 16:7.3946753 17:3.5445929 18:0.8501298 19:-3.3094676 20:0.5468034 21:1.48308 22:2.9120014 23:-4.2446437 24:2.123201 25:0.22637747 26:1.1985759 
1 1:245.03668 2:-9.901394 3:5.8835316 4:0.94634557 5:-0.066016175 6:0.5925217 7:2.8167753 8:0.37984094 9:2.0677335 10:-2.3366482 11:0.96130234 12:-1.8350679 13:4.160499 14:245.03668 15:-9.901394 16:5.8835316 17:0.94634557 18:-0.066016175 19:0.5925217 20:2.8167753 21:0.37984094 22:2.0677335 23:-2.3366482 24:0.96130234 25:-1.8350679 26:4.160499 
1 1:246.46175 2:-9.645658 3:8.581923 4:1.8794115 5:0.8679852 6:0.2949765 7:1.7387255 8:-1.1518171 9:1.0583308 10:-2.3402464 11:0.79184127 12:-1.3649917 13:3.6713705 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.6428 2:-7.905982 3:8.553147 4:0.19017442 5:-0.37908643 6:-0.7838786 7:1.1502496 8:-1.2612292 9:2.179514 10:0.81730956 11:3.7475863 12:-1.5319428 13:3.2411084 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:244.25945 2:-10.11537 3:4.2631726 4:-0.26418954 5:0.8849569 6:0.33896357 7:1.3052212 8:-0.8193165 9:2.7017486 10:-0.095563255 11:2.88875 12:-1.9105284 13:2.580735 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:241.41734 2:-11.16512 3:5.78778 4:-0.31535727 5:0.90970534 6:1.2439984 7:0.98798686 8:0.0010931038 9:2.252638 10:-0.94201887 11:2.4350924 12:-0.70394087 13:2.9913657 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.4504 2:-8.700767 3:6.2865863 4:-1.1114057 5:0.16302185 6:0.1902639 7:0.979035 8:-1.0635839 9:1.947006 10:-1.0917575 11:1.6014997 12:-2.6488328 13:0.9055549 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:241.37054 2:-10.351486 3:5.8124657 4:-1.8569479 5:-1.6988 6:-0.79127204 7:2.6143093 8:0.4962766 9:2.347951 10:-0.5950212 11:2.0319726 12:-0.64765733 13:2.0728924 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:244.05208 2:-6.9165287 3:8.695333 4:1.2615143 5:1.3260599 6:0.7808048 7:2.6213005 8:-0.7617441 9:1.1794528 10:-3.2162008 11:0.6714084 12:-2.0946362 13:2.3639712 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.24153 2:-10.263066 3:7.8200736 4:2.405349 5:0.5523624 6:-1.1149168 7:2.439093 8:0.40156272 9:3.1331906 10:-1.3260978 11:1.5927624 12:0.2332803 13:4.2506084 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:241.89996 2:-8.206554 3:6.9377003 4:1.9377717 5:2.4081569 6:-0.30881676 7:-0.3524934 8:-2.1098156 9:1.1437064 10:-2.265337 11:2.673929 12:-1.1325234 13:3.5962212 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
