1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:228.02792 2:-10.986769 3:5.219401 4:0.66722536 5:1.9051379 6:-0.6157833 7:0.29740778 8:-0.2693566 9:2.6007235 10:0.29841945 11:3.913239 12:0.88066584 13:4.3022766 14:228.02792 15:-10.986769 16:5.219401 17:0.66722536 18:1.9051379 19:-0.6157833 20:0.29740778 21:-0.2693566 22:2.6007235 23:0.29841945 24:3.913239 25:0.88066584 26:4.3022766 
1 1:232.9887 2:-7.5865097 3:8.651867 4:1.2776072 5:0.34224334 6:-0.93668514 7:0.36832827 8:-1.1430275 9:0.89740235 10:-0.40382752 11:3.3962855 12:-2.3180478 13:3.1835735 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:232.9695 2:-8.450553 3:7.981542 4:1.035878 5:1.8161225 6:0.39996392 7:1.5073174 8:-0.7967373 9:2.831879 10:-0.18418589 11:2.3610706 12:-2.0325649 13:1.930354 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:233.8118 2:-8.234257 3:8.301007 4:0.6489433 5:1.557333 6:-0.13187288 7:1.4474555 8:0.43792957 9:1.5536852 10:-1.5687311 11:3.2904255 12:-1.22953 13:2.8577638 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:233.0563 2:-6.995224 3:7.9602075 4:1.3764719 5:1.2337286 6:0.5622154 7:2.990746 8:0.2875763 9:1.9227854 10:-2.350239 11:3.4424243 12:-0.7427081 13:2.383616 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:232.28714 2:-9.50016 3:5.2436814 4:-0.1331457 5:0.3909879 6:-1.5000353 7:0.0810715 8:-1.1011158 9:1.1213973 10:-2.3095822 11:2.551746 12:-0.8449777 13:1.6801629 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:228.722 2:-8.879576 3:8.263076 4:-0.07757771 5:-0.06624803 6:-1.4790896 7:0.11531305 8:-1.979732 9:1.3878294 10:-1.2806764 11:1.2107936 12:-1.517167 13:2.924956 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:229.89023 2:-10.251601 3:6.0029087 4:0.9992299 5:-0.7022531 6:0.982947 7:2.1640854 8:-0.9526087 9:0.8417795 10:-1.6431932 11:3.7074356 12:-2.218376 13:2.5470338 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:230.87718 2:-9.36637 3:5.690779 4:0.56984884 5:2.3712626 6:1.2793363 7:1.7033908 8:-1.8500756 9:-0.20099334 10:-0.7190883 11:4.1387563 12:0.43782434 13:2.8105927 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:234.20346 2:-8.157419 3:7.100291 4:1.3726017 5:1.7375485 6:0.09664775 7:2.1110315 8:-2.0790567 9:0.2597179 10:-0.5568493 11:2.6927936 12:-2.0025797 13:2.648206 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:232.46066 2:-7.933627 3:7.237448 4:1.0867492 5:0.87896895 6:0.55429167 7:3.1141136 8:0.9973833 9:2.1871715 10:-1.6284263 11:1.9572381 12:-2.2266989 13:2.9076908 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:234.62108 2:-6.4460535 3:7.4592156 4:1.5255334 5:2.9996219 6:-0.16901828 7:1.3751401 8:-0.41004264 9:2.0845435 10:-1.0251539 11:3.7637012 12:-1.1718768 13:2.869431 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
1 1:230.0866 2:-9.163171 3:7.4068437 4:3.5972645 5:3.6024222 6:0.09410981 7:0.5864526 8:-0.39974323 9:2.0520127 10:-0.9347042 11:4.490756 12:-1.3634135 13:1.4203126 14:91.325745 15:6.273234 16:2.6023562 17:-2.8524323 18:1.2976648 19:2.2114124 20:2.7217631 21:-0.10893018 22:2.4856453 23:-1.7413409 24:1.7539443 25:-1.5760025 26:0.89658564 
