1 1:159.5624 2:-10.919716 3:7.2991614 4:3.651125 5:1.7628117 6:-0.9609495 7:-0.034825433 8:-0.8040085 9:1.7528833 10:-1.0274364 11:2.5576043 12:-3.5548282 13:2.4805908 14:159.5624 15:-10.919716 16:7.2991614 17:3.651125 18:1.7628117 19:-0.9609495 20:-0.034825433 21:-0.8040085 22:1.7528833 23:-1.0274364 24:2.5576043 25:-3.5548282 26:2.4805908 
1 1:246.02982 2:-7.3805532 3:8.045762 4:0.5105152 5:0.124742836 6:-2.1846187 7:-1.6016064 8:-2.3203597 9:1.4984443 10:-1.5423154 11:0.9257892 12:-2.9253159 13:2.8183973 14:246.02982 15:-7.3805532 16:8.045762 17:0.5105152 18:0.124742836 19:-2.1846187 20:-1.6016064 21:-2.3203597 22:1.4984443 23:-1.5423154 24:0.9257892 25:-2.9253159 26:2.8183973 
1 1:245.41539 2:-6.986913 3:7.572041 4:-0.7403054 5:0.40348652 6:-0.37519187 7:0.3704507 8:-0.43129402 9:2.4142535 10:-1.1182857 11:1.708155 12:-1.0981537 13:4.4838 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.21431 2:-9.398458 3:6.433015 4:0.7358585 5:3.4496944 6:1.9159715 7:1.6153476 8:-0.30948517 9:0.7670722 10:-2.4694722 11:2.0185888 12:-1.3411585 13:1.5262154 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.48895 2:-8.950293 3:7.4252167 4:1.2428294 5:1.6195954 6:0.31304306 7:1.0338582 8:0.011177463 9:1.1317602 10:-1.9074954 11:1.6402256 12:-2.0411546 13:1.5331454 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.34451 2:-9.0511875 3:5.77872 4:-0.8792559 5:0.5069446 6:-1.1170244 7:0.35144132 8:-1.6722314 9:0.4504849 10:-1.7872866 11:1.2743766 12:-1.8480159 13:2.2459092 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.60327 2:-8.543396 3:6.7291684 4:0.2754688 5:1.4335415 6:-0.83030987 7:-0.408175 8:-1.6568044 9:1.76156 10:-1.4157939 11:1.2224615 12:-2.7271793 13:1.1221244 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:245.16104 2:-8.34495 3:7.985547 4:1.2002864 5:1.7247248 6:-0.8282618 7:0.50155693 8:-0.74584216 9:2.545036 10:-0.8054033 11:2.434552 12:-2.4322906 13:1.770091 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:245.40004 2:-8.941702 3:6.5474057 4:-0.4347303 5:-0.41932192 6:-1.9230932 7:0.541547 8:-1.639464 9:1.4275025 10:-1.527149 11:0.69975793 12:-3.4935322 13:0.791557 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:245.37648 2:-7.798659 3:8.844982 4:1.7701035 5:2.1073678 6:-1.0092546 7:0.062850386 8:-0.7641325 9:1.3417937 10:-1.1030229 11:2.4991355 12:-2.549208 13:1.6712524 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
1 1:243.95908 2:-7.632053 3:7.6000977 4:-0.6990268 5:0.11745133 6:-0.108807825 7:1.0294902 8:-0.044558138 9:1.9443636 10:-1.8772538 11:2.0437458 12:-0.9130214 13:3.1719635 14:84.912796 15:3.7701879 16:3.8421035 17:-1.9276087 18:0.6549011 19:0.9802198 20:2.5505655 21:-0.13062072 22:1.0888233 23:-1.0269338 24:1.151332 25:-1.3190788 26:0.9444943 
