1 1:167.60782 2:-8.134317 3:4.659487 4:-0.7453301 5:0.034023125 6:-0.7682601 7:-0.46361896 8:2.438135 9:3.8312883 10:-2.3593261 11:0.60641867 12:-5.147488 13:3.219556 14:167.60782 15:-8.134317 16:4.659487 17:-0.7453301 18:0.034023125 19:-0.7682601 20:-0.46361896 21:2.438135 22:3.8312883 23:-2.3593261 24:0.60641867 25:-5.147488 26:3.219556 
1 1:244.4786 2:-8.739288 3:7.525785 4:0.0025861785 5:-0.11141069 6:-1.1033093 7:-0.70556253 8:-1.5139863 9:1.5281348 10:-1.0803185 11:1.4441762 12:-0.18303615 13:4.4358163 14:244.4786 15:-8.739288 16:7.525785 17:0.0025861785 18:-0.11141069 19:-1.1033093 20:-0.70556253 21:-1.5139863 22:1.5281348 23:-1.0803185 24:1.4441762 25:-0.18303615 26:4.4358163 
1 1:247.2013 2:-7.751398 3:7.3889723 4:0.65962094 5:0.90509343 6:-0.35819125 7:1.9904525 8:0.77370304 9:2.1331909 10:-2.3228955 11:0.13549778 12:-2.5307145 13:2.3846834 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:249.24576 2:-5.3069897 3:8.454646 4:1.1263747 5:-1.2459539 6:-1.1209017 7:0.7792648 8:-0.6348367 9:2.3558445 10:-2.3325784 11:1.8420056 12:-1.3935591 13:3.895285 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:250.01665 2:-4.925709 3:7.706155 4:-0.41434214 5:1.5737824 6:-0.34350076 7:0.66275257 8:-2.593856 9:1.9781418 10:-2.586969 11:1.014356 12:-1.8402038 13:3.214638 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:246.22954 2:-6.909248 3:8.079614 4:0.5184831 5:0.012304552 6:-1.9056119 7:0.72312474 8:-0.6435623 9:2.1041553 10:-2.6195524 11:0.7644795 12:-1.1826152 13:2.7317824 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:244.81242 2:-8.176578 3:9.563023 4:1.8316503 5:0.049819425 6:-0.64095354 7:0.49776593 8:-1.4813855 9:3.087101 10:-0.69877213 11:2.5982263 12:-1.0218152 13:2.6341646 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:246.16417 2:-7.9260526 3:7.5199547 4:-0.122237034 5:1.0454596 6:-0.47301403 7:-0.031153256 8:-1.8891486 9:1.954287 10:-1.4318731 11:2.5119045 12:-1.6085688 13:2.3189707 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:245.05103 2:-8.080699 3:7.213173 4:-0.22085772 5:1.1539674 6:0.6351729 7:1.8404276 8:-2.3711824 9:1.9891862 10:-2.362559 11:0.3980457 12:-2.0003617 13:1.3011228 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:245.58699 2:-8.254424 3:6.4832315 4:0.98282903 5:1.4982023 6:0.7229406 7:1.4315208 8:-1.8850623 9:1.8778783 10:-1.6071187 11:2.147986 12:-1.3613921 13:2.6632557 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
1 1:247.47899 2:-6.5036736 3:7.5709934 4:0.14204043 5:0.8230584 6:-1.1046917 7:0.44200435 8:-1.5038087 9:1.6778824 10:0.30015704 11:3.4134572 12:-1.1080436 13:3.7953475 14:94.64845 15:7.0223565 16:5.988972 17:-1.0949457 18:0.40445003 19:-0.0147287315 20:0.9370302 21:-1.9854232 22:1.7128803 23:-2.575486 24:1.3519318 25:-0.6835279 26:1.2822466 
