1 1:176.53305 2:-7.7056866 3:6.4236903 4:-1.6287888 5:0.45598403 6:-0.3365825 7:-2.0465083 8:0.16030213 9:2.5561147 10:-4.660546 11:-1.1803356 12:-2.7111578 13:2.2454698 14:176.53305 15:-7.7056866 16:6.4236903 17:-1.6287888 18:0.45598403 19:-0.3365825 20:-2.0465083 21:0.16030213 22:2.5561147 23:-4.660546 24:-1.1803356 25:-2.7111578 26:2.2454698 
1 1:243.85986 2:-9.785254 3:6.998029 4:0.9446453 5:1.2788924 6:0.6918353 7:2.5261176 8:0.6399113 9:2.4085553 10:-0.796528 11:1.9157581 12:-1.4997185 13:1.9857087 14:243.85986 15:-9.785254 16:6.998029 17:0.9446453 18:1.2788924 19:0.6918353 20:2.5261176 21:0.6399113 22:2.4085553 23:-0.796528 24:1.9157581 25:-1.4997185 26:1.9857087 
1 1:244.26439 2:-8.219927 3:6.186764 4:-0.9505699 5:0.56673896 6:-0.8622005 7:1.0983974 8:-0.767742 9:2.752186 10:-1.6734307 11:1.6062943 12:-1.913234 13:2.871874 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:245.68819 2:-8.997006 3:7.601801 4:0.26002908 5:-0.1976163 6:-0.29624423 7:0.8309145 8:-1.4552513 9:1.0146899 10:-3.2602575 11:1.8216128 12:-0.8948568 13:3.2583098 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:247.00638 2:-7.030801 3:7.240282 4:-0.5380696 5:0.77919483 6:0.51404697 7:1.8460344 8:-0.4007079 9:1.5222077 10:-1.2499783 11:2.3779395 12:-1.6352152 13:2.1647923 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:248.05101 2:-6.6206965 3:6.846135 4:-0.5800273 5:0.36537966 6:-0.77460057 7:0.8927403 8:-1.7245649 9:0.27776733 10:-1.3286619 11:1.8401185 12:-2.1524632 13:3.3162754 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:245.11186 2:-8.032757 3:6.2545033 4:-1.9104918 5:-1.1196347 6:-2.3859575 7:-0.76925695 8:-1.7479622 9:-0.35267004 10:-2.6863325 11:1.9011152 12:-1.141695 13:2.5442238 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.7199 2:-8.100053 3:6.5439773 4:0.42056322 5:2.113867 6:-0.2730727 7:2.026285 8:1.4492952 9:1.1809775 10:-2.630902 11:0.64096576 12:-2.0378652 13:1.9197392 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:247.04285 2:-6.7944536 3:7.699758 4:-0.18307863 5:-0.93797547 6:-1.1175458 7:-0.14148015 8:-2.1074288 9:1.3988577 10:-0.5302727 11:3.043436 12:-1.466501 13:1.7388493 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:247.96895 2:-6.5972004 3:6.9003806 4:0.63456666 5:1.5002111 6:-0.5783709 7:1.0769162 8:-1.1725734 9:2.4318066 10:-0.22838816 11:2.4308484 12:-1.9316541 13:2.7166011 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:245.30653 2:-7.539417 3:7.0242248 4:-0.6787455 5:-0.71225333 6:-2.532679 7:-0.13513263 8:-1.7620596 9:1.7596166 10:-2.8434947 11:2.521033 12:-1.8420725 13:2.3179677 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.33353 2:-8.539537 3:8.139191 4:0.67989045 5:0.6868148 6:-0.26427308 7:1.4869092 8:-0.5384777 9:2.5685942 10:-2.4938517 11:1.2127218 12:-1.8339258 13:2.7059393 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:246.29149 2:-6.375379 3:8.761879 4:0.8436355 5:0.075039506 6:-0.82411623 7:1.9756265 8:-0.7565659 9:1.9176902 10:-2.0147314 11:1.275599 12:-1.7452874 13:2.2598662 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:245.08392 2:-6.1024413 3:10.136848 4:0.7858314 5:2.4215415 6:1.6541879 7:2.147026 8:-1.2688408 9:0.425733 10:-1.9642173 11:1.3343599 12:-3.8183517 13:1.1770098 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:242.30888 2:-8.528755 3:7.752158 4:-0.67855996 5:0.77043015 6:-0.24201626 7:-0.08206933 8:-2.0298097 9:0.67412615 10:-2.7259705 11:0.83772177 12:-2.0476253 13:3.2754064 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:241.65192 2:-9.748499 3:7.7351346 4:0.8386738 5:1.2226405 6:-1.6686622 7:0.8463286 8:0.20286004 9:1.4226413 10:-1.7089691 11:1.6996819 12:-1.3013833 13:3.2270858 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:243.76538 2:-7.8579154 3:6.4625015 4:0.15841629 5:1.0357732 6:-0.6755962 7:1.8799781 8:0.1974914 9:2.448172 10:-1.1227846 11:1.2685469 12:-2.675391 13:1.6695831 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:242.96773 2:-9.036598 3:6.772758 4:0.75699854 5:1.0602331 6:-0.4537779 7:0.87482107 8:0.6983898 9:4.1972027 10:-0.86888516 11:3.080174 12:-1.7193583 13:1.8622694 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.0912 2:-9.185751 3:6.971456 4:1.0075176 5:0.13357861 6:-0.75829744 7:1.0065295 8:0.23146835 9:1.740567 10:-1.8713411 11:1.8670799 12:-1.9628954 13:3.7186205 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.89702 2:-8.660405 3:7.7579975 4:1.8918451 5:1.1078585 6:0.78111106 7:1.9302446 8:-0.803115 9:1.7737796 10:-2.3288498 11:1.3632512 12:-1.8167524 13:2.040467 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:246.25334 2:-7.361655 3:8.279503 4:1.8453447 5:0.5013527 6:-1.285967 7:0.6271181 8:-1.0028571 9:2.4059114 10:-0.7103599 11:1.7749705 12:-1.7106065 13:2.8297184 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:247.34518 2:-7.624923 3:8.449452 4:0.6089676 5:1.86976 6:0.17942058 7:2.9862034 8:1.3446417 9:2.7920084 10:-0.7794024 11:2.9651716 12:-0.23766807 13:2.788118 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:247.11665 2:-5.8465157 3:8.687069 4:1.0808724 5:0.64966476 6:-0.105521 7:2.340132 8:-0.47791582 9:0.63441354 10:-1.2891126 11:3.0800009 12:-2.767473 13:1.2794015 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:247.08885 2:-6.180194 3:9.0678 4:1.6826217 5:1.6301187 6:-1.2473804 7:0.50831735 8:-0.52149504 9:2.3846428 10:-1.1093094 11:0.4636125 12:-3.1489472 13:1.2275872 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:246.28275 2:-6.0638003 3:5.275134 4:-0.8618256 5:1.4310175 6:-2.1958635 7:2.534454 8:0.32820696 9:2.0239053 10:-0.8574492 11:2.8534734 12:-1.7155403 13:2.9651716 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:247.14151 2:-6.7184086 3:7.3246455 4:-0.20293863 5:-0.27090487 6:-1.9247446 7:0.9680827 8:-0.6911957 9:2.93409 10:-0.8850434 11:2.3588617 12:-0.7605573 13:2.7037518 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:244.97227 2:-8.40052 3:7.8518786 4:1.4283973 5:0.83904296 6:-1.6276562 7:0.51065385 8:0.80145705 9:3.9233935 10:0.59278154 11:3.2360394 12:-0.30733287 13:3.3102982 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:246.47258 2:-5.5759115 3:9.518373 4:1.662377 5:2.0824406 6:0.011676482 7:1.5291603 8:-0.72859603 9:1.8166442 10:-3.1512518 11:0.30421337 12:-2.7227926 13:3.2763638 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
