1 1:178.84294 2:-9.960057 3:0.52601665 4:-3.3341873 5:2.0144694 6:0.2779807 7:0.59838384 8:-1.515542 9:2.1808429 10:-0.95582956 11:3.7256083 12:-1.2569585 13:1.5204358 14:178.84294 15:-9.960057 16:0.52601665 17:-3.3341873 18:2.0144694 19:0.2779807 20:0.59838384 21:-1.515542 22:2.1808429 23:-0.95582956 24:3.7256083 25:-1.2569585 26:1.5204358 
1 1:256.07498 2:-6.727787 3:2.1038725 4:-1.1201795 5:2.4970083 6:0.5479925 7:1.9324087 8:-2.132746 9:0.21976317 10:-2.4469147 11:0.4583043 12:-4.0684867 13:2.1903746 14:256.07498 15:-6.727787 16:2.1038725 17:-1.1201795 18:2.4970083 19:0.5479925 20:1.9324087 21:-2.132746 22:0.21976317 23:-2.4469147 24:0.4583043 25:-4.0684867 26:2.1903746 
1 1:255.35982 2:-5.96232 3:1.8466098 4:-1.5096692 5:1.599589 6:-0.96491915 7:2.6258461 8:-0.73048335 9:1.373022 10:-1.6024591 11:2.9192927 12:-2.2733705 13:3.19926 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:252.24437 2:-7.5652614 3:2.9184513 4:0.7859848 5:3.4916341 6:0.1813543 7:2.4646401 8:-0.6985598 9:1.8303643 10:-1.4636015 11:2.775536 12:-2.7375302 13:3.1785119 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:252.41133 2:-6.208752 3:5.283666 4:1.5250425 5:2.543657 6:0.11946469 7:2.8887208 8:-0.5808318 9:0.9988899 10:-1.8259073 11:3.5867503 12:-1.7037071 13:3.2927864 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:255.07417 2:-4.372001 3:5.7435393 4:0.632142 5:2.26504 6:0.76010215 7:4.103413 8:0.61086184 9:1.8223296 10:-2.450353 11:1.2978314 12:-2.8801672 13:1.9917458 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:256.85272 2:-4.151729 3:4.2499485 4:0.43988904 5:4.1232085 6:1.7575291 7:3.1225343 8:-1.7123442 9:2.952366 10:-1.6333805 11:3.173552 12:-1.2990791 13:1.7840414 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:254.66069 2:-6.373049 3:4.0938263 4:0.56445146 5:2.8876605 6:1.526323 7:2.4032574 8:-1.0233417 9:2.605252 10:-2.9859042 11:1.5375466 12:-2.2642422 13:2.3405006 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:252.80182 2:-5.2203207 3:7.7068744 4:0.8653958 5:1.7800113 6:0.23645003 7:1.6940567 8:-2.2674353 9:2.4167955 10:-1.3253824 11:2.0630107 12:-2.2376246 13:2.3189445 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:252.01648 2:-5.2135925 3:5.8523784 4:-0.08099981 5:2.5629659 6:0.18862456 7:0.92163396 8:-0.4683277 9:3.238543 10:-1.1044935 11:2.7794156 12:-2.2152221 13:2.776865 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
1 1:253.1526 2:-5.1100044 3:6.253722 4:-0.72450703 5:3.7615008 6:1.2274696 7:1.3447144 8:-1.6046035 9:1.6740057 10:-1.1701939 11:1.3354979 12:-4.553754 13:1.6399058 14:94.420074 15:7.331701 16:5.2940755 17:-1.3226285 18:0.69972926 19:0.02960873 20:1.240246 21:-1.9731126 22:1.1395589 23:-3.0806174 24:1.4357629 25:-0.7148442 26:1.4204091 
