1 1:148.85446 2:-15.692936 3:-0.6600046 4:-4.6824694 5:-0.9511193 6:-1.1715885 7:-0.10011204 8:-0.3214876 9:1.8806853 10:-4.6384597 11:0.6839995 12:-0.25018468 13:3.4658737 14:148.85446 15:-15.692936 16:-0.6600046 17:-4.6824694 18:-0.9511193 19:-1.1715885 20:-0.10011204 21:-0.3214876 22:1.8806853 23:-4.6384597 24:0.6839995 25:-0.25018468 26:3.4658737 
1 1:242.945 2:-9.771175 3:6.451279 4:0.6926525 5:1.2317165 6:-0.5679104 7:-0.41786 8:-1.7553059 9:0.6002758 10:-3.1523015 11:1.1578699 12:-1.9486176 13:1.9806303 14:242.945 15:-9.771175 16:6.451279 17:0.6926525 18:1.2317165 19:-0.5679104 20:-0.41786 21:-1.7553059 22:0.6002758 23:-3.1523015 24:1.1578699 25:-1.9486176 26:1.9806303 
1 1:242.45425 2:-10.202653 3:5.6123433 4:-0.28035238 5:-0.28741553 6:-0.81254566 7:0.5614118 8:-2.7059035 9:-0.36034837 10:-1.9470956 11:0.48687083 12:-2.1645052 13:2.8240914 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:246.07297 2:-8.615356 3:6.963166 4:1.288136 5:1.5226381 6:-1.2047238 7:0.71996933 8:-1.3274838 9:1.4495335 10:-2.213359 11:0.8017314 12:-2.5794165 13:2.1668847 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:245.16301 2:-7.263523 3:7.7949815 4:-0.492357 5:1.0606905 6:0.013780653 7:0.5797757 8:-1.510934 9:3.1939855 10:-1.0641391 11:1.4342872 12:-0.9232467 13:3.8534818 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:244.77711 2:-7.207232 3:8.3098955 4:0.69148165 5:0.77376986 6:-0.9632444 7:-0.11198281 8:-1.2587771 9:1.7395141 10:-2.428616 11:3.003388 12:-0.52774847 13:2.5830412 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:241.73859 2:-10.285578 3:5.400007 4:0.14464216 5:0.5696061 6:-0.09406589 7:0.6670342 8:-0.43104926 9:1.3019121 10:-1.222584 11:3.1623466 12:-0.8791626 13:3.0250702 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:240.54727 2:-11.488589 3:4.3364606 4:-1.2441367 5:0.1463359 6:0.9063074 7:0.35697833 8:-2.4130442 9:2.3262043 10:-0.27953362 11:1.023486 12:-3.1556308 13:0.30789065 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:242.1232 2:-10.722357 3:4.6927886 4:-0.18315542 5:1.7465721 6:-0.15554474 7:0.89218134 8:0.39303654 9:3.0540369 10:-1.3396603 11:1.0652469 12:-2.3547215 13:1.2975243 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:244.54785 2:-7.481354 3:7.6630206 4:0.52981985 5:0.41613147 6:0.5079607 7:0.992317 8:-0.6133956 9:2.6402843 10:-0.70174086 11:2.1839044 12:-2.6358728 13:2.2287037 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:243.74324 2:-8.253178 3:7.0668344 4:0.58588153 5:2.259234 6:0.4884419 7:1.2136129 8:-0.95640963 9:0.3703747 10:-3.0410972 11:2.351221 12:-1.2225556 13:2.2003722 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:242.07431 2:-9.128145 3:7.359985 4:1.37693 5:2.1149974 6:0.56438345 7:0.76330036 8:-1.8530188 9:-0.4548124 10:-3.3612962 11:-0.0912491 12:-4.296065 13:2.0147312 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:244.65526 2:-7.9158187 3:8.144061 4:1.4430212 5:1.9239053 6:0.57894164 7:2.9104488 8:-1.7329607 9:0.7737556 10:-0.64805883 11:2.6729205 12:-2.2080219 13:1.6570672 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:241.61435 2:-8.864453 3:7.2042556 4:1.168112 5:0.9632829 6:0.056101087 7:1.8487881 8:-0.6128468 9:1.2086271 10:-0.18982856 11:4.86312 12:-0.07477387 13:4.1330757 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:242.30077 2:-9.927653 3:5.773474 4:0.5457329 5:0.9619562 6:0.37851226 7:2.592413 8:-0.6454133 9:0.8714791 10:-2.0578072 11:2.1273901 12:-1.2846943 13:2.3588116 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:244.53242 2:-7.9961033 3:8.552018 4:0.62312937 5:0.5408074 6:0.8532633 7:2.555661 8:0.749356 9:1.9319786 10:-1.5438045 11:1.4713928 12:-2.8592665 13:1.5937083 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:242.21202 2:-9.300268 3:6.972035 4:1.8253653 5:3.3093836 6:-0.3004392 7:-0.6574786 8:-1.568478 9:1.5643193 10:-2.6360435 11:-0.0037818842 12:-2.8889182 13:2.547707 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:241.36162 2:-10.520825 3:6.8198786 4:-0.35790384 5:-1.1826171 6:-2.055246 7:0.32770857 8:-0.8167645 9:2.1814737 10:-1.1341556 11:1.3293873 12:-2.3064864 13:1.7619925 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:242.9338 2:-9.517716 3:6.1786046 4:-1.0540469 5:0.60967505 6:-0.00880625 7:0.82170564 8:-0.74783194 9:2.1613243 10:-2.1759677 11:0.36607864 12:-1.5139115 13:2.6421857 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:243.22826 2:-9.543298 3:6.9279647 4:1.196372 5:1.2048743 6:0.11189638 7:1.1080115 8:-0.34074762 9:3.3256905 10:-0.7550648 11:2.322305 12:-1.7465365 13:2.1585069 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:243.90396 2:-9.57974 3:6.361423 4:0.47469884 5:-0.7093241 6:-0.12491866 7:2.6373937 8:0.44105324 9:2.048051 10:-1.1607857 11:3.1582627 12:-1.2330234 13:3.16745 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:245.10654 2:-8.060174 3:7.3225656 4:0.8051504 5:0.8394634 6:-1.048449 7:1.1701151 8:-1.2033579 9:0.5881473 10:-2.1651955 11:2.9567015 12:-1.6979264 13:2.648257 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:242.5823 2:-10.64168 3:6.0625653 4:-0.022001829 5:1.7643383 6:1.4611458 7:3.3914976 8:1.5908209 9:3.5761237 10:-0.36493653 11:3.081777 12:-2.5322084 13:0.76194847 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:243.34792 2:-10.292397 3:6.021094 4:1.9022334 5:1.4790049 6:1.038954 7:2.019222 8:-0.70047706 9:2.115801 10:-1.875692 11:1.4488407 12:-2.6903872 13:2.813837 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:242.24158 2:-10.329329 3:5.5153193 4:1.2707657 5:1.363294 6:0.8025864 7:3.1347082 8:0.7291702 9:2.7478898 10:-1.9499872 11:-0.15310985 12:-4.4360957 13:0.61077154 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:247.68956 2:-7.420042 3:6.260051 4:1.4860355 5:2.0044901 6:-0.5729365 7:0.21968247 8:-1.9108359 9:1.1639344 10:-1.3077556 11:2.0150065 12:-2.332145 13:2.2860365 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:243.36542 2:-8.753699 3:6.7272887 4:0.3733874 5:1.1480657 6:-0.6395591 7:-0.11604725 8:-0.8241514 9:1.4681904 10:-2.018329 11:1.1541181 12:-3.6449902 13:2.841122 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:241.74333 2:-9.803582 3:5.712385 4:-0.84423536 5:0.107351355 6:-0.8298826 7:1.1221527 8:-0.64941424 9:1.8727219 10:-1.605486 11:1.1942874 12:-1.7854699 13:3.7908192 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:244.13187 2:-9.058037 3:5.9758015 4:-1.467233 5:1.3128365 6:2.0063617 7:1.8166004 8:-0.7448228 9:2.0514317 10:-1.7222455 11:0.9033419 12:-2.7379384 13:1.5473914 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:244.41838 2:-9.025459 3:6.450182 4:1.1894051 5:0.7829889 6:0.13067813 7:1.9995935 8:-1.1805168 9:1.4336172 10:-1.5650852 11:2.1897547 12:-0.891014 13:3.3002567 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:244.81198 2:-8.191355 3:7.023375 4:1.6526569 5:2.6450517 6:0.9480405 7:2.433266 8:0.11542471 9:1.063519 10:-2.5962276 11:1.546978 12:-1.1878843 13:2.9031322 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:243.64917 2:-8.149677 3:6.8868246 4:-0.30842826 5:1.1362135 6:-1.191373 7:1.661838 8:0.4975223 9:1.4239324 10:-0.89030236 11:1.7186674 12:-2.0997891 13:3.076411 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:242.7777 2:-9.149116 3:6.348884 4:-0.1817849 5:0.45153955 6:-0.34424677 7:1.2268267 8:0.92187905 9:3.3077552 10:-0.33998767 11:0.8591796 12:-2.8472703 13:1.0133942 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
1 1:241.99625 2:-9.930658 3:4.7749977 4:-0.6843659 5:1.6578698 6:0.5641796 7:3.2781825 8:1.2935354 9:2.4825437 10:-0.8653654 11:1.2900888 12:-1.1087184 13:3.2542586 14:87.30565 15:5.5738783 16:6.5465937 17:-0.46467787 18:0.3565968 19:-0.6933424 20:1.4914994 21:-0.8110188 22:1.2483821 23:-1.5702099 24:1.1881123 25:-1.1265343 26:0.9511933 
