1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:250.7795 2:-4.252772 3:2.5302863 4:0.8451164 5:2.2445564 6:0.85523653 7:4.690227 8:-0.23577148 9:1.2102941 10:-4.1457186 11:1.7199819 12:-2.0427096 13:3.8366091 14:250.7795 15:-4.252772 16:2.5302863 17:0.8451164 18:2.2445564 19:0.85523653 20:4.690227 21:-0.23577148 22:1.2102941 23:-4.1457186 24:1.7199819 25:-2.0427096 26:3.8366091 
1 1:251.99043 2:-5.3061643 3:2.9589417 4:1.9406058 5:2.6360977 6:-0.5405616 7:2.5469494 8:-0.4383364 9:3.2933872 10:-1.9745204 11:1.3015563 12:-2.4156919 13:3.42519 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
1 1:250.93951 2:-4.886985 3:3.5823715 4:-0.46217957 5:0.952566 6:-0.48737383 7:3.3668492 8:1.0546083 9:3.2609162 10:-1.4117056 11:3.3563087 12:-1.6979814 13:2.6081707 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
1 1:253.42143 2:-3.881094 3:4.185615 4:1.418355 5:1.429761 6:0.374504 7:4.621982 8:-0.8291842 9:2.9275846 10:-1.0792629 11:3.0336287 12:-3.0215266 13:2.5828373 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
1 1:255.63573 2:-4.3931594 3:1.8165649 4:-1.0948792 5:0.5586555 6:-1.244147 7:3.209753 8:-0.5217359 9:4.400618 10:-0.022434998 11:4.146994 12:-1.0581659 13:2.3177776 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
1 1:254.02077 2:-4.6268573 3:4.1350126 4:-0.81909174 5:0.75533676 6:-0.14456256 7:3.9167511 8:0.85553396 9:3.7875254 10:-0.23065303 11:1.529957 12:-3.6489894 13:2.676171 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
1 1:251.98187 2:-5.5681458 3:1.8693424 4:0.021713398 5:0.31166998 6:-1.005956 7:3.8622358 8:-0.6094677 9:4.287618 10:-0.67881435 11:3.6109178 12:-1.7204292 13:3.434141 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
1 1:263.3675 2:-2.0982192 3:2.8441465 4:2.6820033 5:3.5447924 6:-0.09203683 7:5.496113 8:-0.32764143 9:5.372544 10:-0.48324418 11:0.8988694 12:-4.5608234 13:3.7377408 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
1 1:276.5806 2:2.3631356 3:4.8629446 4:3.629615 5:4.374759 6:2.0229135 7:7.1462736 8:-1.2547029 9:7.267118 10:0.6164289 11:2.2150435 12:-4.0656996 13:5.3277116 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
1 1:275.66986 2:4.6599784 3:9.511478 4:4.625239 5:6.453298 6:2.6196942 7:7.6784725 8:-1.8491328 9:6.68223 10:-0.48776382 11:3.7680178 12:-1.6406207 13:6.4578114 14:83.86778 15:2.3708572 16:2.8900537 17:1.4134971 18:1.670442 19:-0.25440207 20:0.5544541 21:-1.4753746 22:0.7105657 23:-1.334147 24:0.9832848 25:-0.73017734 26:1.6723319 
