1 1:170.28745 2:-1.8424621 3:-4.1651726 4:-3.928495 5:5.55318 6:-3.6416848 7:-1.3517735 8:-3.000381 9:1.7463129 10:-0.4430838 11:4.924541 12:-5.7506394 13:2.354792 14:170.28745 15:-1.8424621 16:-4.1651726 17:-3.928495 18:5.55318 19:-3.6416848 20:-1.3517735 21:-3.000381 22:1.7463129 23:-0.4430838 24:4.924541 25:-5.7506394 26:2.354792 
1 1:277.60028 2:-0.35860246 3:-7.2985377 4:-2.2893417 5:6.2651067 6:-2.2853093 7:1.310056 8:-3.0510466 9:4.2370405 10:-4.311397 11:0.94007957 12:-3.316065 13:5.7047997 14:277.60028 15:-0.35860246 16:-7.2985377 17:-2.2893417 18:6.2651067 19:-2.2853093 20:1.310056 21:-3.0510466 22:4.2370405 23:-4.311397 24:0.94007957 25:-3.316065 26:5.7047997 
1 1:273.74585 2:-1.7324759 3:-5.087306 4:-0.7259826 5:5.726028 6:-1.7623508 7:1.0737875 8:-0.7183788 9:5.4555273 10:-2.5094192 11:4.461133 12:-2.687697 13:4.11419 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:276.48624 2:-1.220053 3:-4.7022815 4:-0.03831988 5:5.8365016 6:-2.5314305 7:0.16620246 8:-0.9912783 9:7.0214996 10:-1.0456322 11:3.4921632 12:-2.8144321 13:3.4992907 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:275.09586 2:-0.32846767 3:-4.600243 4:-0.35246792 5:6.4404993 6:-1.6118574 7:2.3600307 8:0.2970781 9:6.2446547 10:-2.2982957 11:1.9849268 12:-4.3387723 13:2.7464223 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:275.4807 2:-0.1139794 3:-6.3056254 4:-1.7664846 5:5.7141848 6:-1.2868425 7:1.4335437 8:-0.86590654 9:7.4262996 10:-2.4298234 11:2.791948 12:-5.697523 13:3.0520244 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:273.54596 2:-2.1025093 3:-8.481834 4:-2.936516 5:6.208247 6:-2.37414 7:0.8853605 8:-1.6834772 9:5.66368 10:-2.895509 11:2.276705 12:-2.2207732 13:6.7537136 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:272.44983 2:-0.38048568 3:-5.699781 4:-0.6524406 5:6.363456 6:-3.8411465 7:-1.1139449 8:-3.4961445 9:3.9564645 10:-2.5325809 11:3.228949 12:-3.7684767 13:4.0829663 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:274.78046 2:-0.13112894 3:-5.1882563 4:-0.81965655 5:6.0330944 6:-4.1118045 7:-0.82535374 8:-3.4949465 9:4.8017263 10:-2.582349 11:2.3459423 12:-2.724639 13:4.5993915 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:276.48428 2:-2.5604591 3:-4.866714 4:4.2333527 5:7.8941364 6:-2.7687511 7:2.064612 8:-2.792255 9:6.516103 10:0.0052749584 11:2.5222654 12:-1.8446097 13:5.544941 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:273.79022 2:-0.7100861 3:-4.817415 4:1.0083163 5:5.3992486 6:-3.4346278 7:1.2310653 8:-1.671172 9:5.1911545 10:-1.5892494 11:1.4688208 12:-3.27435 13:4.5506544 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:269.30536 2:-1.5422822 3:-5.904723 4:-2.9142327 5:6.043716 6:-3.0533195 7:-0.67813134 8:-0.38613537 9:5.6601515 10:-2.6489713 11:1.8716418 12:-2.6995435 13:4.580372 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:265.4377 2:-1.4361563 3:-3.1976953 4:-0.77830964 5:4.680904 6:-4.5681543 7:-0.7901962 8:-1.4112915 9:4.324322 10:-2.1634383 11:2.5218792 12:-0.70135546 13:6.024495 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:267.69135 2:0.052268546 3:-2.518185 4:-1.8401381 5:4.2136693 6:-3.9546173 7:0.091650374 8:-1.263876 9:5.0009727 10:-2.3520126 11:2.1139522 12:-2.2009668 13:4.949494 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:264.50317 2:1.3815644 3:-0.11954434 4:-1.6141257 5:3.5478387 6:-5.619732 7:-0.84558856 8:-2.0267334 9:5.005877 10:-3.2060406 11:2.8487465 12:-0.46069705 13:3.312901 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:263.79343 2:1.4645953 3:1.4952234 4:-0.52499604 5:4.7316976 6:-3.885501 7:-0.38025457 8:-1.3856833 9:6.8814807 10:-1.9870533 11:2.7289565 12:0.13416977 13:4.3914685 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:257.66595 2:-1.3251386 3:-0.21947415 4:-0.81270415 5:2.3478336 6:-3.370987 7:-1.0456674 8:-0.02990886 9:7.759868 10:-0.68216074 11:3.3534954 12:-2.192003 13:2.3574944 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
