2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:250.03525 2:7.875103 3:7.185245 4:-3.5940542 5:1.5339248 6:-1.6986618 7:2.9107454 8:-2.4585264 9:4.795774 10:-3.2962947 11:2.319337 12:-3.7297325 13:4.5748463 14:250.03525 15:7.875103 16:7.185245 17:-3.5940542 18:1.5339248 19:-1.6986618 20:2.9107454 21:-2.4585264 22:4.795774 23:-3.2962947 24:2.319337 25:-3.7297325 26:4.5748463 
2 1:191.20538 2:-10.794037 3:5.057401 4:-1.3057578 5:-1.1752808 6:-1.3449695 7:0.9997479 8:-2.8600204 9:1.701765 10:-2.4337244 11:2.2880418 12:-4.5504093 13:2.8802118 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
2 1:191.03503 2:-9.522893 3:5.816366 4:-2.0754206 5:-0.5393478 6:0.13051777 7:2.079354 8:-1.6891625 9:3.386687 10:-2.9512138 11:1.9272468 12:-2.2467408 13:2.7361057 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
2 1:193.70604 2:-10.308138 3:4.730652 4:0.048128385 5:0.99448645 6:-1.4443507 7:0.18507697 8:-0.33536118 9:3.763219 10:-1.7508332 11:2.2289448 12:-1.2772484 13:3.172131 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
2 1:207.02654 2:-16.361797 3:3.9293122 4:0.30895373 5:0.2296738 6:1.4197096 7:-0.76869565 8:-0.8753665 9:1.6403939 10:-3.7522185 11:1.1455951 12:-0.9521442 13:2.9660213 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
2 1:188.04831 2:-12.545203 3:1.6739522 4:-3.0738955 5:-0.23403989 6:0.6881391 7:1.9362533 8:-0.012197502 9:2.6847818 10:-2.3292804 11:0.78194547 12:-2.151963 13:3.4515855 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
2 1:192.83617 2:-12.04706 3:2.3934362 4:-3.7036023 5:-1.5975642 6:-0.30247262 7:0.7562589 8:-1.6769532 9:2.2003796 10:-1.3163364 11:2.5922356 12:-0.7149628 13:4.2678056 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
2 1:197.28284 2:-11.367758 3:4.4539967 4:-1.343162 5:-1.9168068 6:-2.0230062 7:-0.87725437 8:-2.1234014 9:1.6593369 10:-1.5593433 11:2.3213663 12:-2.5319111 13:2.260624 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
2 1:189.53075 2:-6.921147 3:4.031815 4:-3.6860838 5:-0.54969066 6:-0.9045476 7:0.29526502 8:-2.379169 9:1.9067353 10:-2.115933 11:1.1111815 12:-3.0076344 13:2.2703216 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
2 1:191.2938 2:-9.993635 3:2.5859127 4:-2.2489607 5:-1.0133364 6:-1.4438075 7:-0.06373716 8:-0.39166686 9:3.1811812 10:-2.8056476 11:2.3078136 12:-0.112923704 13:3.9677827 14:90.07795 15:7.5351534 16:3.9151366 17:-1.3267227 18:2.2694006 19:1.1269965 20:1.3324461 21:-3.2688544 22:0.77010727 23:-0.9698509 24:2.5780532 25:-1.6852032 26:1.783427 
