1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:237.59058 2:-6.3128767 3:6.2014475 4:0.8178409 5:2.3856008 6:-1.0945818 7:-0.14722204 8:-0.43823916 9:2.6791189 10:0.29941642 11:3.8872547 12:-1.9445535 13:3.8364627 14:237.59058 15:-6.3128767 16:6.2014475 17:0.8178409 18:2.3856008 19:-1.0945818 20:-0.14722204 21:-0.43823916 22:2.6791189 23:0.29941642 24:3.8872547 25:-1.9445535 26:3.8364627 
1 1:233.96811 2:-8.894442 3:6.2310243 4:-0.007718949 5:2.2052274 6:1.3979928 7:1.5889424 8:-0.75269634 9:3.9651568 10:1.1177483 11:4.2702956 12:0.21273756 13:4.2593403 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:239.00342 2:-6.991699 3:6.8019505 4:-0.47739846 5:1.0326806 6:2.6842422 7:2.1547725 8:-0.38233718 9:2.0762835 10:-1.4571085 11:1.6669005 12:-2.7056215 13:3.0403655 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:240.21025 2:-5.8086123 3:7.0700474 4:0.07263297 5:0.027897175 6:0.6651829 7:1.3322699 8:-1.3529148 9:3.2556605 10:0.24370216 11:3.688486 12:-1.4118572 13:4.102612 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:235.4644 2:-5.347515 3:7.84669 4:0.7541593 5:1.8432609 6:-1.4841753 7:2.468926 8:0.31480077 9:4.1719623 10:-0.03298114 11:2.0360005 12:-0.20110121 13:4.5457606 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:237.64038 2:-6.57228 3:6.8609376 4:1.2955095 5:2.0090067 6:-0.42559606 7:2.2068079 8:-1.0237185 9:1.8110787 10:-1.678694 11:2.6339605 12:-0.99086195 13:3.5298326 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:235.84277 2:-7.0333495 3:6.1599326 4:-0.2895589 5:0.44219273 6:0.26727226 7:3.561334 8:0.10392856 9:2.3252077 10:-0.64556056 11:2.5857193 12:-0.822285 13:4.014777 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:236.54605 2:-5.6373777 3:6.643135 4:0.8471881 5:1.0185883 6:0.33931902 7:2.432231 8:-2.2722516 9:1.4029218 10:-0.7329815 11:3.2592502 12:-1.2079623 13:2.367742 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:237.61461 2:-6.159292 3:8.880675 4:1.1925707 5:0.533705 6:0.02209661 7:0.042449247 8:-1.8581953 9:2.1601045 10:-0.68821704 11:4.5932164 12:-0.45731297 13:3.8101711 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:234.24408 2:-7.39554 3:9.957328 4:2.8148348 5:0.53983235 6:-0.41651902 7:1.6128992 8:-1.2500097 9:2.5634534 10:-1.9705117 11:2.3738267 12:-0.5962124 13:3.6874762 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:233.94275 2:-7.9426494 3:6.1613955 4:0.5476333 5:0.16413407 6:-1.1319141 7:1.1562582 8:-1.3795921 9:3.2971249 10:-1.6109487 11:2.0224273 12:-0.49725947 13:3.0830846 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:237.38486 2:-5.187951 3:9.691445 4:1.0772266 5:1.5382771 6:2.326531 7:2.1399696 8:-2.242552 9:1.1523794 10:-1.8394907 11:2.2394333 12:-1.0757635 13:4.1628156 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:238.333 2:-4.8691874 3:8.83962 4:2.5757954 5:2.311739 6:-0.45631146 7:0.6340796 8:-0.52029115 9:1.2437607 10:-2.361237 11:2.7777548 12:-2.7143865 13:3.8077767 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:234.48729 2:-6.306259 3:7.3040476 4:0.40852904 5:3.0801919 6:0.6654644 7:1.1462641 8:-2.132651 9:1.4843516 10:-0.76188093 11:3.7371986 12:-1.1852984 13:1.1856136 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:232.96129 2:-5.49838 3:7.844428 4:1.3013629 5:3.02903 6:-0.074875824 7:-0.6185276 8:-2.965912 9:1.465714 10:-1.966578 11:1.8837414 12:-2.2903717 13:1.676455 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:231.47113 2:-9.416005 3:6.7259893 4:0.6307378 5:1.8764205 6:-0.40745965 7:0.1384485 8:-1.9609461 9:2.5127869 10:0.3108958 11:1.130475 12:-2.3826222 13:0.71832186 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:234.39713 2:-8.866675 3:8.921922 4:1.7810669 5:1.130709 6:-1.4133207 7:0.431641 8:-2.0400364 9:2.2895052 10:0.25311413 11:2.1246088 12:-0.7615244 13:2.7034113 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
1 1:236.61679 2:-6.0011106 3:7.2582726 4:1.6635855 5:0.33545235 6:-1.2727389 7:1.9970105 8:-1.0545185 9:1.0319252 10:-2.7401412 11:1.4485584 12:-2.5191653 13:2.626516 14:98.07406 15:6.9927883 16:1.2515845 17:-0.6139818 18:3.494516 19:0.661445 20:2.0545313 21:-1.2816434 22:4.0646424 23:-0.6901961 24:0.52240044 25:-2.567715 26:1.6170743 
