1 1:61.745293 2:-9.9464445 3:2.4812872 4:-6.569781 5:4.779586 6:-2.5984507 7:0.48329252 8:0.19412203 9:0.3259703 10:-0.6592478 11:1.7340473 12:-1.7553465 13:1.8676382 14:61.745293 15:-9.9464445 16:2.4812872 17:-6.569781 18:4.779586 19:-2.5984507 20:0.48329252 21:0.19412203 22:0.3259703 23:-0.6592478 24:1.7340473 25:-1.7553465 26:1.8676382 
1 1:243.62161 2:-10.065864 3:5.7177196 4:1.2277244 5:0.43814725 6:2.9657545 7:2.8246908 8:-1.3200988 9:2.378633 10:-2.4433599 11:1.6035234 12:-1.963286 13:3.9365358 14:243.62161 15:-10.065864 16:5.7177196 17:1.2277244 18:0.43814725 19:2.9657545 20:2.8246908 21:-1.3200988 22:2.378633 23:-2.4433599 24:1.6035234 25:-1.963286 26:3.9365358 
1 1:237.35085 2:-9.894686 3:4.902206 4:-0.5246271 5:0.5914052 6:0.9823559 7:1.3286294 8:-0.7187604 9:3.8214796 10:-0.95983243 11:3.447732 12:-0.50764954 13:2.8924174 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:237.22165 2:-9.651643 3:7.100124 4:0.62262917 5:-1.4830153 6:0.28279418 7:1.1476328 8:-2.2820277 9:2.412605 10:0.34484076 11:3.8116248 12:-1.5317179 13:2.3691163 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:237.89677 2:-9.628 3:7.9780993 4:2.2189856 5:1.383085 6:1.9437127 7:2.0855882 8:-1.1873788 9:2.2048674 10:-2.2320428 11:2.758334 12:-0.398043 13:4.164089 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:238.83052 2:-7.359287 3:9.160867 4:2.7434537 5:2.5537887 6:0.94799733 7:1.7840486 8:-1.3447472 9:4.109528 10:0.048900057 11:2.76612 12:0.19439492 13:4.5521955 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:239.59581 2:-8.631254 3:6.5116677 4:-0.082090296 5:0.12274254 6:0.60228074 7:2.9783902 8:-1.3067693 9:0.34433848 10:-2.051914 11:2.1458445 12:-0.82715315 13:2.559321 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:239.77817 2:-6.7388926 3:8.631209 4:2.0017087 5:-1.6356082 6:0.8130063 7:2.367608 8:-3.1951418 9:1.213528 10:-2.8106372 11:1.7756128 12:-1.2672035 13:2.2312822 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:235.19879 2:-8.480771 3:8.30687 4:2.4883194 5:0.52505344 6:1.0022608 7:3.583115 8:-1.4580092 9:0.77543706 10:-1.8580741 11:1.8900236 12:-0.851072 13:4.8986 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:235.58696 2:-9.127509 3:6.5759306 4:1.9427577 5:0.65835166 6:0.8239033 7:3.197175 8:-2.79236 9:1.2909678 10:-1.2934575 11:1.223588 12:-0.5598267 13:3.4609745 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
1 1:237.25111 2:-10.202526 3:6.3086185 4:1.0755786 5:-2.4330146 6:-1.2946593 7:2.081772 8:-2.9137876 9:0.94880074 10:-1.6255718 11:2.4427552 12:0.888056 13:4.577407 14:100.32095 15:7.774101 16:1.5722332 17:-1.6146483 18:3.1169245 19:0.23717292 20:1.6380798 21:-1.6598338 22:3.2902665 23:-0.89004904 24:0.7354256 25:-2.5013125 26:1.5507532 
