1 1:157.22276 2:-9.709883 3:4.6061244 4:-5.963796 5:0.4414044 6:1.0858938 7:-1.1684217 8:-1.350175 9:2.5193431 10:-2.4557898 11:1.2462273 12:-1.0075202 13:1.4981188 14:157.22276 15:-9.709883 16:4.6061244 17:-5.963796 18:0.4414044 19:1.0858938 20:-1.1684217 21:-1.350175 22:2.5193431 23:-2.4557898 24:1.2462273 25:-1.0075202 26:1.4981188 
1 1:263.6123 2:-14.14011 3:7.288456 4:1.7982026 5:0.19672512 6:0.4000175 7:1.3772726 8:-0.15663603 9:2.2592204 10:-0.61881423 11:1.265009 12:-1.1037025 13:4.64277 14:263.6123 15:-14.14011 16:7.288456 17:1.7982026 18:0.19672512 19:0.4000175 20:1.3772726 21:-0.15663603 22:2.2592204 23:-0.61881423 24:1.265009 25:-1.1037025 26:4.64277 
1 1:273.46677 2:-12.725709 3:7.871899 4:1.6161493 5:-1.5777069 6:-0.89640087 7:0.95116025 8:-1.554201 9:1.438531 10:-2.6748157 11:1.5931941 12:-1.509856 13:3.8782725 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:275.02777 2:-11.714995 3:7.326686 4:1.0603373 5:-3.1601388 6:-0.32577503 7:2.3535955 8:-2.8073113 9:0.72405654 10:-2.9594295 11:2.1053257 12:-0.805828 13:4.1514425 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:281.90247 2:-12.794232 3:9.09038 4:1.3627071 5:-4.7482715 6:-1.5309519 7:2.1434216 8:-3.4772422 9:0.19561031 10:-2.3874965 11:0.6217365 12:-2.6416988 13:3.4561179 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:279.5332 2:-11.03036 3:6.900851 4:1.1676754 5:-2.648802 6:-0.25252458 7:3.0328355 8:-3.0911813 9:0.82960916 10:-3.3664477 11:0.45974398 12:-2.18578 13:2.804555 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:284.71103 2:-14.362068 3:1.5566988 4:2.0555136 5:1.8917689 6:-0.42599854 7:-0.4681366 8:-3.7914612 9:0.8834465 10:-4.0376043 11:1.1682872 12:-0.7407328 13:4.923183 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:305.19223 2:-9.134956 3:8.647697 4:3.511495 5:-0.06598886 6:-1.8514717 7:0.4759754 8:-1.0974848 9:2.4797633 10:-2.9137225 11:0.84634984 12:-0.69389725 13:3.1055512 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:298.76404 2:-2.9501066 3:10.691077 4:1.9564426 5:1.8419951 6:0.099563584 7:3.5281436 8:-2.8522 9:0.79480356 10:-2.4578776 11:0.9574734 12:-1.149675 13:3.5185766 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:291.0843 2:-5.5374928 3:3.8801818 4:0.75893486 5:1.8477681 6:0.96298355 7:1.8084407 8:-3.8981862 9:0.18661131 10:-3.1109738 11:2.8950312 12:-2.3581831 13:4.9234195 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:286.9448 2:-10.587532 3:0.96684146 4:0.95050174 5:0.1321817 6:1.4687312 7:3.1922593 8:-3.3128562 9:0.20850517 10:-3.4892223 11:2.1233 12:-3.131391 13:1.9313967 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:290.10593 2:-9.104188 3:-0.4450386 4:0.4060284 5:1.8927093 6:3.5228424 7:4.0504575 8:-3.8410718 9:0.79496676 10:-4.5051403 11:0.9565519 12:-4.197841 13:1.8213668 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:289.95898 2:-6.2696347 3:3.148178 4:3.1121793 5:0.0313094 6:0.026995443 7:2.8564007 8:-3.9753127 9:1.1939052 10:-4.227435 11:2.902066 12:-1.0697138 13:3.113829 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:290.91263 2:-8.164006 3:4.0687966 4:2.6859732 5:-0.8700548 6:1.1515491 7:2.8648136 8:-3.8364964 9:1.8711373 10:-3.855455 11:3.6594744 12:-0.7169796 13:2.9044797 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:291.20087 2:-6.472343 3:4.436977 4:5.1031365 5:2.880103 6:1.1139072 7:3.0193818 8:-3.8201234 9:3.5760415 10:-2.8216474 11:3.2222452 12:-1.255987 13:3.8041692 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:286.00983 2:-9.009556 3:4.1109166 4:5.1804147 5:0.6329252 6:-0.5616662 7:0.88860244 8:-4.624594 9:4.1056337 10:-3.6970127 11:2.179195 12:0.032411773 13:3.8223405 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:286.82245 2:-9.893707 3:4.2183533 4:3.1011543 5:1.8225336 6:2.255848 7:1.8625404 8:-3.5573168 9:2.7648218 10:-2.3958526 11:3.488226 12:0.08371656 13:3.7984788 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:282.1764 2:-12.99296 3:4.8435283 4:2.5400822 5:0.8108068 6:-0.08094718 7:2.1169443 8:-3.1802325 9:0.16122368 10:-3.1524267 11:2.3177528 12:-0.46910003 13:2.5185714 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:258.9283 2:-6.50069 3:6.613016 4:1.7116935 5:2.2345629 6:-0.14427751 7:2.3226998 8:-1.738686 9:1.7863061 10:-1.1859525 11:1.4063128 12:-2.8335738 13:2.361444 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:254.23471 2:-7.408898 3:7.5572643 4:2.2037385 5:2.3293352 6:-0.53151447 7:1.3922875 8:-0.7405205 9:2.886863 10:-1.3704575 11:1.7678653 12:-1.5329629 13:2.2862487 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:254.57774 2:-7.5490026 3:5.698773 4:1.1064707 5:3.1437156 6:-0.2783659 7:1.6083848 8:0.14082408 9:2.9514778 10:-1.7452481 11:3.2303169 12:-0.5947634 13:1.9231671 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:267.4176 2:-16.338736 3:-0.02039428 4:5.5936418 5:8.289386 6:-3.931281 7:4.1759963 8:0.6208844 9:0.59102196 10:-2.2254581 11:1.5636859 12:-0.6974267 13:0.94571483 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:256.2062 2:-8.517023 3:4.613385 4:3.6249895 5:4.8249335 6:-1.0146143 7:0.9342909 8:0.10439751 9:3.0474215 10:-2.488025 11:2.4502006 12:0.05749819 13:3.8073795 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:273.07245 2:-18.967207 3:-4.0272245 4:7.5222797 5:6.9647064 6:-3.8517516 7:1.7761824 8:-2.7811458 9:4.121582 10:-3.1485746 11:1.1223878 12:-0.0731014 13:2.633604 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:290.71457 2:-22.477852 3:-7.7676945 4:7.2620783 5:8.487878 6:-4.7255945 7:1.3824252 8:-2.4007719 9:5.0895424 10:-3.1415205 11:1.5702897 12:-0.9861701 13:2.175578 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:248.6748 2:-9.637454 3:6.0328736 4:1.1575618 5:1.0357008 6:-1.4564186 7:-0.33701974 8:-2.1043298 9:1.3205988 10:-1.9162884 11:2.4856393 12:-1.6167588 13:2.0443788 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:247.90398 2:-11.416382 3:4.1077847 4:1.2394298 5:1.9786739 6:1.4098446 7:1.6025876 8:0.2732303 9:2.350654 10:-2.3656762 11:1.225981 12:-1.494018 13:1.8160543 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:248.81111 2:-10.308902 3:4.527933 4:0.7580744 5:2.758971 6:0.8606552 7:2.0709941 8:0.1654995 9:1.8603773 10:-0.6753552 11:2.1766798 12:-2.4198165 13:2.1982725 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:250.15593 2:-10.369609 3:4.358618 4:1.9334227 5:4.5429697 6:0.53745174 7:1.8116341 8:0.4853755 9:3.4321165 10:-0.82869923 11:1.7116562 12:-1.5219715 13:1.2428211 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:253.42471 2:-9.290763 3:1.7925766 4:0.41064695 5:5.0580835 6:0.54184026 7:-1.3833195 8:-2.0408576 9:2.840808 10:-1.5497634 11:1.3758092 12:-3.550311 13:1.4406077 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:255.31822 2:-9.22479 3:5.2713323 4:2.727311 5:2.5240052 6:-1.546 7:2.4248955 8:0.33406126 9:2.528568 10:-2.3115761 11:1.2800119 12:-0.25704253 13:4.630385 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:250.41467 2:-9.681734 3:4.63845 4:2.8177776 5:1.8223237 6:-2.2684374 7:-0.13669382 8:-2.039533 9:2.116294 10:-1.3762068 11:3.07165 12:0.17857297 13:4.617729 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:250.9747 2:-11.364887 3:3.9638624 4:4.0271273 5:2.734205 6:-0.94676477 7:-0.7055437 8:-1.9813583 9:2.819185 10:-2.0151007 11:1.9078609 12:-0.24102311 13:5.0755935 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:248.9127 2:-10.326455 3:5.889541 4:3.129442 5:2.9665008 6:0.9918528 7:1.8761351 8:0.31586003 9:2.948661 10:-0.6539884 11:3.5383844 12:-0.7596262 13:3.5502498 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:252.23712 2:-7.729255 3:3.8552923 4:-0.6248434 5:2.807944 6:1.1699677 7:0.44617978 8:-0.58031434 9:2.6402488 10:-2.4520588 11:1.2432864 12:-1.7838432 13:4.2295823 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:251.72798 2:-9.240294 3:3.5099082 4:-1.6579982 5:0.31636402 6:1.6248527 7:2.774182 8:-0.074094005 9:3.0759656 10:-2.1581283 11:1.6617119 12:-1.8813467 13:3.526371 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:252.39375 2:-8.82911 3:3.5300555 4:-0.82504636 5:1.0071284 6:1.8890773 7:2.7552428 8:-0.679408 9:5.184691 10:0.015193097 11:1.3890345 12:-2.8466868 13:2.285429 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:260.8683 2:-7.522281 3:4.1672916 4:-1.1740546 5:3.2666738 6:0.9462864 7:2.4647198 8:0.46013215 9:6.0783787 10:1.0600034 11:1.4641445 12:-3.5174854 13:1.974131 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:251.94905 2:-8.827662 3:8.180794 4:2.7839334 5:1.819306 6:0.81444925 7:2.3916266 8:-0.1378034 9:3.6307395 10:-0.9095527 11:2.7232685 12:-1.4436727 13:2.4179385 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
