1 1:174.3979 2:-9.935644 3:6.769013 4:-0.65556234 5:0.117827535 6:-1.6490456 7:1.2571138 8:-0.9464251 9:0.24986328 10:-3.2565856 11:-0.6460944 12:-2.361428 13:0.14964913 14:174.3979 15:-9.935644 16:6.769013 17:-0.65556234 18:0.117827535 19:-1.6490456 20:1.2571138 21:-0.9464251 22:0.24986328 23:-3.2565856 24:-0.6460944 25:-2.361428 26:0.14964913 
1 1:250.12947 2:-10.265574 3:5.409113 4:0.59996974 5:-0.46124744 6:-1.0516558 7:1.6342726 8:-1.9613998 9:0.8380308 10:-2.2842073 11:1.543944 12:-1.1002052 13:2.7848632 14:250.12947 15:-10.265574 16:5.409113 17:0.59996974 18:-0.46124744 19:-1.0516558 20:1.6342726 21:-1.9613998 22:0.8380308 23:-2.2842073 24:1.543944 25:-1.1002052 26:2.7848632 
1 1:247.66159 2:-9.768029 3:4.4041886 4:2.2006528 5:1.2375706 6:-0.7754566 7:1.4890437 8:1.3770636 9:5.162783 10:0.16581634 11:3.6923234 12:-2.0300884 13:2.8222413 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:259.10892 2:-1.0570133 3:9.991541 4:2.357507 5:2.147815 6:-1.2648199 7:1.0950958 8:-3.900636 9:0.7678642 10:-2.2335422 11:2.0473828 12:-2.95432 13:1.6762499 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:267.38434 2:3.180442 3:13.3299 4:4.7961884 5:3.9443269 6:-1.4684272 7:3.7672575 8:-2.5978525 9:0.6088895 10:-1.9078605 11:2.9863584 12:-5.1847286 13:2.2198288 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:250.25558 2:-7.120573 3:9.181826 4:3.0422041 5:2.6235104 6:0.6109288 7:2.2672377 8:-0.28667977 9:2.3039231 10:-1.7302608 11:2.3400054 12:-1.0812135 13:3.560764 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:247.52043 2:-8.709337 3:6.9805593 4:2.2236853 5:0.51169693 6:-0.82887226 7:0.25089428 8:-2.4800954 9:0.27929336 10:-2.050271 11:1.8294637 12:-2.0368752 13:3.4692729 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:247.05699 2:-8.118445 3:6.2453074 4:0.3402764 5:1.3866858 6:-0.40082845 7:0.750269 8:-1.3252313 9:2.8329813 10:-1.6311675 11:1.4888773 12:-2.654231 13:1.500512 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:246.50795 2:-7.5197754 3:6.7777395 4:1.1989217 5:1.2899382 6:-1.3892074 7:1.6468081 8:-1.2604051 9:-0.24631718 10:-3.3629797 11:1.2495074 12:-1.9817125 13:1.0971153 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:244.90785 2:-8.416131 3:5.8279586 4:0.547635 5:1.2818427 6:-0.2869588 7:2.3312702 8:0.5334514 9:2.5201917 10:-1.0896161 11:2.2527792 12:-1.5098002 13:2.4748437 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:244.3975 2:-10.074726 3:5.7988834 4:1.133067 5:2.228394 6:0.75305265 7:2.751003 8:-0.27943802 9:3.478535 10:0.12464729 11:3.0116153 12:-1.2949543 13:3.4177253 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:246.41095 2:-8.819544 3:7.2882094 4:3.6605651 5:2.3258107 6:0.76344 7:1.779374 8:-0.9083883 9:3.1336217 10:0.8829456 11:2.9165492 12:-1.41113 13:3.9009013 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:247.09358 2:-8.355369 3:7.0146804 4:1.3757986 5:0.16573863 6:-0.25579605 7:1.9026728 8:-0.35320365 9:2.553483 10:-0.34183276 11:3.8690097 12:-1.4321977 13:2.5672777 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:244.43289 2:-8.233166 3:6.1007724 4:2.0221508 5:2.2284431 6:-1.3099432 7:0.015856285 8:-1.1654037 9:2.5161016 10:0.42507347 11:3.240467 12:-1.8234817 13:4.361643 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:242.4448 2:-10.024172 3:6.837479 4:2.1948407 5:2.3864582 6:-0.023665663 7:0.86147493 8:0.15203746 9:2.3698075 10:-1.2126838 11:2.7522175 12:-1.5216607 13:1.9552989 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:244.88365 2:-9.450553 3:5.718823 4:-0.2643954 5:-1.1138191 6:-2.199657 7:-0.93942237 8:-2.378514 9:1.3165988 10:-1.1513447 11:1.0622379 12:-3.5333533 13:1.7656713 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:249.81917 2:-7.4682865 3:8.016063 4:2.7670174 5:1.7531931 6:0.028319772 7:2.0432124 8:-0.89012206 9:1.2527611 10:-2.094754 11:1.7775991 12:-2.544545 13:2.0306737 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:248.01886 2:-7.3589787 3:7.347649 4:1.3243456 5:0.6012365 6:-0.25591776 7:1.438374 8:-1.3702173 9:2.9283464 10:0.24999924 11:4.3729453 12:-1.281884 13:2.31601 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:250.5037 2:-7.016203 3:6.581296 4:0.8344366 5:1.1182052 6:-0.44076788 7:2.860205 8:0.5126699 9:4.295406 10:-0.8623535 11:3.1500306 12:-2.4373057 13:1.3465047 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:247.3571 2:-8.6154995 3:6.41318 4:1.1149023 5:1.2855959 6:-0.79043305 7:0.97731405 8:-0.98882115 9:1.3555703 10:-2.4980245 11:2.0682678 12:-1.346571 13:3.3533397 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:246.82353 2:-9.434923 3:5.296064 4:1.132939 5:1.5124503 6:0.1201666 7:2.8768625 8:-0.73355615 9:2.043368 10:-1.4399589 11:2.3024404 12:-1.8190856 13:3.1240695 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:247.72794 2:-9.525852 3:6.2956543 4:0.42923784 5:0.98543847 6:0.11972837 7:1.8013148 8:-2.2404344 9:2.161665 10:-0.13676406 11:4.4824824 12:-0.4659348 13:2.8876398 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:247.92984 2:-8.981145 3:6.993083 4:0.95911413 5:0.5430298 6:-0.48277304 7:1.3776829 8:-0.23030467 9:2.9564822 10:-0.8216225 11:2.7629225 12:-1.9636284 13:3.4191833 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:248.27101 2:-8.698891 3:6.8138185 4:1.6540564 5:0.30364832 6:-0.75614434 7:0.40432656 8:-2.5240886 9:1.1258215 10:-1.4557271 11:2.698149 12:-2.0307322 13:2.9054089 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:245.84361 2:-9.551 3:7.127066 4:2.6049552 5:1.3708016 6:-0.015242363 7:1.3811696 8:-0.25163898 9:2.683445 10:-1.4554745 11:2.984265 12:-0.10683786 13:4.121777 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:247.52023 2:-9.974756 3:5.357333 4:2.3985422 5:2.3100674 6:-0.21177538 7:2.6945293 8:-0.7324082 9:2.7498338 10:0.63952404 11:2.8703623 12:-1.7745522 13:2.0953026 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:248.28238 2:-9.52301 3:6.406379 4:1.1728686 5:-1.1909301 6:-2.1332386 7:0.7196113 8:-1.2234976 9:1.7421086 10:-1.0934427 11:2.3756301 12:-0.65153486 13:4.15452 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:249.89659 2:-10.84753 3:7.0756497 4:3.3432884 5:0.987692 6:0.03719129 7:1.9970503 8:-1.1869453 9:0.25615728 10:-1.9817529 11:2.547383 12:-2.0177336 13:1.9131964 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
