1 1:186.87265 2:-11.556083 3:1.392309 4:-0.86020905 5:-1.0423567 6:-2.2924128 7:0.12100059 8:-0.1296975 9:1.171322 10:-0.8546841 11:4.263023 12:-3.2230833 13:1.7101014 14:186.87265 15:-11.556083 16:1.392309 17:-0.86020905 18:-1.0423567 19:-2.2924128 20:0.12100059 21:-0.1296975 22:1.171322 23:-0.8546841 24:4.263023 25:-3.2230833 26:1.7101014 
1 1:247.5053 2:-9.3271675 3:5.1610827 4:0.2699561 5:0.658335 6:-0.14012101 7:0.6296409 8:-1.1940509 9:1.729801 10:-1.0431236 11:4.1488094 12:0.21953213 13:3.5454953 14:247.5053 15:-9.3271675 16:5.1610827 17:0.2699561 18:0.658335 19:-0.14012101 20:0.6296409 21:-1.1940509 22:1.729801 23:-1.0431236 24:4.1488094 25:0.21953213 26:3.5454953 
1 1:251.40695 2:-7.2497234 3:5.721374 4:0.097208485 5:-0.2699974 6:-1.419722 7:1.2777596 8:-2.2575252 9:0.87968475 10:-1.7445523 11:2.6305377 12:-2.1208684 13:2.0211651 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
1 1:249.99796 2:-8.21545 3:5.4465957 4:0.069042444 5:-0.6828755 6:-2.6858416 7:0.2089937 8:-2.7468855 9:1.4983917 10:-3.1727931 11:1.6485159 12:-1.2919767 13:3.528548 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
1 1:251.33847 2:-8.854215 3:6.092699 4:1.7999493 5:1.3667874 6:-0.5266709 7:2.9618318 8:0.167485 9:1.982627 10:-2.3139904 11:2.135182 12:-1.5623045 13:2.7656631 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
1 1:247.28642 2:-9.179262 3:5.2482915 4:0.15385786 5:0.79672927 6:-1.9691269 7:-0.376419 8:-3.2646914 9:1.2954586 10:-0.9141091 11:2.1070497 12:-2.0422125 13:1.8845336 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
1 1:250.05975 2:-6.3491464 3:7.4538116 4:1.1143259 5:-0.35200596 6:-1.3443756 7:1.9984529 8:-0.72246945 9:3.3624306 10:-0.88099533 11:1.8023993 12:-1.030542 13:4.7305756 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
1 1:247.56242 2:-7.7136483 3:7.302786 4:1.0012707 5:-0.017010475 6:-1.6369206 7:0.8931218 8:-1.3531919 9:2.6498709 10:-0.8017476 11:3.24641 12:-2.0418983 13:2.3620133 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
1 1:250.46735 2:-8.542265 3:6.0961857 4:0.5763731 5:-1.0557426 6:-1.5571154 7:0.7719798 8:-2.982089 9:1.5120466 10:-1.1405207 11:1.8424122 12:-3.052671 13:1.5217229 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
1 1:247.75966 2:-8.161999 3:6.4885845 4:0.9775325 5:1.0861616 6:0.17679395 7:0.8254415 8:-1.9050815 9:3.0263402 10:-1.6585832 11:1.1701725 12:-2.9139893 13:1.8291715 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
1 1:247.89465 2:-7.594756 3:6.376203 4:1.6342208 5:2.29884 6:0.019561421 7:0.76107574 8:-1.7603917 9:3.0741587 10:0.15902999 11:3.9619586 12:-0.60189265 13:4.6629524 14:93.352806 15:5.735067 16:3.6979713 17:-0.67438847 18:2.2028556 19:0.3750767 20:2.5521548 21:-0.9076504 22:2.3298473 23:-0.7629077 24:0.92198795 25:-1.7882086 26:1.714183 
