1 1:200.53229 2:-11.525972 3:7.8935266 4:-1.1985419 5:-2.5899324 6:-0.54851705 7:-0.39936182 8:-4.09911 9:-0.8099062 10:-2.1121023 11:1.881634 12:-3.2195714 13:1.877826 14:200.53229 15:-11.525972 16:7.8935266 17:-1.1985419 18:-2.5899324 19:-0.54851705 20:-0.39936182 21:-4.09911 22:-0.8099062 23:-2.1121023 24:1.881634 25:-3.2195714 26:1.877826 
1 1:252.00113 2:-10.696176 3:7.7420945 4:1.0837861 5:1.2334278 6:1.0935221 7:2.4148622 8:-0.77259326 9:1.1237853 10:-1.760776 11:2.5220356 12:-0.5632431 13:0.90828943 14:252.00113 15:-10.696176 16:7.7420945 17:1.0837861 18:1.2334278 19:1.0935221 20:2.4148622 21:-0.77259326 22:1.1237853 23:-1.760776 24:2.5220356 25:-0.5632431 26:0.90828943 
1 1:254.25015 2:-10.095164 3:7.0565224 4:1.9277802 5:-0.6164014 6:-0.1623425 7:0.9256541 8:-2.7718291 9:0.78073215 10:-0.8435043 11:1.849199 12:-2.238263 13:2.7404566 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:252.37932 2:-8.378095 3:7.8928366 4:0.6474806 5:-0.07735872 6:0.44168106 7:1.9672015 8:-1.7590768 9:1.1577108 10:-1.6731377 11:2.7258594 12:-0.24225824 13:3.2839797 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:249.70526 2:-9.420312 3:6.2835846 4:2.059104 5:2.023876 6:-0.6455827 7:1.0562891 8:-2.3145742 9:1.7538024 10:-1.4957193 11:0.61549604 12:-1.910136 13:2.4135914 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:250.59976 2:-8.859686 3:8.599842 4:1.4887441 5:1.6796317 6:0.167394 7:1.3486136 8:-2.310435 9:0.8540845 10:-1.9151495 11:1.6126124 12:-0.81281865 13:3.672193 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:251.31471 2:-11.204486 3:4.635512 4:1.7271748 5:-0.8135091 6:-0.90748453 7:1.7615961 8:-3.3725567 9:0.6038944 10:-2.671784 11:1.6795709 12:-1.9421316 13:2.7748353 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:252.98259 2:-8.130278 3:8.139194 4:2.445117 5:1.3582764 6:-0.29831758 7:2.436177 8:-1.2910478 9:1.808137 10:-0.9764443 11:2.4908688 12:-0.753817 13:3.0895562 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:251.1073 2:-10.494153 3:4.0033407 4:-1.191814 5:-2.078109 6:-1.8941116 7:1.2317193 8:-3.6321507 9:0.3679675 10:-3.0845413 11:0.73429114 12:-1.9054561 13:2.3520274 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:252.71588 2:-13.211465 3:4.9773884 4:-0.5027786 5:-2.7610893 6:-1.2731131 7:1.2855645 8:-3.6333814 9:1.7787561 10:-1.043326 11:1.1067095 12:-1.6212312 13:2.548397 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:289.45694 2:-9.123085 3:6.0859118 4:-1.2294675 5:-4.3038583 6:1.8708434 7:6.525951 8:-4.378986 9:1.8743486 10:0.4144728 11:2.7121365 12:-0.6684368 13:4.740657 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
1 1:295.92105 2:-10.041331 3:9.405447 4:4.2852917 5:-3.1296058 6:0.53046775 7:6.340917 8:-2.8655024 9:3.0614903 10:-0.9265835 11:1.9054035 12:-0.7637432 13:5.5339527 14:97.72 15:5.838942 16:1.6927736 17:-0.8425313 18:2.8126557 19:0.7624633 20:1.4923251 21:-2.233857 22:3.0751886 23:-0.020563181 24:1.5022857 25:-1.9629384 26:1.185963 
