1 1:164.39507 2:-9.911572 3:5.0415792 4:-0.72711307 5:0.15064111 6:-1.6868644 7:0.29917526 8:-0.5348403 9:2.7045949 10:-2.749348 11:0.13754007 12:-0.55178744 13:2.1692545 14:164.39507 15:-9.911572 16:5.0415792 17:-0.72711307 18:0.15064111 19:-1.6868644 20:0.29917526 21:-0.5348403 22:2.7045949 23:-2.749348 24:0.13754007 25:-0.55178744 26:2.1692545 
1 1:243.32823 2:-8.9489565 3:6.8472166 4:-0.19415884 5:0.5815965 6:-0.16989589 7:0.28164428 8:-1.1916379 9:1.3645712 10:-1.2136265 11:1.6194248 12:-2.6287198 13:1.6047928 14:243.32823 15:-8.9489565 16:6.8472166 17:-0.19415884 18:0.5815965 19:-0.16989589 20:0.28164428 21:-1.1916379 22:1.3645712 23:-1.2136265 24:1.6194248 25:-2.6287198 26:1.6047928 
1 1:244.79445 2:-6.716003 3:9.186905 4:1.7742356 5:2.239054 6:0.53393364 7:0.9153011 8:-1.0132159 9:1.5871462 10:-2.3914313 11:0.59667516 12:-1.8994899 13:3.3002632 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:244.87799 2:-8.432881 3:7.810367 4:0.5047135 5:0.33925095 6:-0.4011066 7:1.676201 8:-0.34889233 9:1.2380741 10:-1.3225377 11:2.5317137 12:-1.4430261 13:2.5068562 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:244.54553 2:-9.211376 3:9.429435 4:4.1681604 5:2.9077213 6:-0.2084382 7:1.2448146 8:-2.077009 9:0.18600266 10:-0.6655253 11:3.3113794 12:0.57363015 13:3.7924361 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:244.90381 2:-8.039916 3:8.545992 4:1.7037694 5:1.3292365 6:-0.050869003 7:2.1457708 8:-0.6402407 9:2.9874856 10:-0.3163606 11:2.4179137 12:-0.90502346 13:1.7925906 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:244.32835 2:-10.60458 3:5.1908517 4:1.200565 5:1.9592758 6:-0.51472104 7:0.9009316 8:-0.6500493 9:1.3669791 10:-1.886277 11:0.6838671 12:-3.0879803 13:1.9836483 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:243.88396 2:-10.02876 3:6.719825 4:0.49682236 5:0.35633093 6:0.37022144 7:1.6636412 8:-1.5263078 9:-0.8030676 10:-2.2577224 11:2.08822 12:-1.9217387 13:3.2035565 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:249.50575 2:-6.1475444 3:8.883729 4:0.7471776 5:1.0847061 6:0.18648404 7:0.88758546 8:-3.3163152 9:0.030274356 10:-2.6111789 11:0.9598777 12:-2.5563374 13:2.456154 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:277.1542 2:4.5256095 3:13.346219 4:9.26171 5:7.341969 6:-0.805157 7:3.3436565 8:-7.996541 9:0.9304865 10:-2.7722416 11:4.038251 12:-2.323906 13:3.6101084 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
1 1:257.54218 2:0.75878984 3:17.61718 4:6.1066766 5:7.8780622 6:1.081162 7:6.070501 8:-1.5517199 9:3.721075 10:-1.8930517 11:3.9399302 12:-1.8111944 13:6.393571 14:99.2964 15:6.2346177 16:3.555365 17:0.1998889 18:2.4832075 19:0.1481799 20:1.3194852 21:-3.5975873 22:1.8875515 23:-0.63437253 24:1.2889265 25:-0.84462214 26:1.3257197 
