1 1:156.2461 2:-7.5255575 3:5.9624686 4:-0.4747528 5:2.0687702 6:-1.1009765 7:-1.6437762 8:-5.02787 9:-0.2286609 10:-0.8576329 11:3.7450595 12:-2.1377544 13:1.1447418 14:156.2461 15:-7.5255575 16:5.9624686 17:-0.4747528 18:2.0687702 19:-1.1009765 20:-1.6437762 21:-5.02787 22:-0.2286609 23:-0.8576329 24:3.7450595 25:-2.1377544 26:1.1447418 
1 1:247.19748 2:-7.9473653 3:7.952141 4:1.0122184 5:-0.0887245 6:0.34667766 7:1.6710665 8:-1.0253466 9:2.134094 10:-1.8500072 11:2.2915027 12:-1.5393895 13:3.0344112 14:247.19748 15:-7.9473653 16:7.952141 17:1.0122184 18:-0.0887245 19:0.34667766 20:1.6710665 21:-1.0253466 22:2.134094 23:-1.8500072 24:2.2915027 25:-1.5393895 26:3.0344112 
1 1:246.30443 2:-8.910687 3:8.529698 4:1.2922082 5:1.2769469 6:0.5697461 7:1.5183532 8:-2.1466117 9:1.1411537 10:-1.2000083 11:2.5120678 12:-1.0027523 13:2.4761877 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:246.32216 2:-10.909967 3:7.3601327 4:2.5419307 5:1.6938633 6:0.54045874 7:2.665092 8:-0.6765843 9:2.2037923 10:-0.49031782 11:3.0933907 12:-0.8432137 13:2.330737 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:249.24545 2:-8.454156 3:8.188903 4:0.7319265 5:-0.49115294 6:-0.81628525 7:0.8754921 8:-2.9739916 9:0.21158333 10:-2.4225595 11:0.81141776 12:-1.4198791 13:3.5096767 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:249.65993 2:-9.09287 3:6.6539874 4:2.41191 5:1.4854127 6:0.8665635 7:2.5436993 8:-0.52442443 9:1.0161399 10:-1.8064284 11:1.954663 12:-2.4078777 13:2.9680173 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:249.1387 2:-10.241348 3:7.4372735 4:1.667184 5:-0.2259519 6:0.059148606 7:2.5094228 8:-1.1074407 9:2.6670747 10:-0.70266175 11:2.5165467 12:-1.183904 13:2.277896 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:248.02068 2:-8.599891 3:7.9005666 4:1.4798381 5:-0.7116449 6:-0.39910582 7:1.6521976 8:-2.5702918 9:2.2511942 10:-0.85751414 11:2.705296 12:-1.4514263 13:3.389625 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:248.8141 2:-8.575478 3:9.683963 4:3.0650206 5:2.6674058 6:1.7716197 7:2.0909967 8:-1.793243 9:0.9514432 10:-2.059429 11:3.1809952 12:0.20222564 13:2.8246331 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:247.25987 2:-9.29192 3:7.651879 4:-0.11279696 5:-0.2096829 6:0.37974268 7:1.6231413 8:-2.0760298 9:1.5613457 10:-1.9477316 11:2.3567882 12:0.7909072 13:3.148069 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:246.79436 2:-7.708087 3:8.398711 4:1.3930075 5:2.753196 6:1.5861151 7:1.5224769 8:-3.3196762 9:1.3266968 10:-1.0673048 11:2.10836 12:-0.8766824 13:3.3712924 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:245.02074 2:-9.608292 3:6.115988 4:0.7832424 5:0.954492 6:0.3288297 7:3.3510191 8:-1.2056078 9:0.6917501 10:-1.617635 11:1.0942657 12:-0.92322356 13:3.248307 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:246.95662 2:-8.782798 3:6.042205 4:0.6373811 5:1.2359964 6:0.18852405 7:2.6506236 8:-1.1963876 9:0.8646255 10:-2.0445771 11:2.5014186 12:-2.567529 13:2.110772 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:243.06058 2:-9.583671 3:5.974769 4:0.62096506 5:0.114074916 6:-1.002534 7:1.7172313 8:-1.4110556 9:1.7642086 10:-0.5412521 11:3.0007787 12:-2.0930314 13:2.1066158 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:245.08067 2:-9.703063 3:6.00479 4:0.6312821 5:-0.44609636 6:-0.5626438 7:2.1963503 8:-2.3435373 9:0.34275538 10:-1.0957738 11:3.8115118 12:-0.45567197 13:3.3362207 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:243.19643 2:-7.327173 3:7.6451025 4:1.4816903 5:1.5277921 6:-0.7020336 7:1.2213078 8:-0.025518522 9:2.189739 10:-2.527198 11:1.7506256 12:-2.4054265 13:3.2936134 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:247.77695 2:-8.617189 3:7.6529355 4:0.8204522 5:-0.91144526 6:-0.7892217 7:1.8188264 8:-1.6639106 9:1.6037624 10:-2.0361445 11:1.8264573 12:-0.8062919 13:4.223804 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:243.73705 2:-9.375038 3:7.1253433 4:0.9388635 5:0.033711024 6:-0.25367877 7:1.1554414 8:-0.47582558 9:2.7228768 10:-1.6267803 11:2.663517 12:-0.7838719 13:1.7714921 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:242.87656 2:-8.465838 3:7.0036836 4:-0.5253824 5:0.29938057 6:-1.3932965 7:0.39068982 8:-0.095168576 9:2.6052892 10:-1.4442312 11:2.3777905 12:-1.682863 13:1.8594247 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:244.76797 2:-7.158018 3:9.34637 4:1.4394964 5:2.7345684 6:0.85367143 7:1.89871 8:-1.0723262 9:1.1011454 10:-2.0884995 11:1.9193965 12:-1.7414767 13:0.85801166 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:247.11356 2:-7.2553935 3:8.569029 4:2.80453 5:1.9486303 6:0.00798389 7:1.7249613 8:-2.5003684 9:1.3212782 10:-2.0431657 11:1.6703064 12:-1.2874186 13:2.3314202 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:244.18602 2:-9.717522 3:6.529825 4:-1.2685301 5:-1.0348146 6:-0.67468387 7:1.0240526 8:-1.5800146 9:0.8882619 10:-1.7020594 11:2.8252258 12:-1.3758996 13:1.7211897 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:245.82857 2:-8.460014 3:8.596169 4:2.5386202 5:0.9835815 6:-0.5890247 7:1.1890397 8:-2.1379979 9:1.1106848 10:-0.80078685 11:3.0348787 12:-1.4946351 13:3.1994722 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:244.80481 2:-8.998477 3:7.2510257 4:-0.095598154 5:0.96280867 6:0.64053625 7:0.7297431 8:-1.0297111 9:2.345446 10:-0.98249567 11:1.941599 12:-2.6978385 13:0.53547907 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:240.85219 2:-10.502109 3:5.354956 4:0.06154257 5:0.111035615 6:-0.22947575 7:0.55416024 8:-4.1995354 9:-1.3475128 10:-4.004746 11:0.8753201 12:-0.54231113 13:3.1435897 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:243.33041 2:-8.9970665 3:7.8003016 4:2.5634086 5:0.911321 6:-1.0241185 7:1.7010672 8:-0.93464583 9:1.6314381 10:-2.1162188 11:1.877735 12:0.004584626 13:4.549432 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:243.54793 2:-7.9829335 3:7.7198052 4:-0.30323687 5:0.26253182 6:-0.29408744 7:1.4373513 8:0.09342899 9:3.2547274 10:-1.1546406 11:1.6909739 12:-1.2542278 13:2.8473947 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:243.1498 2:-6.687487 3:6.9002404 4:-0.35981053 5:1.0367017 6:0.4287728 7:3.3217185 8:0.31580332 9:2.9774137 10:0.34138846 11:3.0279474 12:-1.4518412 13:1.905876 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:244.27101 2:-8.470981 3:8.410185 4:1.6406995 5:1.3703548 6:0.09928313 7:1.9979644 8:-0.5323196 9:2.518946 10:-0.79701 11:2.0954993 12:-2.5244095 13:2.6873167 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:249.8758 2:-6.5859804 3:4.8024583 4:-1.6960572 5:-0.6770102 6:-0.39305967 7:1.891567 8:-3.1240678 9:1.5180881 10:-0.09963949 11:2.4971347 12:-3.628161 13:1.7591013 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:274.4814 2:2.3898513 3:4.1906776 4:-1.2092117 5:9.111012 6:1.1001734 7:0.69235677 8:-4.536167 9:3.5179548 10:-0.9458166 11:2.6628523 12:-3.8990793 13:2.182115 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
