1 1:290.89072 2:-12.372378 3:4.025304 4:0.39480168 5:2.8758066 6:-0.18193012 7:1.1942992 8:0.50173104 9:2.524382 10:-0.73287857 11:3.3501983 12:-0.94048834 13:3.0367758 14:290.89072 15:-12.372378 16:4.025304 17:0.39480168 18:2.8758066 19:-0.18193012 20:1.1942992 21:0.50173104 22:2.524382 23:-0.73287857 24:3.3501983 25:-0.94048834 26:3.0367758 
1 1:296.95584 2:-7.196565 3:7.925419 4:2.3480604 5:2.2925098 6:0.6974858 7:2.4496748 8:-1.8563867 9:1.848318 10:-2.4973001 11:2.7878542 12:0.42705607 13:4.067691 14:296.95584 15:-7.196565 16:7.925419 17:2.3480604 18:2.2925098 19:0.6974858 20:2.4496748 21:-1.8563867 22:1.848318 23:-2.4973001 24:2.7878542 25:0.42705607 26:4.067691 
1 1:295.16507 2:-9.258278 3:6.449985 4:-0.58731294 5:0.86468536 6:0.3725983 7:2.4759357 8:-1.1805809 9:1.826818 10:-1.9479368 11:2.4774086 12:0.36440346 13:2.9115348 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:286.35623 2:-11.959733 3:5.204772 4:0.38018247 5:-0.2732076 6:0.27972406 7:1.7614229 8:-1.5384169 9:1.2648183 10:-2.1706991 11:1.8109108 12:0.44292942 13:2.905956 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:280.46957 2:-11.410145 3:6.322082 4:1.0553358 5:-0.0032191558 6:0.20744303 7:1.2066172 8:-1.8754705 9:2.20186 10:-1.626464 11:1.133796 12:-1.6263974 13:1.9788535 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:280.75488 2:-10.206115 3:6.614483 4:1.3587841 5:-0.109251246 6:-0.44645962 7:1.5488096 8:-1.8263906 9:1.7401328 10:-1.0318143 11:2.1453803 12:-2.0865457 13:2.4201827 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:278.71518 2:-10.674017 3:6.0880165 4:1.6171534 5:1.6085591 6:-0.749865 7:1.6981727 8:-0.22284892 9:2.3398068 10:-1.7720199 11:2.3180485 12:-1.5760494 13:2.5049999 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:277.041 2:-11.243325 3:6.0316033 4:0.8933041 5:0.70327014 6:1.1281092 7:2.8226936 8:-1.2012966 9:2.716265 10:-1.4004544 11:1.7645984 12:-1.4088211 13:1.8338419 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:280.00278 2:-10.877463 3:5.690922 4:2.5048907 5:0.93400854 6:-0.9222077 7:1.5387819 8:-1.2626944 9:1.6142641 10:-1.6561743 11:2.6727679 12:-2.501584 13:1.7473235 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:293.4371 2:-13.550892 3:4.6205893 4:2.6591988 5:0.7835173 6:0.4036463 7:1.232244 8:-3.6785836 9:0.90902764 10:-1.7425996 11:2.7028043 12:-0.7163026 13:2.6837003 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
1 1:286.4482 2:-11.355606 3:4.7920165 4:1.3783175 5:1.0761462 6:-0.7988787 7:1.0436065 8:-1.7822791 9:1.1688545 10:-2.706242 11:2.0979717 12:-1.1695184 13:2.2103276 14:107.29092 15:5.09111 16:2.3152127 17:-0.13032927 18:2.837252 19:0.4604985 20:2.0603209 21:-2.0946329 22:2.6753 23:-0.14747135 24:1.7368114 25:-1.9271569 26:0.81845254 
