1 1:273.14658 2:-8.236087 3:7.1933126 4:1.498016 5:2.658028 6:-1.1896504 7:0.195626 8:-0.90016806 9:3.6542072 10:0.57574683 11:2.9134662 12:-1.2018588 13:1.3623707 14:273.14658 15:-8.236087 16:7.1933126 17:1.498016 18:2.658028 19:-1.1896504 20:0.195626 21:-0.90016806 22:3.6542072 23:0.57574683 24:2.9134662 25:-1.2018588 26:1.3623707 
1 1:275.32294 2:-9.787136 3:6.9629474 4:0.9787438 5:-0.16077511 6:-1.0667508 7:0.36568457 8:-0.89884 9:3.3141732 10:-0.8508143 11:1.7921144 12:-1.9667183 13:2.4779313 14:275.32294 15:-9.787136 16:6.9629474 17:0.9787438 18:-0.16077511 19:-1.0667508 20:0.36568457 21:-0.89884 22:3.3141732 23:-0.8508143 24:1.7921144 25:-1.9667183 26:2.4779313 
1 1:277.79492 2:-9.903448 3:7.686924 4:1.915794 5:0.453552 6:-0.1679468 7:0.5808238 8:-1.8880185 9:2.045532 10:-2.1738548 11:1.8445798 12:-1.8141909 13:2.020647 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:277.54736 2:-10.256842 3:6.7569814 4:0.28711477 5:-0.21722142 6:0.9645745 7:2.1785645 8:-1.6311929 9:2.9985352 10:-1.763712 11:2.3840203 12:-0.858676 13:2.3527675 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:279.00058 2:-12.25013 3:6.4132233 4:1.5696528 5:0.11432263 6:0.74721473 7:1.4284184 8:-1.0416186 9:2.608905 10:-1.5587811 11:2.706965 12:-0.9716457 13:2.7176445 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:278.21823 2:-9.367293 3:8.293681 4:0.39012343 5:-0.43562558 6:-0.2726194 7:0.90743744 8:-0.66166514 9:2.8356376 10:-1.8092052 11:1.206095 12:-2.3409016 13:2.2186027 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:277.62494 2:-7.102865 3:8.360447 4:1.4790466 5:0.6749309 6:-1.6325705 7:0.90857965 8:-0.92934066 9:1.8947425 10:-1.06146 11:2.0360804 12:-2.8260052 13:1.9785836 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:274.95728 2:-7.4450235 3:8.494334 4:1.8053383 5:1.2875854 6:-0.24866433 7:1.2757872 8:-0.62237597 9:2.4754975 10:-1.3730224 11:2.4253488 12:-1.9634818 13:1.24471 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:275.10315 2:-8.695036 3:7.996933 4:1.2434804 5:-0.14976738 6:-1.9217972 7:0.36125255 8:-1.9539471 9:1.2985647 10:-1.1548537 11:2.495186 12:-2.119562 13:1.8866198 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:275.33752 2:-9.039713 3:6.6473665 4:1.3946692 5:1.4779551 6:-0.21303518 7:1.1745096 8:-0.864616 9:2.6451488 10:-1.0375391 11:3.2011297 12:-1.4658417 13:2.0285795 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:274.65744 2:-8.518631 3:7.5819926 4:1.3897226 5:2.4212441 6:-0.029972404 7:1.336842 8:1.3789128 9:2.6991255 10:-1.5164365 11:2.798639 12:-2.0790079 13:2.3508615 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
