1 1:276.49075 2:-9.249178 3:6.953548 4:0.94078857 5:0.388347 6:-0.36782587 7:0.5356492 8:-1.7820704 9:2.1629066 10:-1.2212499 11:3.2702544 12:-0.3598994 13:3.006037 14:276.49075 15:-9.249178 16:6.953548 17:0.94078857 18:0.388347 19:-0.36782587 20:0.5356492 21:-1.7820704 22:2.1629066 23:-1.2212499 24:3.2702544 25:-0.3598994 26:3.006037 
1 1:275.4991 2:-9.605743 3:6.7227745 4:0.25003433 5:0.24981076 6:-0.98829585 7:1.9275116 8:-0.4110899 9:2.5337248 10:-0.6539046 11:1.8169867 12:-1.9681627 13:1.8388292 14:275.4991 15:-9.605743 16:6.7227745 17:0.25003433 18:0.24981076 19:-0.98829585 20:1.9275116 21:-0.4110899 22:2.5337248 23:-0.6539046 24:1.8169867 25:-1.9681627 26:1.8388292 
1 1:277.518 2:-8.261405 3:6.6872654 4:1.3793039 5:1.6558629 6:-0.3844454 7:1.7795153 8:-0.07866784 9:3.6383243 10:-0.8830896 11:2.573929 12:-1.525285 13:2.367058 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:276.21066 2:-9.238911 3:7.098454 4:1.2243234 5:1.3488829 6:-0.33443698 7:1.1516619 8:-0.27864307 9:2.7789352 10:-1.7115473 11:2.4577966 12:-1.5804577 13:2.897673 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:275.48157 2:-10.505946 3:5.6995716 4:0.062181167 5:0.19204816 6:0.43782842 7:1.4170325 8:-0.934275 9:3.1021242 10:-0.3562877 11:2.695962 12:-1.9952526 13:1.5494556 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:278.4463 2:-9.627719 3:6.6948795 4:0.95749265 5:0.33588713 6:-0.09130527 7:1.0216521 8:-1.2557957 9:3.123537 10:-1.5873058 11:1.6490192 12:-2.1422243 13:1.4503832 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:276.6753 2:-9.02935 3:7.178067 4:0.6929941 5:1.3540047 6:-0.28191015 7:1.7319567 8:-1.4273058 9:1.0024962 10:-2.1670055 11:1.6112756 12:-2.2804813 13:1.110305 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:276.89197 2:-10.020862 3:5.025004 4:-0.06486486 5:0.9609769 6:-0.22512256 7:0.4296375 8:-1.8865875 9:1.189749 10:-2.0591223 11:1.3968844 12:-1.9544971 13:2.2786212 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:278.31833 2:-8.508231 3:6.9955935 4:1.0844141 5:2.2956746 6:1.5407764 7:1.9688402 8:-1.1896435 9:1.7790196 10:-0.9838396 11:1.9976374 12:-1.2386386 13:2.8891726 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:276.05304 2:-9.925786 3:6.0586863 4:0.6363006 5:0.83079576 6:-0.419655 7:2.44514 8:-0.8067527 9:1.131213 10:-1.165794 11:4.0515566 12:-0.32284606 13:2.050348 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
1 1:276.59952 2:-9.11062 3:6.0182786 4:0.71434003 5:1.3384488 6:0.027304458 7:0.70423114 8:-2.1571953 9:1.5239272 10:-1.2900532 11:2.2339776 12:-1.0858077 13:2.8218167 14:111.11895 15:7.542685 16:1.4451199 17:-0.42209464 18:3.6453872 19:-0.12781347 20:0.5257057 21:-4.0157285 22:2.0974565 23:-0.89328307 24:0.939523 25:-2.0320108 26:1.4699442 
