1 1:275.29224 2:-12.726668 3:7.6913795 4:2.1972902 5:-1.5983733 6:0.9210202 7:2.2540193 8:-1.888734 9:3.5598826 10:0.07252585 11:1.7544234 12:-1.7196138 13:1.8717681 14:275.29224 15:-12.726668 16:7.6913795 17:2.1972902 18:-1.5983733 19:0.9210202 20:2.2540193 21:-1.888734 22:3.5598826 23:0.07252585 24:1.7544234 25:-1.7196138 26:1.8717681 
1 1:283.188 2:-10.626262 3:7.4913163 4:1.9714247 5:0.53526336 6:1.6388044 7:3.0705216 8:-2.0408635 9:2.4111886 10:-1.3436238 11:1.6518506 12:-1.4342334 13:3.1358435 14:283.188 15:-10.626262 16:7.4913163 17:1.9714247 18:0.53526336 19:1.6388044 20:3.0705216 21:-2.0408635 22:2.4111886 23:-1.3436238 24:1.6518506 25:-1.4342334 26:3.1358435 
1 1:280.1871 2:-9.526583 3:8.218386 4:0.94138074 5:-0.21586277 6:0.21618743 7:1.9565092 8:-0.9320627 9:3.195476 10:-0.95744354 11:2.584977 12:-0.95052755 13:2.550486 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:276.4208 2:-9.847061 3:7.582463 4:2.2406914 5:1.5705583 6:-0.24418242 7:1.1948113 8:-2.6508498 9:1.1658369 10:-1.8113451 11:2.2671366 12:-1.4139731 13:1.6383201 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:276.41522 2:-9.14642 3:5.8780828 4:0.80304843 5:1.7864863 6:0.77241594 7:2.233222 8:-0.1992249 9:2.4728522 10:-1.955357 11:2.3471863 12:-1.3653519 13:2.2464006 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:275.25964 2:-8.9896145 3:7.320348 4:2.069492 5:2.4076672 6:0.45259905 7:3.2981746 8:1.5687187 9:3.3667197 10:-0.6250075 11:2.469117 12:-2.3836215 13:2.7426653 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:273.12903 2:-8.8729 3:6.7681565 4:0.53528655 5:1.4134616 6:-0.5455295 7:1.3890748 8:-0.6706301 9:2.5840313 10:-1.4660574 11:2.7535758 12:-1.221356 13:2.371916 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:274.38025 2:-8.182151 3:7.149494 4:0.192942 5:1.2760252 6:-0.060144905 7:1.9323449 8:-0.67759764 9:1.8995452 10:-1.2582835 11:2.2947025 12:-1.4591802 13:2.51136 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:274.63177 2:-8.24659 3:7.591685 4:1.041855 5:1.701336 6:0.44661418 7:1.1810104 8:-1.9631431 9:1.6976185 10:-1.7872818 11:1.9924383 12:-1.5372767 13:2.8956702 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:274.26053 2:-9.069204 3:6.342751 4:0.47183123 5:0.90229267 6:-0.58414394 7:0.7516691 8:-1.0152448 9:3.6316016 10:-0.5335409 11:2.1792777 12:-1.5227312 13:2.3185875 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:270.43713 2:-10.110866 3:6.040485 4:1.470344 5:2.3671904 6:0.4939085 7:1.6185442 8:-0.010755494 9:2.1608043 10:-1.816146 11:1.7421471 12:-2.483777 13:1.3863565 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:272.13187 2:-9.16344 3:6.8269596 4:0.32247323 5:0.21418422 6:-1.8791056 7:0.2987717 8:-1.7450333 9:0.5354484 10:-2.3174856 11:1.6952239 12:-2.9232106 13:1.8031842 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:271.20975 2:-10.181667 3:5.0196176 4:0.11481292 5:1.3384581 6:-0.8130317 7:1.3632803 8:-0.027287276 9:1.7482088 10:-1.0316567 11:2.5925548 12:-2.0448623 13:1.7192467 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:273.17728 2:-9.722926 3:6.5615873 4:0.9671254 5:1.398823 6:-0.016263131 7:0.9168868 8:-2.0282364 9:-0.13429834 10:-2.2814999 11:1.3279746 12:-2.2603247 13:2.5829785 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:273.44263 2:-10.46587 3:6.103664 4:0.8111518 5:0.60773295 6:-0.25020316 7:2.0669644 8:-0.9981738 9:1.3678988 10:-1.2186347 11:2.2755604 12:-1.4007838 13:2.1792939 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:271.5858 2:-9.184635 3:6.823379 4:0.9434199 5:1.6384033 6:-0.62098145 7:1.6848297 8:0.0066340137 9:1.5866711 10:-0.85173166 11:2.9853117 12:-2.098338 13:1.2960094 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:290.29297 2:-9.02282 3:-5.1260037 4:-6.275411 5:7.1897626 6:3.7986476 7:1.0566196 8:-2.738547 9:2.321325 10:-1.3854265 11:3.2536044 12:-2.2375798 13:2.1758482 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:302.08093 2:-6.9415936 3:-7.31495 4:-5.9708586 5:9.906708 6:3.7952785 7:3.5924747 8:-2.4552166 9:2.6371286 10:-1.5476956 11:2.6779988 12:-3.7900474 13:1.8048576 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:282.06497 2:-7.9303255 3:2.1600428 4:-1.3532171 5:2.5428493 6:1.5671351 7:4.714549 8:-0.482568 9:2.3320596 10:0.3304403 11:4.0101724 12:-2.3948085 13:0.9744593 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:279.18356 2:-7.599095 3:5.7184067 4:-0.24004693 5:-0.043097507 6:-0.74567187 7:2.2585602 8:0.23990989 9:4.582816 10:-1.938176 11:-0.47863635 12:-4.1972685 13:1.5074365 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:283.1824 2:-4.8620663 3:5.027433 4:-1.7164781 5:1.9456593 6:0.84198725 7:3.6126351 8:1.1861975 9:5.0618105 10:-1.2230152 11:0.9807393 12:-3.3298864 13:3.3032596 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:323.568 2:12.584652 3:8.815162 4:-3.0618174 5:5.7762427 6:1.3004154 7:6.653106 8:-1.028108 9:9.274397 10:0.9293432 11:4.740601 12:-4.8716598 13:6.4651594 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:341.36798 2:19.25377 3:6.219112 4:-4.81794 5:7.0996923 6:-0.88704425 7:5.4121847 8:-2.3627257 9:11.187427 10:0.26214963 11:4.1410055 12:-5.0056443 13:7.0172763 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:372.57254 2:13.01745 3:6.9993033 4:2.89305 5:7.107999 6:-3.420084 7:1.8231888 8:-3.455353 9:8.447017 10:-5.529976 11:4.7722735 12:-3.701624 13:3.109037 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:373.34427 2:23.56774 3:7.4935904 4:-0.9027472 5:4.0555468 6:-5.6960425 7:2.2012613 8:-8.624655 9:9.25802 10:-2.5346947 11:5.617145 12:-8.175007 13:2.8163633 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:375.28943 2:25.09921 3:4.5828676 4:-3.8695629 5:3.186336 6:-4.679322 7:5.320378 8:-8.679477 9:8.0912695 10:0.083666295 11:4.289029 12:-11.46676 13:2.1305976 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:378.04425 2:24.87804 3:2.0617564 4:-6.2870893 5:5.173875 6:-2.2648582 7:7.655129 8:-8.100357 9:8.436221 10:-1.4677656 11:3.1129725 12:-12.807193 13:1.7126805 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:376.84808 2:21.956266 3:1.6081039 4:-6.8292828 5:6.7900066 6:1.696914 7:9.418387 8:-8.630402 9:8.776009 10:-1.2480309 11:1.6713938 12:-11.220331 13:2.163507 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:370.55112 2:21.538458 3:0.8682456 4:-7.2222 5:9.303807 6:5.4048853 7:8.669193 8:-5.640876 9:8.773785 10:-3.0999482 11:2.0964057 12:-10.618121 13:4.157217 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:368.88522 2:20.813194 3:2.6487498 4:-7.637418 5:8.723907 6:5.467713 7:10.117799 8:-3.9592898 9:10.7325 10:-3.1190703 11:0.5593713 12:-10.568606 13:5.434714 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:362.56876 2:22.117859 3:4.469624 4:-7.796666 5:7.593477 6:2.8419058 7:10.58456 8:-1.297584 9:12.949836 10:-1.0279158 11:1.2736574 12:-11.865363 13:5.047568 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:339.33536 2:18.151382 3:9.273086 4:-3.2895155 5:3.3311994 6:0.5127968 7:8.903965 8:-2.6057262 9:10.873296 10:-0.1727769 11:2.857294 12:-8.354096 13:5.057196 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:329.99426 2:10.263343 3:11.022058 4:2.7884555 5:0.99338853 6:-0.7851691 7:8.0486965 8:-4.167962 9:8.781842 10:0.3994473 11:2.3210359 12:-4.724959 13:5.998695 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:340.2252 2:15.135551 3:11.090192 4:3.6251338 5:4.5012584 6:0.20857653 7:5.870968 8:-7.8890414 9:7.564272 10:-2.1199727 11:2.3268657 12:-5.7973304 13:6.504973 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:357.82187 2:25.593542 3:9.189917 4:-0.85168684 5:12.065025 6:0.26849377 7:3.82535 8:-9.240984 9:6.349072 10:-4.6611176 11:3.602999 12:-7.2623696 13:5.8835588 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:367.5664 2:26.408148 3:8.01961 4:-0.46466783 5:13.167253 6:0.5880051 7:0.5800296 8:-11.178927 9:5.7865467 10:-7.4905376 11:5.1144214 12:-8.063084 13:4.1954474 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:369.65283 2:25.222414 3:6.9425883 4:0.0770323 5:13.551807 6:-0.6336198 7:-1.487207 8:-11.29163 9:6.164034 10:-8.393327 11:5.194499 12:-7.996889 13:3.764584 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:368.69073 2:28.18869 3:6.90906 4:-1.4711456 5:11.899563 6:-2.5067239 7:-0.7058175 8:-10.439155 9:6.197836 10:-7.655637 11:5.91121 12:-7.7141833 13:3.6063988 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:370.16696 2:29.064177 3:6.295811 4:-3.2526238 5:8.8665 6:-3.6489174 7:2.1590495 8:-9.357151 9:7.966756 10:-4.776252 11:4.4836516 12:-9.164427 13:4.648301 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:374.00998 2:27.126787 3:5.765894 4:-3.37387 5:7.664154 6:-5.291329 7:5.0411043 8:-7.4195123 9:9.805593 10:-1.7751818 11:2.6621773 12:-9.840776 13:3.9738882 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:371.806 2:23.022943 3:4.0516806 4:-1.7537814 5:7.3173447 6:-1.9518775 7:8.467126 8:-5.205003 9:11.615202 10:-2.0857515 11:2.0605433 12:-9.208778 13:2.4814959 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:367.31592 2:21.274649 3:0.48074377 4:-1.8641063 5:11.278962 6:3.0888352 7:10.059779 8:-4.8711324 9:10.291869 10:-2.968075 11:2.5394351 12:-8.600595 13:4.3580937 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:367.91495 2:16.961 3:-0.9629228 4:-1.3257707 5:10.507691 6:5.8740716 7:9.61985 8:-4.090786 9:10.36848 10:-4.889652 11:2.33016 12:-8.294533 13:5.0234814 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:357.83344 2:7.9610987 3:-0.1322769 4:7.2133007 5:7.9117117 6:2.5982373 7:9.227489 8:-1.9983046 9:10.862207 10:-6.8754835 11:1.0645304 12:-4.406074 13:5.902418 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:365.58405 2:-8.707199 3:-13.648766 4:10.730813 5:7.6300807 6:-1.0835596 7:6.017995 8:-5.662228 9:9.445345 10:-8.514841 11:0.764513 12:-1.653742 13:5.1420083 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:372.12817 2:-14.203674 3:-14.734289 4:11.350096 5:6.119468 6:-1.2399695 7:7.657989 8:-4.531759 9:8.5330515 10:-7.18172 11:1.8352987 12:-1.8117602 13:4.564374 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:371.0741 2:-15.524843 3:-15.544035 4:8.469492 5:5.8055086 6:-1.862883 7:6.855041 8:-5.267437 9:6.225393 10:-6.6333485 11:1.6210972 12:-0.99775845 13:3.487162 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:367.71375 2:-10.603846 3:-13.628319 4:6.870928 5:5.6351123 6:0.78688407 7:7.9107485 8:-5.2506537 9:5.7908716 10:-7.669603 11:0.72101617 12:-1.3604242 13:5.5097337 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:347.02487 2:-2.0521247 3:-9.793306 4:5.972896 5:6.7091455 6:0.8881281 7:7.375613 8:-4.1877427 9:6.2898746 10:-7.1831064 11:0.9660011 12:-2.6642516 13:4.6759768 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:371.6957 2:14.932818 3:0.35731027 4:1.3046185 5:10.588694 6:2.1977077 7:11.807196 8:-2.1915267 9:10.037243 10:-5.095685 11:1.0635844 12:-6.888539 13:4.467466 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:382.1225 2:17.940657 3:-3.9953253 4:-0.06798244 5:7.2655377 6:4.108467 7:14.305065 8:-5.4018 9:12.334834 10:-3.2296593 11:-0.38394162 12:-9.052218 13:5.9141593 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:376.13907 2:17.086805 3:-4.7995768 4:1.7713027 5:8.16373 6:0.81553924 7:13.952906 8:-2.8486073 9:12.812472 10:-3.255563 11:-0.6304213 12:-7.4700174 13:4.749213 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:375.1419 2:3.4615579 3:-7.324911 4:15.045614 5:8.678775 6:-5.7961545 7:10.773988 8:1.5896562 9:14.809516 10:-6.797285 11:0.3413346 12:-5.0244827 13:2.9049952 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:375.33563 2:-2.9829192 3:-8.281818 4:16.639719 5:8.413893 6:-3.3163314 7:7.0869827 8:-0.54353505 9:17.090084 10:-5.552426 11:1.4958249 12:-6.0343657 13:2.67578 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:349.5638 2:9.529678 3:2.3035338 4:5.5083017 5:8.731577 6:-0.45021445 7:7.031387 8:1.7977034 9:12.30944 10:-3.5541022 11:3.4612434 12:-6.323069 13:3.6768682 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:337.85037 2:14.810742 3:9.530277 4:1.387752 5:6.6195836 6:-0.18903671 7:11.102325 8:1.0219486 9:8.547147 10:-3.8258646 11:2.139362 12:-4.2731595 13:6.7154913 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:349.00928 2:19.060175 3:6.8089437 4:-1.635459 5:6.7038546 6:0.82234234 7:9.795539 8:-2.1057918 9:11.168502 10:-3.3227892 11:0.9554559 12:-4.092941 13:7.941089 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:356.2705 2:18.45081 3:5.511222 4:-3.861816 5:8.515553 6:-0.51943386 7:7.461765 8:-2.0297208 9:12.010976 10:-2.1525314 11:0.921321 12:-4.8360405 13:8.700394 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:380.4868 2:22.825768 3:5.422446 4:-3.782645 5:6.7900515 6:-1.9906926 7:4.4850416 8:-7.454307 9:10.659091 10:-0.8685322 11:2.6491513 12:-9.161789 13:5.7995987 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
1 1:387.58432 2:20.754656 3:-0.56083846 4:-5.27832 5:5.8375325 6:0.2684048 7:6.269599 8:-6.760726 9:10.328386 10:-1.7319789 11:0.65641534 12:-12.023473 13:5.4190536 14:109.65818 15:6.4281845 16:2.4864893 17:0.06582417 18:3.7612941 19:-0.012416417 20:0.17649291 21:-4.1091084 22:1.8576456 23:-1.0075403 24:0.78097326 25:-1.7979225 26:1.5150746 
