1 1:267.2087 2:-9.579865 3:8.826647 4:2.091645 5:1.7269588 6:0.47991306 7:0.93418664 8:-1.3425969 9:3.369577 10:-1.5509118 11:1.2223179 12:-3.0137854 13:2.1378236 14:267.2087 15:-9.579865 16:8.826647 17:2.091645 18:1.7269588 19:0.47991306 20:0.93418664 21:-1.3425969 22:3.369577 23:-1.5509118 24:1.2223179 25:-3.0137854 26:2.1378236 
1 1:275.23047 2:-7.154649 3:8.562034 4:0.67784333 5:-0.17695571 6:-1.906749 7:0.80345243 8:-0.9573245 9:2.4574609 10:-1.0033095 11:2.0060124 12:-1.3472353 13:2.7915227 14:275.23047 15:-7.154649 16:8.562034 17:0.67784333 18:-0.17695571 19:-1.906749 20:0.80345243 21:-0.9573245 22:2.4574609 23:-1.0033095 24:2.0060124 25:-1.3472353 26:2.7915227 
1 1:275.22916 2:-8.328889 3:6.7712045 4:0.06725166 5:0.7995787 6:-0.853121 7:0.8084854 8:-0.77769214 9:1.3915198 10:-1.3116891 11:2.6540108 12:-1.4602584 13:2.8614912 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:276.16705 2:-8.039422 3:7.469474 4:-0.5082917 5:-0.03344626 6:-1.076007 7:0.7085196 8:-1.0351855 9:2.2751856 10:-0.5663192 11:2.2427313 12:-1.4104358 13:2.2035596 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:275.62906 2:-8.065272 3:6.177147 4:-0.47024179 5:0.6012292 6:-0.7815363 7:0.94449586 8:-0.8125673 9:2.9594383 10:-0.8379111 11:2.146708 12:-1.9846776 13:2.2783735 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:275.6993 2:-8.318299 3:6.6510825 4:-0.25074553 5:0.27049604 6:-0.88923967 7:0.85830796 8:-0.9974024 9:2.3877933 10:-2.0091197 11:1.2143626 12:-2.1228285 13:2.677485 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:276.30493 2:-6.8137345 3:8.761076 4:1.097718 5:0.7288414 6:-1.0023351 7:0.8251611 8:-1.0784492 9:2.5964942 10:-1.0284743 11:2.4722993 12:-1.4315048 13:2.080276 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:272.98657 2:-8.621603 3:7.8853235 4:1.2467393 5:1.4088179 6:-0.17626564 7:1.6630275 8:-1.0240234 9:1.348572 10:-2.2235672 11:1.3811691 12:-2.7679896 13:1.6560562 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:274.17993 2:-7.772897 3:7.4925737 4:1.2824782 5:0.99440235 6:-0.35064977 7:1.3242214 8:0.14819416 9:3.1739566 10:-1.798585 11:1.930493 12:-2.408702 13:2.2393234 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:274.74185 2:-8.241354 3:6.568205 4:0.57958865 5:0.16267203 6:-0.27696306 7:1.4525297 8:-1.3140693 9:1.8832496 10:-1.9314712 11:1.5697702 12:-2.2412891 13:2.5438116 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:276.4093 2:-7.288961 3:9.083127 4:1.8593477 5:1.099674 6:-0.40940386 7:1.3505828 8:-0.2186496 9:2.7549326 10:-1.5153004 11:1.0543872 12:-2.1808798 13:3.0951724 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
