1 1:284.4833 2:-12.037092 3:10.23082 4:2.923408 5:-2.2585285 6:-0.13336985 7:1.0090207 8:-2.899547 9:3.1655385 10:-1.701818 11:1.7813356 12:-0.82679534 13:3.2463677 14:284.4833 15:-12.037092 16:10.23082 17:2.923408 18:-2.2585285 19:-0.13336985 20:1.0090207 21:-2.899547 22:3.1655385 23:-1.701818 24:1.7813356 25:-0.82679534 26:3.2463677 
1 1:287.92703 2:-10.39647 3:9.350843 4:2.49041 5:-1.3073335 6:1.5109409 7:3.5888987 8:-1.995399 9:3.3513522 10:-1.583332 11:2.6891694 12:-1.0610664 13:1.960784 14:287.92703 15:-10.39647 16:9.350843 17:2.49041 18:-1.3073335 19:1.5109409 20:3.5888987 21:-1.995399 22:3.3513522 23:-1.583332 24:2.6891694 25:-1.0610664 26:1.960784 
1 1:281.4122 2:-10.035427 3:7.740888 4:2.3643036 5:-0.8814698 6:0.21023203 7:3.461498 8:-0.97669446 9:2.5631828 10:-1.8911126 11:2.608419 12:-1.156941 13:2.928307 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:277.1613 2:-10.418147 3:7.9797072 4:2.0063162 5:1.1301701 6:0.5510131 7:2.0896595 8:-1.5630227 9:1.8632551 10:-1.6729618 11:1.2301539 12:-1.1388869 13:3.0219266 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:277.17587 2:-9.49063 3:7.0856266 4:2.2886252 5:1.3097003 6:-0.26731864 7:2.4710047 8:-0.33583596 9:2.056964 10:-1.6354852 11:2.2447922 12:-2.3368716 13:2.8844159 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:278.78326 2:-8.500272 3:6.5541863 4:0.090847984 5:0.8490341 6:0.2418979 7:2.1071365 8:-2.0569217 9:1.43283 10:-0.5210781 11:2.7900486 12:-1.2630731 13:2.5184805 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:275.27875 2:-9.006353 3:6.8352356 4:0.36911306 5:0.28819492 6:-0.004118691 7:1.571765 8:-0.77631545 9:2.7035296 10:-0.5363004 11:1.5379566 12:-3.5667517 13:1.7227259 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:275.40967 2:-9.092863 3:7.050543 4:0.74337125 5:0.29749203 6:-0.9063013 7:0.45416704 8:-1.3678557 9:3.6768966 10:-0.2540796 11:3.4935155 12:-0.75249654 13:2.2114313 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:274.86487 2:-8.53191 3:7.16155 4:0.79967636 5:1.2202238 6:0.11911412 7:2.1345186 8:-0.88087547 9:1.9948099 10:-1.5452137 11:1.4023854 12:-1.9528697 13:2.1922305 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:273.84415 2:-9.330831 3:6.4653673 4:0.4705558 5:0.7926769 6:-1.3088801 7:0.5704777 8:-0.8171906 9:2.5851073 10:-0.20700556 11:2.2540357 12:-1.9457036 13:2.7698162 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:275.6542 2:-7.6049457 3:7.663795 4:1.0724951 5:1.7570736 6:-0.793729 7:0.8904933 8:-0.65662044 9:2.1841657 10:-0.7869325 11:1.9010385 12:-2.3907657 13:2.5370517 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
