1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:234.49228 2:-6.372129 3:9.252135 4:2.214446 5:2.7142243 6:-0.9899214 7:1.7219427 8:-0.52942 9:2.3722174 10:-1.0348269 11:0.84174716 12:-2.7143404 13:2.5026658 14:234.49228 15:-6.372129 16:9.252135 17:2.214446 18:2.7142243 19:-0.9899214 20:1.7219427 21:-0.52942 22:2.3722174 23:-1.0348269 24:0.84174716 25:-2.7143404 26:2.5026658 
1 1:234.09708 2:-8.472011 3:5.5652843 4:1.258086 5:2.3552618 6:0.8727228 7:2.5947742 8:1.02086 9:2.8878894 10:-0.24505505 11:1.3861797 12:-3.0151658 13:2.24235 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
1 1:235.95763 2:-7.4579177 3:7.1102586 4:0.659908 5:1.1298003 6:-0.057672184 7:0.8465426 8:0.22693759 9:1.6242825 10:-1.7033007 11:2.0552866 12:-1.8416098 13:1.9962641 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
1 1:230.86148 2:-8.356728 3:7.724505 4:0.12216901 5:1.1029158 6:1.1362761 7:2.2370918 8:-1.066277 9:1.1181526 10:-1.8381298 11:1.6133183 12:-2.692117 13:1.4908228 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
1 1:229.50984 2:-7.997143 3:8.07113 4:1.7211614 5:1.5902681 6:-0.6019127 7:0.049016934 8:-1.992677 9:1.8531396 10:0.1161142 11:2.3678732 12:-2.1563864 13:3.608961 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
1 1:234.10204 2:-5.0156827 3:8.734295 4:-0.5604923 5:0.6629753 6:0.40675473 7:1.3920918 8:-0.62546176 9:2.9547818 10:-1.4264262 11:1.6442161 12:-1.2020938 13:2.4791791 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
1 1:231.82259 2:-7.514191 3:7.0395546 4:0.13748433 5:2.1818864 6:1.076063 7:1.5819484 8:-0.2654537 9:3.2854707 10:0.09557944 11:1.853909 12:-2.8074613 13:0.67973053 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
1 1:230.41882 2:-10.008043 3:5.427069 4:0.47704288 5:2.03487 6:0.0564598 7:0.90580404 8:-1.0129807 9:0.7288476 10:-1.7528939 11:2.060733 12:-2.3450341 13:2.2402892 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
1 1:233.08612 2:-9.207185 3:7.6967015 4:1.4429718 5:2.704916 6:0.175375 7:0.5688866 8:-0.6237488 9:0.8467359 10:-1.630239 11:1.6909711 12:-1.4858323 13:3.1896837 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
1 1:230.57425 2:-9.075738 3:6.6619925 4:0.7542911 5:1.1009316 6:-0.3665486 7:2.8675945 8:0.6010066 9:2.6220763 10:-1.5355248 11:1.7115211 12:-1.0789574 13:3.1215186 14:87.911766 15:6.0803246 16:2.2994604 17:-2.71995 18:2.715128 19:2.3067548 20:2.9049761 21:-1.2714107 22:0.9306877 23:-1.6980406 24:1.9638686 25:-0.3905298 26:1.597741 
