1 1:150.2616 2:-13.472275 3:5.2919 4:0.6304049 5:1.652073 6:0.001525808 7:0.32429743 8:-0.7247182 9:0.29394948 10:-1.4983724 11:-0.9499903 12:-4.1046915 13:0.9660804 14:150.2616 15:-13.472275 16:5.2919 17:0.6304049 18:1.652073 19:0.001525808 20:0.32429743 21:-0.7247182 22:0.29394948 23:-1.4983724 24:-0.9499903 25:-4.1046915 26:0.9660804 
1 1:246.79977 2:-9.084314 3:5.7489424 4:2.0569708 5:2.2375011 6:-0.24096571 7:2.9793742 8:1.1013432 9:3.729845 10:-1.5346707 11:1.0435115 12:-1.7268198 13:2.0659444 14:246.79977 15:-9.084314 16:5.7489424 17:2.0569708 18:2.2375011 19:-0.24096571 20:2.9793742 21:1.1013432 22:3.729845 23:-1.5346707 24:1.0435115 25:-1.7268198 26:2.0659444 
1 1:245.4332 2:-8.657059 3:8.643678 4:2.067228 5:-0.45894837 6:-0.9847522 7:-0.101461396 8:-2.2842555 9:1.8361844 10:-1.271022 11:1.1382053 12:-1.7780253 13:3.5447063 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:247.31403 2:-6.3435245 3:9.008815 4:1.6263922 5:1.6669331 6:0.252316 7:1.7131987 8:-0.95946896 9:1.8692725 10:-0.8724954 11:2.9393988 12:-0.68865573 13:3.8829055 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:247.78983 2:-6.86895 3:8.28564 4:-0.5289253 5:-0.16539371 6:-0.71367687 7:0.5109104 8:-1.1131085 9:1.4382559 10:-1.7174913 11:1.5657086 12:-1.096425 13:3.4987686 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:244.42632 2:-7.736817 3:9.064503 4:2.4579775 5:2.5856793 6:0.123338476 7:0.8413798 8:-1.4884152 9:2.4676378 10:-1.6363335 11:0.32402906 12:-0.81396556 13:3.9040394 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:244.7226 2:-8.923354 3:7.0924387 4:0.98144925 5:0.7325125 6:-0.17382616 7:2.4435987 8:0.5228313 9:2.857194 10:-2.4679198 11:1.6877669 12:-2.530036 13:2.4921823 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:248.64983 2:-5.406997 3:9.693536 4:1.131061 5:-0.5459071 6:-1.1531166 7:2.2217543 8:-1.0727834 9:1.8517725 10:-1.7484616 11:3.5293274 12:-1.1414261 13:1.4731448 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:244.78407 2:-8.764853 3:7.5929184 4:1.1711118 5:1.4358763 6:0.16533414 7:0.93054616 8:-0.8553785 9:0.64218587 10:-2.0434086 11:1.948048 12:-1.814914 13:2.1471448 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:243.33525 2:-7.917184 3:7.878052 4:1.0577387 5:0.97725946 6:-0.8275387 7:0.5146455 8:0.8303304 9:3.1892104 10:-1.0643572 11:1.3179764 12:-1.395329 13:2.5255523 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:244.4587 2:-7.706751 3:6.8618007 4:-0.042974323 5:0.16760428 6:-0.7681756 7:1.6213124 8:-1.1739875 9:1.0812356 10:-0.38362265 11:2.7491837 12:-1.7027655 13:2.22339 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
