1 1:171.85481 2:-6.554493 3:10.807855 4:0.11109025 5:-1.8707302 6:-4.6439185 7:0.3933386 8:0.7111378 9:1.384378 10:-1.944788 11:-1.2453166 12:-3.096106 13:1.9421791 14:171.85481 15:-6.554493 16:10.807855 17:0.11109025 18:-1.8707302 19:-4.6439185 20:0.3933386 21:0.7111378 22:1.384378 23:-1.944788 24:-1.2453166 25:-3.096106 26:1.9421791 
1 1:248.79092 2:-6.754082 3:8.259564 4:-1.0770137 5:0.059901718 6:-0.5320512 7:1.2491043 8:-0.69024 9:1.75947 10:-2.0622864 11:1.7660881 12:-0.95173323 13:2.7865958 14:248.79092 15:-6.754082 16:8.259564 17:-1.0770137 18:0.059901718 19:-0.5320512 20:1.2491043 21:-0.69024 22:1.75947 23:-2.0622864 24:1.7660881 25:-0.95173323 26:2.7865958 
1 1:247.79967 2:-5.8741093 3:8.492723 4:0.016418561 5:-0.46766534 6:-0.2094642 7:1.378385 8:-1.0607823 9:2.0429213 10:-1.7119954 11:1.3686816 12:-2.9990563 13:0.9591967 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:248.41525 2:-5.9228535 3:8.236053 4:-0.68278193 5:0.35118312 6:-0.040927585 7:2.6494277 8:-0.8665621 9:2.3393981 10:-1.3343962 11:1.7837318 12:-1.2862434 13:1.9595133 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.51096 2:-6.938032 3:6.7833147 4:-0.6685004 5:-0.844273 6:-0.9203112 7:0.7291436 8:-0.61666656 9:2.8489027 10:-1.3048452 11:2.0191715 12:-2.5483065 13:1.8305962 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:245.62726 2:-6.5457735 3:6.9625735 4:-1.4065456 5:0.20451997 6:-0.75708574 7:1.8830539 8:-0.41306272 9:2.2373276 10:-0.97338486 11:2.0248911 12:-0.47977924 13:3.5466774 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.85962 2:-9.017395 3:5.818417 4:-0.7405027 5:0.62140226 6:-0.9647814 7:-0.26456562 8:-1.8230522 9:2.133649 10:-0.84461844 11:1.6486812 12:-1.4747881 13:4.121882 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:245.85863 2:-6.6784368 3:7.019635 4:-0.6382971 5:-1.0107344 6:-2.2363186 7:0.16459653 8:-1.1554147 9:1.2832279 10:-2.9422047 11:0.250011 12:-1.5424175 13:2.1849918 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.67212 2:-7.801147 3:7.165692 4:-1.02028 5:-1.1663048 6:-2.1750898 7:-0.64028585 8:0.13762082 9:2.8111188 10:-1.4326345 11:1.6956699 12:-2.3137367 13:1.9199953 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:245.75378 2:-8.699942 3:6.0394573 4:-0.8600899 5:-1.4725994 6:-1.0354123 7:1.0902742 8:-0.07685283 9:1.5153681 10:-1.6091199 11:2.4062445 12:-1.9214331 13:3.022565 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:244.06354 2:-7.6807365 3:6.9670553 4:0.56428176 5:0.482437 6:-1.2182177 7:1.1756744 8:-1.8910728 9:1.2531863 10:-1.1571703 11:1.6326183 12:-1.7819132 13:2.142612 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
