1 1:10.288069 2:-25.61076 3:3.0014167 4:-2.525101 5:0.5180182 6:-1.1407024 7:0.45569178 8:-0.8516881 9:0.6757374 10:-0.95861614 11:0.7723145 12:-1.0181881 13:1.1237047 14:10.288069 15:-25.61076 16:3.0014167 17:-2.525101 18:0.5180182 19:-1.1407024 20:0.45569178 21:-0.8516881 22:0.6757374 23:-0.95861614 24:0.7723145 25:-1.0181881 26:1.1237047 
1 1:246.4157 2:-7.550546 3:7.98404 4:1.1247251 5:1.0135176 6:-0.9778848 7:1.2805784 8:0.07340885 9:2.6550238 10:0.49633202 11:3.5561593 12:-2.2458718 13:2.535101 14:246.4157 15:-7.550546 16:7.98404 17:1.1247251 18:1.0135176 19:-0.9778848 20:1.2805784 21:0.07340885 22:2.6550238 23:0.49633202 24:3.5561593 25:-2.2458718 26:2.535101 
1 1:245.78508 2:-7.139708 3:6.308807 4:-1.0149722 5:-1.4583602 6:-3.6004531 7:-0.7829108 8:-1.5907675 9:1.0200365 10:-3.4172657 11:0.48811704 12:-3.3819742 13:1.4609556 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
1 1:243.95668 2:-9.199264 3:6.224339 4:0.043702837 5:1.0686238 6:0.38564187 7:1.1467018 8:-1.3862399 9:1.1614437 10:-3.1126945 11:1.0198557 12:-2.46079 13:1.3820298 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
1 1:243.9283 2:-8.206492 3:6.9315557 4:0.29251266 5:0.55532736 6:-0.6354955 7:0.48992556 8:-0.4819844 9:1.9206445 10:-3.0032926 11:0.47099042 12:-1.7041343 13:3.3740232 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
1 1:246.61595 2:-6.9664974 3:8.207294 4:0.28566858 5:0.7033772 6:0.035390854 7:1.6436988 8:-1.0552388 9:1.6828558 10:-2.404547 11:1.0452195 12:-1.8061168 13:3.0440264 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
1 1:245.08153 2:-8.155774 3:7.3007517 4:0.50373405 5:0.4144662 6:0.77768385 7:3.199876 8:0.52670974 9:3.7568636 10:-1.3205632 11:2.3080218 12:-0.5980081 13:2.2400548 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
1 1:243.61604 2:-8.618648 3:7.4068484 4:1.6440266 5:1.3857366 6:-0.60873663 7:-0.07214875 8:-1.1937379 9:3.7668107 10:-0.7004744 11:2.4728174 12:-2.1973283 13:2.2655494 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
1 1:245.40376 2:-8.109224 3:7.9581904 4:0.14547431 5:-0.17373988 6:-0.7249043 7:0.69448185 8:-1.8706111 9:1.295146 10:-1.5036852 11:2.38879 12:-0.6986958 13:3.188066 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
1 1:243.81621 2:-7.431378 3:7.6950693 4:0.16741148 5:0.5231651 6:0.79690623 7:0.8057279 8:-1.8295349 9:2.1633492 10:-1.1028694 11:2.5895572 12:-0.6389506 13:3.265941 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
1 1:248.71819 2:-5.70097 3:10.050365 4:0.6969274 5:-0.75964373 6:-0.74961215 7:0.65405965 8:-2.201745 9:1.4630761 10:-1.3628639 11:1.7062603 12:-2.8529956 13:2.226906 14:90.854454 15:6.806145 16:6.694426 17:-0.3331513 18:0.7362033 19:-0.41646314 20:1.1884047 21:-1.9580033 22:0.80237365 23:-2.8666499 24:1.1437485 25:-0.78841835 26:1.5766144 
