1 1:155.71225 2:-12.753559 3:1.2215544 4:-2.6991596 5:0.92318714 6:-1.7965397 7:-0.04465821 8:-0.068794556 9:0.03423246 10:-3.6029062 11:1.9638537 12:-2.0631092 13:2.1021123 14:155.71225 15:-12.753559 16:1.2215544 17:-2.6991596 18:0.92318714 19:-1.7965397 20:-0.04465821 21:-0.068794556 22:0.03423246 23:-3.6029062 24:1.9638537 25:-2.0631092 26:2.1021123 
1 1:245.5694 2:-8.303344 3:8.63465 4:2.7409394 5:2.5739696 6:1.2801019 7:2.8936512 8:-1.8201915 9:1.0637133 10:-1.776339 11:2.3131254 12:-0.89966375 13:1.8101119 14:245.5694 15:-8.303344 16:8.63465 17:2.7409394 18:2.5739696 19:1.2801019 20:2.8936512 21:-1.8201915 22:1.0637133 23:-1.776339 24:2.3131254 25:-0.89966375 26:1.8101119 
1 1:245.60278 2:-7.7612276 3:8.417403 4:0.9623488 5:1.3625664 6:1.7294737 7:2.149564 8:-0.33524173 9:1.7419511 10:-2.3758194 11:1.7099742 12:-1.2763574 13:2.6339147 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:242.83884 2:-9.828371 3:6.55117 4:0.80209464 5:2.7758884 6:2.7418463 7:2.2501025 8:-1.1477927 9:1.2868146 10:-1.6207757 11:2.4035203 12:-0.9330568 13:3.1066415 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:243.36029 2:-8.852236 3:6.416749 4:-0.024556376 5:0.32635707 6:-1.5146335 7:0.50832504 8:-1.2956399 9:1.9546344 10:-1.9901054 11:1.9912685 12:-1.6510711 13:1.94931 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.94987 2:-8.746801 3:8.725687 4:2.4710395 5:2.5845733 6:0.54477185 7:1.416454 8:-2.1305823 9:0.11367719 10:-2.9086597 11:1.9341484 12:-0.42384776 13:3.683371 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.2579 2:-8.916354 3:8.07575 4:1.228358 5:1.5136851 6:1.9351947 7:3.1889427 8:-0.40318027 9:1.7789254 10:-1.2568792 11:2.9408934 12:-1.4698582 13:3.033779 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.77887 2:-8.145202 3:6.8449144 4:0.10940329 5:1.3407689 6:-0.11826144 7:0.36880463 8:-0.8349509 9:-0.5123908 10:-3.3616111 11:1.8447075 12:-2.8327959 13:2.2937305 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:241.40732 2:-11.764871 3:5.456842 4:-0.7998925 5:-2.0071466 6:-2.0086677 7:1.2997277 8:0.01374105 9:2.3229032 10:-1.4156336 11:1.4902128 12:-1.2663634 13:3.2414832 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:245.15808 2:-7.94791 3:6.271093 4:-0.8909414 5:-0.49300414 6:-1.0058174 7:0.8231975 8:0.23329937 9:2.9370086 10:-0.8206938 11:3.6751165 12:-1.2047813 13:2.1713428 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.23447 2:-9.366046 3:5.872911 4:1.6798443 5:1.5563161 6:-0.53789586 7:-0.043362226 8:-2.2332866 9:0.43304378 10:-2.6514869 11:1.0715474 12:-1.0871369 13:3.525556 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:241.03786 2:-10.180217 3:5.4944577 4:0.547699 5:0.2262989 6:0.25292933 7:0.9828721 8:-1.7538583 9:0.8802301 10:-1.1715893 11:2.8425512 12:-1.952362 13:3.2811196 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:242.68243 2:-9.584961 3:6.822553 4:1.4101524 5:1.6470274 6:1.0955752 7:0.94499975 8:-0.5646483 9:2.3177953 10:-2.6209817 11:1.0560895 12:-2.2159846 13:2.48669 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.14963 2:-7.503784 3:9.687934 4:1.6929331 5:2.0270472 6:0.91586024 7:1.6715132 8:-1.4327646 9:0.7350081 10:-3.862433 11:8.5827976E-4 12:-1.8544195 13:4.017579 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.08939 2:-6.473884 3:7.3268695 4:-0.13677396 5:1.5015348 6:-0.52776766 7:-0.6085895 8:-2.3642673 9:2.0995965 10:-0.24082884 11:3.0909665 12:-1.2119755 13:1.8092475 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.00647 2:-7.8678093 3:7.9704685 4:-0.0034160584 5:1.3674637 6:0.05927882 7:1.5239055 8:0.7548161 9:2.1890993 10:-0.49604422 11:3.702634 12:-0.43262646 13:1.0902566 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:249.637 2:-5.704435 3:8.139604 4:0.21655802 5:3.0370626 6:0.6414299 7:0.41545612 8:-1.6696616 9:0.8245796 10:-1.4472364 11:1.2293297 12:-2.4332173 13:2.889804 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:251.45064 2:-1.7143934 3:13.248396 4:3.0536451 5:4.2169294 6:1.0740753 7:1.6536548 8:-3.155573 9:-1.2756281 10:-3.6047592 11:1.8108885 12:-2.0183816 13:2.8952792 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.31572 2:-7.764113 3:8.013444 4:2.1597836 5:2.003253 6:0.7443927 7:0.8126681 8:-0.7974399 9:2.5707593 10:-1.1699997 11:2.2090843 12:-0.9924819 13:2.470936 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.14938 2:-6.9583974 3:8.047346 4:0.96534157 5:2.9482872 6:1.5843714 7:1.6878858 8:0.6539255 9:1.997891 10:-2.6595476 11:0.42872632 12:-2.3517659 13:2.9859278 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:245.25122 2:-7.5208607 3:8.677125 4:2.9359984 5:3.7979667 6:2.022504 7:2.629178 8:-0.085995 9:1.6465731 10:-3.0063615 11:1.4457362 12:-2.2137928 13:2.8559787 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:245.45538 2:-9.4440975 3:7.051241 4:2.3877785 5:2.1303973 6:0.98249066 7:2.8564732 8:-0.30211678 9:2.758818 10:-2.0323894 11:1.818422 12:-2.0564978 13:2.1173427 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.36821 2:-5.941542 3:10.015273 4:2.869732 5:2.3966942 6:0.9770896 7:2.4390926 8:-1.1026641 9:2.2968965 10:-0.54818034 11:2.2799487 12:-2.5193028 13:2.4569528 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:243.35597 2:-8.673771 3:6.660579 4:-0.5611715 5:-0.946999 6:-0.6348416 7:1.5413301 8:-0.7074667 9:3.2597528 10:0.7834366 11:2.3253622 12:-1.9995656 13:2.2958348 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:245.27275 2:-8.166003 3:8.8867235 4:-0.15636145 5:-0.8264548 6:-0.25639126 7:2.1747975 8:-0.5748135 9:1.7132697 10:-0.39543915 11:1.891741 12:-2.690292 13:2.477419 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:242.99632 2:-9.230516 3:7.1226044 4:0.093235604 5:-1.8985119 6:-2.5859125 7:1.5770248 8:0.4388141 9:2.4682138 10:-1.5457318 11:2.0636249 12:-1.3362453 13:3.029407 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.07443 2:-9.718149 3:5.103583 4:-1.3972245 5:-0.732125 6:-0.60042375 7:-0.57665265 8:-1.7499073 9:1.5098641 10:-1.6604682 11:2.8535125 12:-1.9311477 13:2.2336948 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.45647 2:-8.323244 3:7.6991467 4:1.1704084 5:1.5694916 6:-0.30829287 7:0.40166098 8:-1.9921802 9:0.17381595 10:-2.8279495 11:2.2258208 12:-0.8716447 13:2.1420925 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.00009 2:-7.151757 3:8.4091835 4:-0.5325718 5:0.24912824 6:0.3308975 7:2.0497632 8:-1.4124987 9:0.9281449 10:-1.334587 11:2.9406154 12:-0.8622182 13:2.944914 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.17755 2:-7.1876993 3:8.605699 4:1.1812905 5:2.2242205 6:0.9369499 7:1.6601799 8:-1.8910048 9:0.6472676 10:-1.7627376 11:2.362872 12:-0.7116541 13:1.9543658 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.35811 2:-7.2581096 3:7.8364434 4:1.0626096 5:0.5190278 6:0.40798083 7:2.6753087 8:0.4528126 9:3.0100029 10:-0.6545287 11:2.7556565 12:-2.7423031 13:2.6948583 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:243.18536 2:-7.9562416 3:8.276175 4:-0.06654513 5:0.06584382 6:-0.12575373 7:0.0012291174 8:-1.3921739 9:1.9535773 10:-1.8909055 11:0.81561184 12:-1.9177333 13:3.1336253 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:245.45483 2:-9.223753 3:6.6941085 4:1.5858666 5:1.5339363 6:-0.004607659 7:0.43730578 8:-2.1059976 9:0.3947675 10:0.46994814 11:3.3151681 12:-0.6418814 13:3.5393245 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.11197 2:-8.91353 3:8.292029 4:2.0732343 5:1.2369688 6:0.26166728 7:0.7999867 8:-0.9887098 9:1.2649213 10:-0.24940413 11:3.328953 12:-1.1158291 13:4.0789747 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:241.08461 2:-10.43124 3:5.339805 4:-0.22746344 5:0.8204882 6:0.52565217 7:1.8938512 8:-0.5895255 9:1.7084962 10:-0.646484 11:1.859048 12:-2.817063 13:1.386832 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:243.86586 2:-9.191149 3:7.368458 4:1.5943375 5:1.053058 6:-0.22071333 7:0.21509227 8:-2.3425593 9:1.9250945 10:-0.38168013 11:2.687753 12:-1.6030324 13:1.8253226 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:245.79958 2:-7.9636984 3:7.828804 4:1.6447448 5:2.0229201 6:0.6399846 7:0.9074297 8:-2.090027 9:0.8372161 10:-2.7158127 11:0.52758235 12:-2.2926004 13:2.3633957 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:245.12083 2:-7.445696 3:7.113329 4:0.38552153 5:2.1712534 6:-0.36779314 7:0.9450392 8:-0.11567999 9:1.0984448 10:-1.9969102 11:1.5872104 12:-1.7806606 13:2.6893737 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.18567 2:-8.55477 3:7.5007534 4:1.1818268 5:2.0633965 6:1.2440442 7:2.1298199 8:-0.22722425 9:3.1476858 10:-1.6329775 11:1.1388088 12:-1.0531975 13:2.6998482 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.02052 2:-7.5438066 3:6.7369633 4:-0.40203872 5:0.37603247 6:-0.040787738 7:0.7579304 8:-1.4397706 9:2.5901458 10:-2.600979 11:1.998478 12:0.17531215 13:3.9224758 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:245.99918 2:-7.805448 3:6.022612 4:-0.70181596 5:1.7187281 6:0.10774238 7:0.25218052 8:-1.6832817 9:0.8388481 10:-1.8017259 11:2.8961306 12:-1.0553409 13:2.9925358 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:246.30302 2:-7.978313 3:6.626192 4:0.27912006 5:2.9346824 6:0.19981186 7:0.22006187 8:-1.0000678 9:2.5566025 10:-0.34927088 11:2.170215 12:-1.7579211 13:2.6026692 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:244.99443 2:-8.58505 3:5.983404 4:0.7588217 5:2.7918916 6:-0.032006856 7:-1.4411733 8:-2.4769323 9:3.0394542 10:-0.12113056 11:2.0469754 12:-1.097407 13:3.7160988 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:266.01828 2:0.58897966 3:4.6866717 4:-3.4181602 5:4.3746614 6:-0.28109702 7:-1.2874566 8:-5.476364 9:1.3029615 10:-1.816442 11:1.9537395 12:-2.050932 13:3.1894279 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:272.02487 2:1.145105 3:1.6234399 4:-3.486463 5:4.514745 6:-0.055339895 7:-0.68936825 8:-4.9680877 9:1.3554162 10:-3.7040396 11:2.2798393 12:-3.4079828 13:4.065394 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:253.37457 2:-4.906248 3:4.747003 4:-1.6397698 5:3.0179198 6:0.17344359 7:-1.1441813 8:-2.8352404 9:3.3396068 10:-1.880476 11:0.9834859 12:-1.9793999 13:2.8445385 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:255.87668 2:-4.7944617 3:4.459918 4:-1.238429 5:3.8908498 6:-0.83520216 7:-0.8979195 8:-1.799041 9:2.7407978 10:-1.6033689 11:2.5560236 12:-1.2147052 13:3.75844 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:257.4702 2:-5.348699 3:1.9749842 4:-0.8413701 5:4.012352 6:-0.17935584 7:-0.4530327 8:-3.346323 9:2.1018403 10:-1.0206825 11:3.4230978 12:-0.6000078 13:4.94799 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
1 1:253.83781 2:-4.9035277 3:4.7455645 4:0.0066432413 5:4.360835 6:0.9609032 7:0.76691663 8:-1.1532619 9:5.827549 10:0.00850096 11:3.4660664 12:-0.51062965 13:3.7603147 14:89.800186 15:3.618116 16:2.5960236 17:-1.2200158 18:0.5457024 19:1.051023 20:2.2478507 21:-0.15409683 22:1.6145686 23:-1.5387793 24:1.2057962 25:-0.80444866 26:1.0285121 
