1 1:263.84616 2:-9.986655 3:6.1795883 4:2.0144696 5:0.6505957 6:-1.2734693 7:1.224025 8:-0.75348264 9:1.8975084 10:-0.67375165 11:2.2424684 12:-3.4415734 13:2.0329638 14:263.84616 15:-9.986655 16:6.1795883 17:2.0144696 18:0.6505957 19:-1.2734693 20:1.224025 21:-0.75348264 22:1.8975084 23:-0.67375165 24:2.2424684 25:-3.4415734 26:2.0329638 
1 1:274.24243 2:-8.926763 3:8.23852 4:1.2797478 5:3.2627544 6:1.5970651 7:1.4754057 8:-0.7073867 9:0.98036563 10:-2.1896574 11:1.7265257 12:-1.8646266 13:2.2634797 14:274.24243 15:-8.926763 16:8.23852 17:1.2797478 18:3.2627544 19:1.5970651 20:1.4754057 21:-0.7073867 22:0.98036563 23:-2.1896574 24:1.7265257 25:-1.8646266 26:2.2634797 
1 1:274.746 2:-9.336892 3:6.8289747 4:0.46855325 5:1.0512912 6:-0.9680505 7:1.0252247 8:-1.2280927 9:1.7940528 10:-0.98336583 11:2.3694885 12:-1.410749 13:2.8718932 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:271.99994 2:-10.779466 3:6.6598616 4:0.50562096 5:1.4637161 6:0.14347155 7:1.0387545 8:-0.804242 9:1.6772004 10:-2.1885066 11:1.8617326 12:-1.9796591 13:1.5524888 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:273.3044 2:-9.480452 3:7.812077 4:1.2627347 5:1.3913453 6:-0.42870295 7:1.6915355 8:-1.0020449 9:1.3237929 10:-1.671811 11:2.0905232 12:-1.5570606 13:1.7740914 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:272.14737 2:-10.071563 3:7.372307 4:1.4917527 5:1.9212495 6:-0.2735998 7:0.8026944 8:-0.04118479 9:2.0328171 10:-0.8513384 11:1.9850283 12:-1.8625335 13:2.9148953 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:273.85046 2:-10.56097 3:5.385362 4:0.080819465 5:0.5513934 6:-0.13630722 7:1.7389935 8:-0.12826061 9:2.1920197 10:-1.314268 11:2.4432423 12:-1.800869 13:2.301508 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:272.47293 2:-10.189385 3:6.2057676 4:0.7102069 5:1.0829161 6:1.0595843 7:2.3537693 8:0.3401544 9:2.4542747 10:-1.359552 11:1.7132478 12:-2.9592924 13:0.9429686 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:273.5992 2:-9.632085 3:6.777926 4:1.3214661 5:1.5289025 6:-0.3702997 7:0.85891265 8:-1.7109936 9:0.37746188 10:-2.006276 11:1.7158215 12:-2.219307 13:2.366746 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:272.06927 2:-10.793497 3:6.495451 4:0.7610225 5:1.6160105 6:0.20481196 7:1.529721 8:-0.881699 9:0.7073185 10:-2.0969033 11:1.8839571 12:-2.214942 13:1.5916669 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
1 1:274.17197 2:-9.078961 3:7.3057494 4:0.3476084 5:0.8910899 6:-0.34828892 7:0.6791734 8:-0.73756975 9:2.0653312 10:-0.05352722 11:2.1358392 12:-3.0727727 13:2.3422697 14:97.7833 15:5.6739063 16:6.698067 17:-0.19500542 18:0.3512418 19:-0.46409795 20:1.1632606 21:-1.8963922 22:0.8523307 23:-2.4887612 24:0.8780219 25:-1.2170007 26:0.97842073 
