1 1:266.01538 2:-9.525274 3:6.061114 4:-0.7327489 5:-1.1120197 6:-2.3947642 7:0.39339012 8:-0.77344847 9:2.2627819 10:-0.111798085 11:3.4132931 12:-0.9021153 13:2.5451326 14:266.01538 15:-9.525274 16:6.061114 17:-0.7327489 18:-1.1120197 19:-2.3947642 20:0.39339012 21:-0.77344847 22:2.2627819 23:-0.111798085 24:3.4132931 25:-0.9021153 26:2.5451326 
1 1:277.7754 2:-11.246369 3:7.2707753 4:0.67562526 5:0.304925 6:1.1498966 7:1.7274276 8:-0.61317873 9:1.5019748 10:-2.199294 11:1.6615891 12:-2.5298626 13:2.7486176 14:277.7754 15:-11.246369 16:7.2707753 17:0.67562526 18:0.304925 19:1.1498966 20:1.7274276 21:-0.61317873 22:1.5019748 23:-2.199294 24:1.6615891 25:-2.5298626 26:2.7486176 
1 1:295.84067 2:-24.30232 3:10.29441 4:2.6827517 5:-1.5314857 6:3.723779 7:0.7698457 8:-1.5407162 9:3.23591 10:-0.33398652 11:0.95619756 12:-3.4416046 13:3.04337 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:275.58218 2:-8.9744425 3:7.754025 4:0.47359538 5:0.5768522 6:-0.6990913 7:1.2777655 8:-0.06847861 9:1.9573696 10:-1.647722 11:2.0957043 12:-1.4520671 13:3.4260957 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:276.3221 2:-8.281207 3:6.5340757 4:0.36517358 5:1.0396078 6:-0.34241158 7:0.89809114 8:-1.6050856 9:0.8473679 10:-2.281403 11:1.320899 12:-2.7948563 13:1.6448478 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:275.94305 2:-8.075337 3:7.1262712 4:1.27037065E-5 5:1.1335487 6:0.1408771 7:1.9158801 8:-0.8489181 9:0.7026427 10:-1.7524571 11:0.9693613 12:-2.7710516 13:2.2044153 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:277.04123 2:-7.6688423 3:6.9353194 4:0.3177225 5:2.4286196 6:0.6623766 7:1.8386099 8:-0.8400082 9:1.7831446 10:-0.7496177 11:1.6795509 12:-3.114293 13:0.9467149 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:275.258 2:-8.448774 3:6.098309 4:-0.49410227 5:0.36988682 6:-0.17311546 7:2.7839293 8:0.13483267 9:2.1926215 10:-0.5713732 11:2.6374514 12:-1.8491882 13:1.8200492 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:276.14478 2:-7.0314255 3:7.981776 4:1.6182314 5:1.22953 6:-0.5245821 7:1.3936434 8:-0.6346061 9:2.4978592 10:-2.3301134 11:1.2720349 12:-2.792088 13:2.4865978 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:274.7686 2:-9.385107 3:6.8941903 4:1.2477769 5:0.7605708 6:-1.6366429 7:0.645285 8:-0.7507228 9:1.8771017 10:-1.266594 11:0.35994017 12:-2.9583213 13:2.0067482 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:273.48505 2:-9.801404 3:6.663341 4:0.7265373 5:0.96830904 6:-0.537961 7:0.76142335 8:-0.9604081 9:2.275665 10:-0.9085299 11:2.0387533 12:-2.4377682 13:2.1175032 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:274.2317 2:-9.452094 3:6.872809 4:1.3832456 5:2.4579346 6:1.1731567 7:1.2593019 8:-2.137719 9:1.2253131 10:-2.5407405 11:0.7442413 12:-1.7304388 13:1.838525 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:276.01312 2:-8.181706 3:7.4479494 4:0.5006786 5:1.1303765 6:-0.84252787 7:0.28229758 8:-1.0552014 9:2.3448298 10:-1.8510102 11:1.4627571 12:-2.2573018 13:1.7036394 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:280.5206 2:-5.9168463 3:5.108964 4:-0.7288313 5:1.8185726 6:-1.1434287 7:0.05834701 8:-0.69762653 9:3.2087545 10:-1.6015141 11:2.2101026 12:-1.1446536 13:3.5046196 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:285.02438 2:-5.5279536 3:4.2352285 4:0.9556005 5:4.183715 6:-0.17148994 7:0.9391368 8:-1.7358521 9:2.4978049 10:-1.6248256 11:2.2748477 12:-1.6812228 13:2.735376 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
1 1:308.0301 2:-0.64448756 3:4.485671 4:5.1467404 5:7.457875 6:4.3236737 7:5.2373304 8:-5.217834 9:2.9065623 10:-2.8885398 11:4.0257297 12:-1.8153358 13:0.8022615 14:84.4667 15:-1.7876105 16:2.2205281 17:-0.19943343 18:0.18850057 19:-0.34003806 20:0.21765766 21:3.7869107E-4 22:0.9687135 23:-0.19820254 24:0.7710561 25:-0.5395926 26:0.5879265 
