1 1:263.3557 2:-11.348548 3:4.463413 4:-1.1738914 5:0.4705489 6:-0.4202572 7:0.5112242 8:-1.5216091 9:2.6500373 10:0.10819108 11:1.755427 12:-1.3680203 13:1.9141712 14:263.3557 15:-11.348548 16:4.463413 17:-1.1738914 18:0.4705489 19:-0.4202572 20:0.5112242 21:-1.5216091 22:2.6500373 23:0.10819108 24:1.755427 25:-1.3680203 26:1.9141712 
1 1:270.53305 2:-10.13457 3:7.7848167 4:0.63857335 5:0.49368602 6:-0.37882763 7:0.7766791 8:-0.521159 9:2.8475459 10:-1.1118957 11:1.4989175 12:-0.7223652 13:2.6821837 14:270.53305 15:-10.13457 16:7.7848167 17:0.63857335 18:0.49368602 19:-0.37882763 20:0.7766791 21:-0.521159 22:2.8475459 23:-1.1118957 24:1.4989175 25:-0.7223652 26:2.6821837 
1 1:272.46426 2:-9.318363 3:6.098768 4:-0.5976259 5:1.7429954 6:0.914162 7:1.3849554 8:-0.48198557 9:1.1516863 10:-2.3177161 11:0.4359397 12:-2.899056 13:2.0070457 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:273.49167 2:-9.93984 3:6.9363904 4:0.54587114 5:1.652205 6:1.2614182 7:1.971234 8:-0.4398764 9:1.5561335 10:-2.5301516 11:1.2398393 12:-0.85062087 13:3.426788 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:272.3343 2:-9.808157 3:6.611577 4:-0.0024239433 5:0.66331697 6:0.40119863 7:2.1383553 8:0.5472703 9:2.4730844 10:-1.4500707 11:2.5698097 12:-0.66243166 13:1.9971224 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:272.30338 2:-10.111974 3:6.9883404 4:0.098835565 5:-0.07316561 6:-0.289901 7:1.9763927 8:-0.15732098 9:2.2412243 10:-1.0356967 11:2.0113225 12:-1.0376501 13:3.1941395 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:273.86795 2:-9.687294 3:7.9353905 4:1.0813227 5:1.3635286 6:0.28714517 7:0.5504352 8:-1.0273019 9:1.3247329 10:-1.3855875 11:1.7767752 12:-1.9655831 13:2.881627 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:273.88055 2:-9.257188 3:6.4456935 4:0.51529455 5:0.4007594 6:-0.4982167 7:1.3787875 8:-0.69009465 9:1.4600471 10:-0.834359 11:1.834591 12:-1.7257098 13:2.1929622 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:272.294 2:-9.857693 3:6.810979 4:1.0292423 5:1.996403 6:0.41957995 7:1.8695455 8:-0.25865456 9:2.5583618 10:-2.0215833 11:1.3659002 12:-1.6777246 13:0.49979004 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:275.55148 2:-8.644985 3:7.3683863 4:0.6192095 5:2.1817687 6:-0.70655096 7:0.31438112 8:-1.5836408 9:1.3548696 10:-1.3926439 11:1.7275971 12:-1.5143154 13:1.8550636 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:273.0953 2:-9.563108 3:6.1396484 4:0.72317135 5:0.9158727 6:-0.27765548 7:-0.16392164 8:-1.6286485 9:1.6219485 10:-1.447213 11:2.4362292 12:-0.8627706 13:3.1396866 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:270.37097 2:-9.156689 3:8.425887 4:1.7429134 5:1.6378679 6:0.022685273 7:0.89170855 8:-0.45790413 9:1.6392674 10:-2.1196036 11:2.1005845 12:-2.078003 13:2.111785 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:272.46704 2:-10.145034 3:5.9060926 4:0.67041713 5:1.4229753 6:0.7076226 7:0.7989677 8:-2.2418363 9:0.9756493 10:-1.3094988 11:1.4991595 12:-2.0212717 13:1.9716593 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:273.4741 2:-9.927221 3:6.5609965 4:1.0388021 5:2.6470726 6:0.80602986 7:2.2289371 8:0.09830032 9:1.3532326 10:-1.6033367 11:2.4257996 12:-1.8049935 13:2.5366364 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:273.03677 2:-9.286882 3:6.103322 4:-0.06639456 5:1.0642021 6:-0.98399013 7:0.79422116 8:-0.29407448 9:1.8157465 10:-1.86708 11:1.4624702 12:-2.832497 13:1.6827716 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:272.98752 2:-10.586934 3:5.887182 4:0.13528861 5:1.2459869 6:0.651333 7:1.556471 8:-0.48322502 9:1.5455698 10:-2.1285348 11:1.0540416 12:-2.5608964 13:2.4072378 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:272.1015 2:-10.63862 3:5.8021855 4:-0.6906115 5:1.0498871 6:0.06487048 7:1.1475616 8:-0.53339946 9:2.0201628 10:-0.94679904 11:2.071262 12:-1.3711315 13:1.9438758 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:274.81836 2:-9.418021 3:6.7765083 4:-6.487983E-4 5:2.109382 6:0.78637487 7:1.5853361 8:-1.1364403 9:1.4293699 10:-1.3718156 11:0.8068983 12:-1.7972538 13:2.2253506 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:275.06082 2:-9.04763 3:5.962892 4:0.5849366 5:1.4736242 6:-0.8255359 7:0.2989409 8:-1.195707 9:1.6943076 10:-1.8230404 11:1.5200938 12:-2.3559332 13:1.8492196 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:278.03934 2:-7.86953 3:5.097333 4:-0.19875556 5:3.666551 6:0.8853289 7:0.23867191 8:-0.5056191 9:4.044956 10:-1.0026823 11:2.437321 12:-1.5655665 13:2.3449385 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:283.3341 2:-3.44478 3:7.5765553 4:1.6735791 5:5.7148275 6:0.81339407 7:0.8943246 8:-0.6903335 9:3.6944547 10:-3.17033 11:-0.6205371 12:-2.7583778 13:2.9000618 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:283.10355 2:-6.9394 3:3.4824417 4:-1.2006085 5:3.5349867 6:0.55808896 7:0.2254296 8:-1.3748006 9:4.073886 10:-0.44005662 11:3.2121367 12:-0.00952236 13:3.9154859 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:287.4814 2:-2.7836132 3:6.2246227 4:-0.84770584 5:5.0158563 6:2.7675078 7:2.2704647 8:-0.5443182 9:4.9866505 10:-0.8548485 11:2.4642763 12:-1.2663968 13:4.8183618 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
1 1:309.71466 2:10.355532 3:10.704013 4:-3.1460803 5:5.520496 6:1.717996 7:2.907573 8:-2.778867 9:5.0717616 10:-1.5456046 11:4.5209994 12:-2.1510496 13:5.8719764 14:101.09252 15:6.015211 16:5.4223356 17:-1.4903109 18:-0.26801908 19:0.27558687 20:1.531184 21:-1.7157543 22:1.1853534 23:-2.900179 24:1.6552347 25:-1.1252872 26:0.42929336 
