1 1:270.0311 2:-8.649112 3:7.57545 4:1.7311656 5:1.8851 6:0.17488445 7:2.1311913 8:-0.5917711 9:2.0141735 10:-0.78058684 11:1.9442422 12:-2.2335548 13:1.5905397 14:270.0311 15:-8.649112 16:7.57545 17:1.7311656 18:1.8851 19:0.17488445 20:2.1311913 21:-0.5917711 22:2.0141735 23:-0.78058684 24:1.9442422 25:-2.2335548 26:1.5905397 
1 1:273.24234 2:-9.558893 3:7.298402 4:1.0756625 5:2.0120478 6:0.6752124 7:2.5608728 8:-0.7514879 9:1.6794864 10:-1.6010262 11:2.3496726 12:-1.2151768 13:1.901254 14:273.24234 15:-9.558893 16:7.298402 17:1.0756625 18:2.0120478 19:0.6752124 20:2.5608728 21:-0.7514879 22:1.6794864 23:-1.6010262 24:2.3496726 25:-1.2151768 26:1.901254 
1 1:272.7032 2:-10.1589985 3:6.539117 4:0.52227545 5:1.4514887 6:-0.401884 7:1.5470006 8:-0.34057394 9:2.9129415 10:-0.09731531 11:2.0811276 12:-2.3792844 13:1.3767775 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:274.1897 2:-9.094326 3:7.4712844 4:0.8931619 5:0.9855095 6:0.0306835 7:1.5919021 8:-0.7503719 9:1.9090275 10:-1.7620795 11:2.0095415 12:-2.5242438 13:0.89098555 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.43387 2:-7.944856 3:9.657426 4:1.8870949 5:1.4834533 6:-0.3443227 7:1.5670141 8:-0.34483972 9:1.3148791 10:-1.5388043 11:2.04558 12:-1.8979639 13:1.551632 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.89456 2:-9.079644 3:8.487793 4:1.3966286 5:1.7278441 6:0.48039758 7:2.6176825 8:0.39354742 9:1.6127865 10:-1.5769262 11:2.2616472 12:-0.7966617 13:2.4173505 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.9679 2:-8.514403 3:7.6400723 4:1.7927513 5:2.54873 6:0.042443838 7:1.900428 8:-0.084917225 9:1.975859 10:-0.7175799 11:2.488889 12:-1.7073374 13:2.1525884 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.96997 2:-8.208082 3:7.8138027 4:1.9841634 5:2.4467843 6:0.79717493 7:2.7804847 8:-0.13803735 9:1.6710209 10:-1.7388575 11:2.3509881 12:-1.9474446 13:2.4576166 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:274.6873 2:-8.714273 3:6.664677 4:0.6136185 5:1.9635298 6:1.0915265 7:1.8409101 8:-1.5561093 9:1.7659085 10:-1.7377316 11:2.0614743 12:-1.1232905 13:2.5387452 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:273.2349 2:-9.403009 3:6.831825 4:0.99986607 5:1.1996733 6:-0.35140327 7:0.9669757 8:-0.4824377 9:2.3672097 10:-1.4878118 11:2.2732534 12:-1.7473294 13:2.3253663 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:271.73233 2:-10.347649 3:7.1285067 4:1.1728296 5:0.16652344 6:-0.29058048 7:0.6564079 8:-0.34858224 9:1.8078935 10:-1.4966412 11:1.5391003 12:-2.456367 13:1.8433863 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
