1 1:264.6372 2:-9.403494 3:6.166601 4:0.29875442 5:0.88415825 6:-0.5832432 7:-0.16053402 8:-1.3784841 9:1.9279789 10:-1.0487984 11:3.34921 12:-1.9531131 13:2.7102811 14:264.6372 15:-9.403494 16:6.166601 17:0.29875442 18:0.88415825 19:-0.5832432 20:-0.16053402 21:-1.3784841 22:1.9279789 23:-1.0487984 24:3.34921 25:-1.9531131 26:2.7102811 
1 1:275.21545 2:-9.179867 3:6.70457 4:-0.49903232 5:0.6093244 6:-0.37404248 7:1.1520244 8:-1.3410723 9:1.586967 10:-1.1178899 11:2.0621989 12:-2.2844055 13:1.2917622 14:275.21545 15:-9.179867 16:6.70457 17:-0.49903232 18:0.6093244 19:-0.37404248 20:1.1520244 21:-1.3410723 22:1.586967 23:-1.1178899 24:2.0621989 25:-2.2844055 26:1.2917622 
1 1:273.33304 2:-9.718884 3:7.3787675 4:0.94320947 5:1.8549353 6:-0.19037557 7:0.18334581 8:-1.864229 9:0.8781964 10:-1.9385378 11:1.1434708 12:-2.6272795 13:2.4464154 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:270.6806 2:-10.789663 3:7.015553 4:1.6708202 5:1.5702099 6:0.12323814 7:0.94027734 8:-1.5617697 9:2.419854 10:-0.69869125 11:2.1665435 12:-1.952168 13:2.6718345 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:276.36237 2:-6.809415 3:7.7963347 4:1.206568 5:1.769688 6:-0.7679729 7:0.88946956 8:-1.2477726 9:2.2340732 10:-0.94753736 11:2.1212683 12:-2.0833595 13:1.9469471 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:272.45624 2:-9.667212 3:5.925724 4:0.31334585 5:0.3182978 6:-0.16684401 7:2.2376027 8:0.0789933 9:2.599203 10:-1.2702143 11:2.5109494 12:-1.8609856 13:1.5974207 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:272.74246 2:-9.460965 3:7.3511252 4:1.9550908 5:1.9665124 6:-0.0913183 7:0.49410206 8:-1.4941133 9:1.2798921 10:-2.1912894 11:2.0313401 12:-2.1508908 13:2.0738933 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:273.6988 2:-8.8422165 3:7.2783504 4:-0.54880005 5:1.6834867 6:-0.45602304 7:-0.06800799 8:-1.8865442 9:1.4076004 10:-1.4384764 11:1.633644 12:-1.8108212 13:2.340801 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:272.46014 2:-9.975779 3:6.7977586 4:0.35687584 5:1.1441643 6:0.0587589 7:1.6637245 8:-0.8830035 9:1.4735028 10:-0.5852537 11:2.6080894 12:-1.8690802 13:2.003823 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:272.63266 2:-9.332413 3:7.4650207 4:0.9392205 5:0.04658149 6:-0.7904995 7:2.4924011 8:0.18508384 9:2.0382535 10:-1.7365261 11:1.8194362 12:-2.1074097 13:1.4946885 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
1 1:272.8885 2:-9.287206 3:8.030205 4:0.7506228 5:1.4711407 6:-0.09538258 7:0.71915734 8:-1.0040287 9:2.3275225 10:-0.53739107 11:1.8075877 12:-1.6675345 13:1.8136522 14:102.2465 15:5.5101104 16:3.5243301 17:-1.8815758 18:0.0035961426 19:1.1096758 20:2.3920925 21:-1.4323784 22:1.8763161 23:-1.8815044 24:1.4334863 25:-1.0020546 26:0.37966943 
